,predicted_cases,actual_cases,error,perc_error
LNQ-ens1,5995707.9,6025375,-29667.1,-0.5%
Microsoft-DeepSTIA,6100321.7,6025375,74946.7,1.2%
DDS-NBDS,5949508.8,6025375,-75866.2,-1.3%
IQVIA_ACOE-STAN,6118103.0,6025375,92728.0,1.5%
COVIDhub-baseline,5923924.0,6025375,-101451.0,-1.7%
QJHong-Encounter,6130300.0,6025375,104925.0,1.7%
CU-select,6181181.0,6025375,155806.0,2.6%
IowaStateLW-STEM,6223853.0,6025375,198478.0,3.3%
UCF-AEM,6427957.0,6025375,402582.0,6.7%
IBF-TimeSeries,6462640.0,6025375,437265.0,7.3%
TTU-squider,5582664.9,6025375,-442710.1,-7.3%
UCLA-SuEIR,5524615.7,6025375,-500759.3,-8.3%
LANL-GrowthRate,6581995.0,6025375,556620.0,9.2%
COVIDhub-ensemble,6692572.0,6025375,667197.0,11.1%
Covid19Sim-Simulator,6757477.9,6025375,732102.9,12.2%
USC-SI_kJalpha,6962010.0,6025375,936635.0,15.5%
BPagano-RtDriven,7107873.9,6025375,1082498.9,18.0%
CovidAnalytics-DELPHI,7267251.0,6025375,1241876.0,20.6%
IEM_MED-CovidProject,7323115.9,6025375,1297740.9,21.5%
JHU_IDD-CovidSP,4718349.7,6025375,-1307025.3,-21.7%
Columbia_UNC-SurvCon,7474009.0,6025375,1448634.0,24.0%
UMich-RidgeTfReg,7562983.7,6025375,1537608.7,25.5%
RobertWalraven-ESG,7684100.1,6025375,1658725.1,27.5%
JHUAPL-Bucky,7800416.1,6025375,1775041.1,29.5%
JCB-PRM,7811180.4,6025375,1785805.4,29.6%
OneQuietNight-ML,7875484.0,6025375,1850109.0,30.7%
UVA-Ensemble,8000143.7,6025375,1974768.7,32.8%
Karlen-pypm,8488809.7,6025375,2463434.7,40.9%
Google_Harvard-CPF,,6025375,,
JHU_CSSE-DECOM,,6025375,,
JHU_UNC_GAS-StatMechPool,,6025375,,
UCSB-ACTS,,6025375,,
Wadhwani_AI-BayesOpt,,6025375,,
