,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,106309,101008.0,115089.0,115965.0,102780.0,,107166.0,131133.0,95595.9,136956.9,,171842.8,107354.0,109245.0,149679.7,124434.1,117643.0,55535.5,79267.0,188981.3,121008.0,118720.0,107165.8,94594.0,,139864.3,80756.0,,76371.0,137077.2,,137450.0,132446.3,133599.8,-5301.0,8780.0,9656.0,-3529.0,,857.0,24824.0,-10713.1,30647.9,,65533.8,1045.0,2936.0,43370.7,18125.1,11334.0,-50773.5,-27042.0,82672.3,14699.0,12411.0,856.8,-11715.0,,33555.3,-25553.0,,-29938.0,30768.2,,31141.0,26137.3,27290.8,False,False,True,,True,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,,False,False,False
Alaska,9461,16904.0,22045.1,17320.0,17693.0,,20122.2,10568.0,16145.0,22815.3,,17709.2,,,22045.6,28972.8,18484.0,8433.8,13335.5,19338.0,14597.0,15014.0,18952.1,14574.0,,17907.3,14752.4,,15196.8,30054.7,,16459.0,20645.1,22407.4,7443.0,12584.1,7859.0,8232.0,,10661.2,1107.0,6684.0,13354.3,,8248.2,,,12584.6,19511.8,9023.0,-1027.2,3874.5,9877.0,5136.0,5553.0,9491.1,5113.0,,8446.3,5291.4,,5735.8,20593.7,,6998.0,11184.1,12946.4,False,False,False,,False,True,True,False,,False,,,False,False,False,True,True,False,True,True,False,True,,False,True,,True,False,,True,False,False
Arizona,204756,174756.0,246603.4,200770.0,184081.0,,202210.6,323620.0,178309.3,232038.5,,284669.3,180765.0,186628.0,284754.6,244893.6,175434.0,144867.8,226685.5,332713.5,221730.5,190715.3,191247.9,167155.0,,231375.4,109846.5,,164155.1,252184.4,,197159.0,247905.1,314757.0,-30000.0,41847.4,-3986.0,-20675.0,,-2545.4,118864.0,-26446.7,27282.5,,79913.3,-23991.0,-18128.0,79998.6,40137.6,-29322.0,-59888.2,21929.5,127957.5,16974.5,-14040.7,-13508.1,-37601.0,,26619.4,-94909.5,,-40600.9,47428.4,,-7597.0,43149.1,110001.0,False,True,True,,True,False,True,True,,False,True,True,False,False,True,False,True,False,True,True,True,False,,True,False,,False,False,,True,False,False
Arkansas,67494,59480.0,98863.8,61102.0,52719.0,,60997.8,59625.0,52444.2,71845.3,,79674.7,67436.0,72656.0,80534.6,50269.2,69481.0,35571.8,69404.0,52165.2,61253.0,60427.7,60596.3,49716.0,,73144.8,51061.5,,60528.6,84928.3,,62447.0,72253.9,63420.5,-8014.0,31369.8,-6392.0,-14775.0,,-6496.2,-7869.0,-15049.8,4351.3,,12180.7,-58.0,5162.0,13040.6,-17224.8,1987.0,-31922.2,1910.0,-15328.8,-6241.0,-7066.3,-6897.7,-17778.0,,5650.8,-16432.5,,-6965.4,17434.3,,-5047.0,4759.9,-4073.5,False,True,False,,True,True,False,True,,False,True,True,False,False,True,False,True,False,True,True,True,False,,True,False,,True,False,,True,True,True
California,1128764,844940.0,1383637.6,1091194.0,1242217.0,,1027970.7,958979.0,885819.2,1323147.4,,2210172.0,714302.0,835386.0,1274861.9,1805050.7,,616456.6,1117393.0,1759423.9,1442385.0,1159667.3,844616.7,820588.0,,1116277.6,899895.8,,1007150.4,986672.5,,1282107.0,1680872.5,,-283824.0,254873.6,-37570.0,113453.0,,-100793.3,-169785.0,-242944.8,194383.4,,1081408.0,-414462.0,-293378.0,146097.9,676286.7,,-512307.4,-11371.0,630659.9,313621.0,30903.3,-284147.3,-308176.0,,-12486.4,-228868.2,,-121613.6,-142091.5,,153343.0,552108.5,,True,True,True,,True,True,True,True,,False,False,False,True,False,,False,True,False,False,True,False,False,,True,True,,True,True,,True,False,
Colorado,73313,113148.0,171476.0,99407.0,96720.0,,117758.0,82892.0,66272.0,157997.2,,94967.4,149688.0,117917.0,147995.7,73546.8,107852.0,75338.0,100566.0,97945.4,87216.0,88353.4,95007.9,69045.0,,103151.6,59853.4,,105866.3,188726.7,,109749.0,135980.7,101396.8,39835.0,98163.0,26094.0,23407.0,,44445.0,9579.0,-7041.0,84684.2,,21654.4,76375.0,44604.0,74682.7,233.8,34539.0,2025.0,27253.0,24632.4,13903.0,15040.4,21694.9,-4268.0,,29838.6,-13459.6,,32553.3,115413.7,,36436.0,62667.7,28083.8,False,True,True,,False,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,,True,True,,True,False,,True,False,True
Connecticut,59233,76184.0,68601.6,75295.0,94390.0,,80594.2,46907.0,270396.8,73147.0,,120220.7,57160.0,79234.0,88395.5,102618.2,90463.0,73892.2,77989.5,145905.6,67081.5,66415.6,79855.4,64129.0,,70224.6,106438.2,,74442.4,95703.3,,71458.0,92245.8,97402.8,16951.0,9368.6,16062.0,35157.0,,21361.2,-12326.0,211163.8,13914.0,,60987.7,-2073.0,20001.0,29162.5,43385.2,31230.0,14659.2,18756.5,86672.6,7848.5,7182.6,20622.4,4896.0,,10991.6,47205.2,,15209.4,36470.3,,12225.0,33012.8,38169.8,True,True,False,,False,True,False,True,,False,True,False,False,False,False,True,False,False,True,True,False,True,,True,False,,True,False,,True,False,False
Delaware,19599,23120.0,36492.3,25677.0,24062.0,,21481.8,30057.0,15076.9,29689.3,,39044.6,18294.0,24864.0,29178.2,36713.0,25647.0,16399.3,28047.0,42900.9,27255.0,23596.6,26818.6,22135.0,,30792.0,32243.0,,23444.3,27265.8,,26154.0,30258.2,42540.0,3521.0,16893.3,6078.0,4463.0,,1882.8,10458.0,-4522.1,10090.3,,19445.6,-1305.0,5265.0,9579.2,17114.0,6048.0,-3199.7,8448.0,23301.9,7656.0,3997.6,7219.6,2536.0,,11193.0,12644.0,,3845.3,7666.8,,6555.0,10659.2,22941.0,False,False,False,,True,False,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,True,,False,False,,False,False,,False,False,False
District of Columbia,6814,7084.0,8321.9,8129.0,5351.0,,8320.5,6421.0,6754.0,12306.0,,12153.8,5315.0,8774.0,9451.4,12727.9,9399.0,5590.2,7929.0,12194.4,8195.0,7838.9,,5439.0,,8843.2,10851.2,,6676.9,10134.8,,7635.0,11356.6,12216.1,270.0,1507.9,1315.0,-1463.0,,1506.5,-393.0,-60.0,5492.0,,5339.8,-1499.0,1960.0,2637.4,5913.9,2585.0,-1223.8,1115.0,5380.4,1381.0,1024.9,,-1375.0,,2029.2,4037.2,,-137.1,3320.8,,821.0,4542.6,5402.1,False,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,True,False,,False,False,False
Florida,347724,269340.0,315589.0,290402.0,303517.0,,286557.5,446521.0,332720.9,399394.2,,356409.2,256421.0,300186.0,359861.0,267431.6,253190.0,297440.2,267385.0,411367.3,262757.5,296019.2,313610.6,259922.0,,334502.8,294709.1,,294285.0,394054.6,,292363.0,316242.3,,-78384.0,-32135.0,-57322.0,-44207.0,,-61166.5,98797.0,-15003.1,51670.2,,8685.2,-91303.0,-47538.0,12137.0,-80292.4,-94534.0,-50283.8,-80339.0,63643.3,-84966.5,-51704.8,-34113.4,-87802.0,,-13221.2,-53014.9,,-53439.0,46330.6,,-55361.0,-31481.7,,True,True,True,,True,False,True,True,,True,False,True,True,False,False,True,False,True,False,True,True,False,,True,True,,True,True,,True,True,
