,mean_rank
OliverWyman-Navigator,7.8
Covid19Sim-Simulator,8.3
IowaStateLW-STEM,8.5
JCB-PRM,8.6
USC-SI_kJalpha,10.2
Microsoft-DeepSTIA,10.4
BPagano-RtDriven,11.3
OneQuietNight-ML,12.1
CEID-Walk,12.5
COVIDhub-baseline,12.5
COVIDhub-ensemble,13.1
UMich-RidgeTfReg,13.7
Karlen-pypm,13.7
DDS-NBDS,14.2
JHU_CSSE-DECOM,14.3
LANL-GrowthRate,15.1
CovidAnalytics-DELPHI,15.7
Google_Harvard-CPF,15.8
IEM_MED-CovidProject,15.8
UCLA-SuEIR,16.3
TTU-squider,17.9
UCSB-ACTS,18.9
JHU_IDD-CovidSP,19.6
UVA-Ensemble,20.8
RobertWalraven-ESG,21.2
JHUAPL-Bucky,21.3
JHU_UNC_GAS-StatMechPool,21.4
LNQ-ens1,21.7
CU-select,22.4
