,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,79246,81189.0,66800.1,87599.0,73318.0,,85468.2,93244.0,77519.7,114051.3,,100107.0,85657.0,105937.2,81211.1,80179.0,48116.7,88594.0,131842.7,88517.0,85722.5,91315.8,104368.0,87920.0,,97998.8,98527.1,,88830.3,96781.9,100939.2,85090.0,106194.8,139744.3,1943.0,-12445.9,8353.0,-5928.0,,6222.2,13998.0,-1726.3,34805.3,,20861.0,6411.0,26691.2,1965.1,933.0,-31129.3,9348.0,52596.7,9271.0,6476.5,12069.8,25122.0,8674.0,,18752.8,19281.1,,9584.3,17535.9,21693.2,5844.0,26948.8,60498.3,False,False,False,,False,False,True,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Alaska,6270,9573.0,8537.4,7689.0,7818.0,,10177.9,7629.0,8310.5,12446.7,,6144.6,,14007.1,7943.7,9268.0,6086.9,3754.0,7156.5,4793.0,6363.5,10610.2,10400.0,8170.0,,5215.1,10248.9,,5627.5,16161.9,10200.8,7179.0,11020.1,13768.6,3303.0,2267.4,1419.0,1548.0,,3907.9,1359.0,2040.5,6176.7,,-125.4,,7737.1,1673.7,2998.0,-183.1,-2516.0,886.5,-1477.0,93.5,4340.2,4130.0,1900.0,,-1054.9,3978.9,,-642.5,9891.9,3930.8,909.0,4750.1,7498.6,True,True,True,,False,True,True,False,,True,,False,True,True,True,True,True,True,True,False,False,True,,True,False,,True,False,False,True,False,False
Arizona,159114,136926.0,208933.1,142735.0,139626.0,,159386.0,140796.0,142565.6,200525.6,,170573.2,137324.0,168426.7,180053.2,137214.0,135490.9,157342.0,174620.9,111863.0,121967.5,145447.7,170762.0,142517.0,,138185.9,216101.5,,107797.9,169375.7,139700.1,147236.0,184258.6,260687.6,-22188.0,49819.1,-16379.0,-19488.0,,272.0,-18318.0,-16548.4,41411.6,,11459.2,-21790.0,9312.7,20939.2,-21900.0,-23623.1,-1772.0,15506.9,-47251.0,-37146.5,-13666.3,11648.0,-16597.0,,-20928.1,56987.5,,-51316.1,10261.7,-19413.9,-11878.0,25144.6,101573.6,False,True,True,,True,True,True,False,,True,True,True,True,True,False,True,True,False,False,True,True,True,,True,False,,False,True,True,True,False,False
Arkansas,51632,47586.0,59980.7,48683.0,41775.0,,48078.2,44705.0,40759.6,66872.8,,57235.7,55720.0,61328.7,36022.5,51618.0,29515.5,47875.5,49655.4,45232.0,46333.8,47849.2,57980.0,50655.0,,51539.8,39595.5,,47557.9,52908.6,56722.7,51457.0,59687.7,60011.4,-4046.0,8348.7,-2949.0,-9857.0,,-3553.8,-6927.0,-10872.4,15240.8,,5603.7,4088.0,9696.7,-15609.5,-14.0,-22116.5,-3756.5,-1976.6,-6400.0,-5298.2,-3782.8,6348.0,-977.0,,-92.2,-12036.5,,-4074.1,1276.6,5090.7,-175.0,8055.7,8379.4,False,True,False,,True,False,False,False,,False,False,False,False,True,False,True,True,False,False,True,False,True,,True,False,,False,True,False,True,False,False
California,834602,880143.0,1279410.4,1051391.0,952519.0,,999827.4,1442646.0,810945.7,1650610.2,,1674678.5,808155.0,1243084.9,1516233.3,,591239.8,749813.5,1545685.3,1441331.0,1068686.2,931358.1,1049835.0,952711.0,,1069328.1,718644.5,,902675.2,878184.0,1667463.5,1087463.0,1754177.9,,45541.0,444808.4,216789.0,117917.0,,165225.4,608044.0,-23656.3,816008.2,,840076.5,-26447.0,408482.9,681631.3,,-243362.2,-84788.5,711083.3,606729.0,234084.2,96756.1,215233.0,118109.0,,234726.1,-115957.5,,68073.2,43582.0,832861.5,252861.0,919575.9,,False,False,False,,False,False,True,False,,False,True,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,
Colorado,52349,62892.0,83225.7,50817.0,41352.0,,64678.3,33938.0,49150.6,88207.9,,47200.3,65617.0,93987.4,32528.0,60630.0,53457.3,47176.5,55171.2,41551.0,49608.1,61242.5,70131.0,45403.0,,43708.0,48595.7,,51753.4,95018.7,19246.9,51520.0,87146.1,66532.3,10543.0,30876.7,-1532.0,-10997.0,,12329.3,-18411.0,-3198.4,35858.9,,-5148.7,13268.0,41638.4,-19821.0,8281.0,1108.3,-5172.5,2822.2,-10798.0,-2740.9,8893.5,17782.0,-6946.0,,-8641.0,-3753.3,,-595.6,42669.7,-33102.1,-829.0,34797.1,14183.3,False,True,False,,False,False,True,False,,True,False,False,False,True,True,True,True,False,True,True,False,True,,True,True,,True,False,False,True,False,False
Connecticut,43212,48063.0,40357.7,46191.0,44090.0,,52377.5,48418.0,175233.5,73588.0,,55756.4,46754.0,65899.1,43132.8,56560.0,54432.2,45934.5,46610.5,44996.0,43642.7,62055.1,47277.0,43971.0,,33669.0,67731.8,,42467.2,66984.8,71997.3,30517.0,57180.7,95353.5,4851.0,-2854.3,2979.0,878.0,,9165.5,5206.0,132021.5,30376.0,,12544.4,3542.0,22687.1,-79.2,13348.0,11220.2,2722.5,3398.5,1784.0,430.7,18843.1,4065.0,759.0,,-9543.0,24519.8,,-744.8,23772.8,28785.3,-12695.0,13968.7,52141.5,True,True,True,,False,False,False,False,,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,False,,True,False,False,False,False,False
Delaware,14339,15780.0,25721.8,17708.0,12602.0,,18081.9,17728.0,16744.0,24940.1,,17266.3,17319.0,23836.6,16442.3,18608.0,12375.3,18276.0,29316.0,17671.0,13835.8,21355.8,20453.0,15580.0,,15283.7,24136.7,,18451.4,20132.3,18255.2,14899.0,18847.0,32760.6,1441.0,11382.8,3369.0,-1737.0,,3742.9,3389.0,2405.0,10601.1,,2927.3,2980.0,9497.6,2103.3,4269.0,-1963.7,3937.0,14977.0,3332.0,-503.2,7016.8,6114.0,1241.0,,944.7,9797.7,,4112.4,5793.3,3916.2,560.0,4508.0,18421.6,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,True,,True,False,,False,False,False,True,False,False
District of Columbia,5115,5097.0,5346.8,5314.0,4501.0,,5359.7,7016.0,5389.6,8059.7,,5722.9,5067.0,6902.3,4430.4,6029.0,6438.9,5286.5,8262.2,5690.0,5016.3,,6378.0,3923.0,,5426.8,9139.2,,5263.3,6460.6,,4877.0,6917.1,9259.5,-18.0,231.8,199.0,-614.0,,244.7,1901.0,274.6,2944.7,,607.9,-48.0,1787.3,-684.6,914.0,1323.9,171.5,3147.2,575.0,-98.7,,1263.0,-1192.0,,311.8,4024.2,,148.3,1345.6,,-238.0,1802.1,4144.5,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,,False,False,False
Florida,271532,228576.0,204528.7,232274.0,240949.0,,231950.3,257189.0,226962.0,351193.6,,271176.7,210422.0,250930.3,186255.5,203562.0,213617.4,224835.5,315392.8,224498.5,235425.1,240092.7,280858.0,276963.0,,246606.9,223521.6,,235781.2,232158.3,235459.5,221957.0,273739.0,,-42956.0,-67003.3,-39258.0,-30583.0,,-39581.7,-14343.0,-44570.0,79661.6,,-355.3,-61110.0,-20601.7,-85276.5,-67970.0,-57914.6,-46696.5,43860.8,-47033.5,-36106.9,-31439.3,9326.0,5431.0,,-24925.1,-48010.4,,-35750.8,-39373.7,-36072.5,-49575.0,2207.0,,False,True,True,,True,True,False,False,,True,False,True,False,False,False,False,False,False,True,True,True,True,,True,False,,True,True,True,False,True,
