,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,131561,112980.0,137860.0,,96329.1,109736.0,,118041.0,128386.8,120905.6,56544.2,225810.8,129653.5,,,83493.1,115592.0,24473.8,-18581.0,6299.0,,-35231.9,-21825.0,,-13520.0,-3174.2,-10655.4,-75016.8,94249.8,-1907.5,,,-48067.9,-15969.0,-107087.2,True,,False,False,,True,True,True,False,False,True,,,False,True,False
Alaska,13687,24135.0,19337.0,,26614.2,14097.0,,,33615.0,52542.0,12212.5,25336.6,29090.5,,,24114.4,22335.0,3934.2,10448.0,5650.0,,12927.2,410.0,,,19928.0,38855.0,-1474.5,11649.6,15403.5,,,10427.4,8648.0,-9752.8,True,,False,True,,,False,False,True,False,False,,,True,True,True
Arizona,248445,180630.0,199913.0,,185442.9,377987.0,,186226.0,253174.2,308207.5,160583.9,381495.1,210090.5,,,187433.3,151669.0,45717.9,-67815.0,-48532.0,,-63002.1,129542.0,,-62219.0,4729.2,59762.5,-87861.1,133050.1,-38354.5,,,-61011.7,-96776.0,-202727.1,True,,True,False,,True,True,True,False,False,True,,,True,False,False
Arkansas,82364,71780.0,68886.0,,63575.5,74273.0,,81665.0,96383.3,62904.5,43535.8,100351.7,71427.5,,,87095.2,58654.0,9973.1,-10584.0,-13478.0,,-18788.5,-8091.0,,-699.0,14019.3,-19459.5,-38828.2,17987.7,-10936.5,,,4731.2,-23710.0,-72390.9,False,,False,True,,True,False,False,False,False,False,,,True,False,False
California,1348220,686585.0,1023085.0,,846219.4,840513.0,,646809.0,906359.1,1147425.3,716971.5,1470176.7,1115339.0,,,793742.6,849018.0,,-661635.0,-325135.0,,-502000.6,-507707.0,,-701411.0,-441860.9,-200794.7,-631248.5,121956.7,-232881.0,,,-554477.4,-499202.0,,True,,True,True,,False,True,True,True,True,True,,,True,True,
Colorado,101600,160320.0,157729.0,,173645.3,139056.0,,147793.0,216060.6,111555.0,96079.6,112530.5,137876.0,,,171396.8,113208.0,26674.5,58720.0,56129.0,,72045.3,37456.0,,46193.0,114460.6,9955.0,-5520.4,10930.5,36276.0,,,69796.8,11608.0,-74925.5,True,,False,True,,True,False,True,True,True,True,,,False,True,False
Connecticut,78279,75670.0,98225.0,,66616.2,51672.0,,68944.0,103378.3,76277.8,86597.2,183016.3,57794.5,,,85321.5,55495.0,11031.7,-2609.0,19946.0,,-11662.8,-26607.0,,-9335.0,25099.3,-2001.2,8318.2,104737.3,-20484.5,,,7042.5,-22784.0,-67247.3,False,,False,False,,False,False,True,False,False,False,,,False,False,False
Delaware,25379,22130.0,29127.0,,23711.2,34035.0,,21492.0,33053.8,34578.1,18657.4,47540.8,28377.0,,,23725.1,24588.0,7632.3,-3249.0,3748.0,,-1667.8,8656.0,,-3887.0,7674.8,9199.1,-6721.6,22161.8,2998.0,,,-1653.9,-791.0,-17746.7,False,,True,False,,False,False,False,False,False,True,,,True,True,False
District of Columbia,8585,7820.0,11025.0,,7605.1,8196.0,,9538.0,13448.2,8208.2,8524.1,15102.8,10461.0,,,7018.5,8055.0,1705.3,-765.0,2440.0,,-979.9,-389.0,,953.0,4863.2,-376.8,-60.9,6517.8,1876.0,,,-1566.5,-530.0,-6879.7,False,,False,True,,False,False,True,True,False,False,,,False,True,False
Florida,415059,321705.0,349081.0,,308410.9,602127.0,,275655.0,489267.8,314260.2,306591.9,587353.4,343403.5,,,390372.3,308154.0,,-93354.0,-65978.0,,-106648.1,187068.0,,-139404.0,74208.8,-100798.8,-108467.1,172294.4,-71655.5,,,-24686.7,-106905.0,,True,,False,False,,False,True,False,False,False,True,,,True,False,
