,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,2412,1344.0,,,,560.0,,2036.0,,724.4,,,-1068.0,,,,-1852.0,,-376.0,,-1687.6,,,,,,False,,True,,False,,
01003,7606,3264.0,,,,1732.0,,2496.0,,1623.1,,,-4342.0,,,,-5874.0,,-5110.0,,-5982.9,,,,,,False,,False,,False,,
01005,525,248.0,,,,248.0,,77.5,,184.0,,,-277.0,,,,-277.0,,-447.5,,-341.0,,,,,,False,,False,,False,,
01007,1060,432.0,,,,280.0,,460.4,,,,,-628.0,,,,-780.0,,-599.6,,,,,,,,False,,True,,,,
01009,2529,1856.0,,,,905.0,,883.7,,590.1,,,-673.0,,,,-1624.0,,-1645.3,,-1938.9,,,,,,False,,False,,False,,
01011,276,96.0,,,,121.0,,14.5,,,,,-180.0,,,,-155.0,,-261.5,,,,,,,,True,,False,,,,
01013,560,232.0,,,,173.0,,138.6,,92.0,,,-328.0,,,,-387.0,,-421.4,,-468.0,,,,,,False,,False,,False,,
01015,4983,2536.0,,,,1842.0,,645.1,,1400.8,,,-2447.0,,,,-3141.0,,-4337.9,,-3582.2,,,,,,False,,False,,False,,
01017,1064,584.0,,,,366.0,,68.7,,446.3,,,-480.0,,,,-698.0,,-995.3,,-617.7,,,,,,False,,False,,False,,
01019,625,496.0,,,,406.0,,58.5,,,,,-129.0,,,,-219.0,,-566.5,,,,,,,,False,,False,,,,
01021,1169,536.0,,,,511.0,,202.0,,424.2,,,-633.0,,,,-658.0,,-967.0,,-744.8,,,,,,False,,False,,False,,
01023,91,24.0,,,,113.0,,39.3,,,,,-67.0,,,,22.0,,-51.7,,,,,,,,True,,True,,,,
01025,1125,480.0,,,,250.0,,145.6,,332.9,,,-645.0,,,,-875.0,,-979.4,,-792.1,,,,,,False,,False,,False,,
