,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,154157,85710.0,77979.0,,91474.0,,81263.0,131819.0,100797.4,56641.9,96110.0,150126.0,,61812.0,41293.5,59414.0,-68447.0,-76178.0,,-62683.0,,-72894.0,-22338.0,-53359.6,-97515.1,-58047.0,-4031.0,,-92345.0,-112863.5,-94743.0,False,,True,,False,True,True,False,True,True,,False,False,False
Alaska,18514,25320.0,15066.0,,22713.4,,,38433.1,16485.6,6036.8,23226.5,35117.0,,31284.2,11721.6,17873.0,6806.0,-3448.0,,4199.4,,,19919.1,-2028.4,-12477.2,4712.5,16603.0,,12770.2,-6792.4,-641.0,True,,True,,,False,True,False,True,False,,False,True,True
Arizona,284571,164640.0,160481.0,,160161.9,,151242.0,246355.0,400611.3,180678.6,207418.0,214144.0,,146125.1,83260.1,112902.0,-119931.0,-124090.0,,-124409.1,,-133329.0,-38216.0,116040.3,-103892.4,-77153.0,-70427.0,,-138445.9,-201310.9,-171669.0,False,,False,,False,True,True,True,True,True,,False,False,False
Arkansas,96720,67230.0,57781.0,,64922.2,,87288.0,120511.6,63351.7,47137.4,61187.0,105745.0,,74441.4,23332.0,42153.0,-29490.0,-38939.0,,-31797.8,,-9432.0,23791.6,-33368.3,-49582.6,-35533.0,9025.0,,-22278.6,-73388.0,-54567.0,False,,False,,True,True,False,False,False,True,,True,False,False
California,1492220,571134.0,581806.0,,610726.4,,556676.0,923409.0,1439581.0,699123.2,725157.5,801553.0,,797583.8,504827.8,350553.0,-921086.0,-910414.0,,-881493.6,,-935544.0,-568811.0,-52639.0,-793096.8,-767062.5,-690667.0,,-694636.2,-987392.2,-1141667.0,True,,True,,False,True,True,True,True,True,,True,False,False
Colorado,133664,183624.0,112463.0,,166854.4,,172603.0,351723.0,181485.0,132567.0,156025.5,212439.0,,202002.3,63907.1,102952.0,49960.0,-21201.0,,33190.4,,38939.0,218059.0,47821.0,-1097.0,22361.5,78775.0,,68338.3,-69756.9,-30712.0,True,,True,,True,False,True,True,True,False,,False,False,True
Connecticut,93413,66672.0,41170.0,,66164.2,,65287.0,120585.4,68769.4,92133.7,83647.5,89311.0,,82903.8,14301.4,25294.0,-26741.0,-52243.0,,-27248.8,,-28126.0,27172.4,-24643.6,-1279.3,-9765.5,-4102.0,,-10509.2,-79111.6,-68119.0,False,,False,,False,False,True,True,True,True,,True,False,False
Delaware,29805,20094.0,20772.0,,18042.4,,19881.0,28809.8,28071.4,16719.6,24229.0,29858.0,,23788.6,15179.4,16411.0,-9711.0,-9033.0,,-11762.6,,-9924.0,-995.2,-1733.6,-13085.4,-5576.0,53.0,,-6016.4,-14625.6,-13394.0,True,,False,,False,True,True,False,True,True,,True,False,False
District of Columbia,10149,6462.0,5589.0,,6125.6,,7800.0,11067.2,7681.8,9834.8,9071.0,4277.0,,3982.0,11452.6,3775.0,-3687.0,-4560.0,,-4023.4,,-2349.0,918.2,-2467.2,-314.2,-1078.0,-5872.0,,-6167.0,1303.6,-6374.0,False,,False,,True,True,True,True,True,False,,False,True,False
Florida,479400,320820.0,309092.0,,281112.9,,291938.0,480073.4,434810.8,389303.9,437334.0,468956.0,,389192.1,224568.3,156706.0,-158580.0,-170308.0,,-198287.1,,-187462.0,673.4,-44589.2,-90096.1,-42066.0,-10444.0,,-90207.9,-254831.7,-322694.0,False,,False,,False,True,True,True,True,True,,True,False,False
Georgia,281288,124560.0,105702.0,,132548.1,,143640.0,193089.7,77530.7,100742.4,90341.0,205280.0,,110276.9,83817.1,84249.0,-156728.0,-175586.0,,-148739.9,,-137648.0,-88198.3,-203757.3,-180545.6,-190947.0,-76008.0,,-171011.1,-197470.9,-197039.0,False,,True,,True,True,False,False,False,True,,False,False,False
Hawaii,5326,4326.0,5276.0,,4620.9,,,4427.6,2785.7,10184.2,3909.5,5617.0,,2689.5,4200.4,4209.0,-1000.0,-50.0,,-705.1,,,-898.4,-2540.3,4858.2,-1416.5,291.0,,-2636.5,-1125.6,-1117.0,True,,True,,,True,False,False,False,True,,False,False,False
Idaho,49575,52956.0,44476.0,,49960.8,,55958.0,88863.1,41937.9,31034.1,54931.0,69575.0,,37347.5,16009.4,29347.0,3381.0,-5099.0,,385.8,,6383.0,39288.1,-7637.1,-18540.9,5356.0,20000.0,,-12227.5,-33565.6,-20228.0,False,,True,,False,False,False,False,False,False,,False,False,False
Illinois,311103,399900.0,295426.0,,326303.0,,411110.0,658084.9,233705.6,340735.9,291912.5,459775.0,,669157.0,122618.9,202365.0,88797.0,-15677.0,,15200.0,,100007.0,346981.9,-77397.4,29632.9,-19190.5,148672.0,,358054.0,-188484.1,-108738.0,True,,True,,False,False,True,True,True,False,,False,False,False
Indiana,229552,238950.0,175749.0,,212883.5,,235372.0,433735.7,231409.4,155057.7,196868.5,291341.0,,281997.4,64035.1,135674.0,9398.0,-53803.0,,-16668.5,,5820.0,204183.7,1857.4,-74494.3,-32683.5,61789.0,,52445.4,-165516.9,-93878.0,False,,False,,True,False,True,False,False,False,,False,False,False
Iowa,68992,107856.0,70292.0,,93307.7,,116737.0,197341.7,47228.2,66277.6,64598.0,151481.0,,111140.1,19132.5,48090.0,38864.0,1300.0,,24315.7,,47745.0,128349.7,-21763.8,-2714.4,-4394.0,82489.0,,42148.1,-49859.5,-20902.0,True,,True,,False,False,True,True,True,False,,False,False,True
