,predicted_cases,actual_cases,error,perc_error
JHUAPL-Bucky,9624633.8,8869319,755314.8,8.5%
UCF-AEM,7137024.0,8869319,-1732295.0,-19.5%
IowaStateLW-STEM,7103344.0,8869319,-1765975.0,-19.9%
Covid19Sim-Simulator,6940314.1,8869319,-1929004.9,-21.7%
LANL-GrowthRate,6885357.0,8869319,-1983962.0,-22.4%
IBF-TimeSeries,6873134.0,8869319,-1996185.0,-22.5%
COVIDhub-baseline,6842310.0,8869319,-2027009.0,-22.9%
OneQuietNight-ML,10933845.0,8869319,2064526.0,23.3%
JHU_IDD-CovidSP,6528384.6,8869319,-2340934.4,-26.4%
JCB-PRM,11427095.5,8869319,2557776.5,28.8%
CU-select,6007665.0,8869319,-2861654.0,-32.3%
UCLA-SuEIR,5876287.7,8869319,-2993031.3,-33.7%
USC-SI_kJalpha,4238807.0,8869319,-4630512.0,-52.2%
Columbia_UNC-SurvCon,4086118.0,8869319,-4783201.0,-53.9%
USACE-ERDC_SEIR,3475437.7,8869319,-5393881.3,-60.8%
