,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,9993563.9,10056739,-63175.1,-0.6%
UCF-AEM,9497342.0,10056739,-559397.0,-5.6%
IowaStateLW-STEM,8993769.0,10056739,-1062970.0,-10.6%
IBF-TimeSeries,8495967.0,10056739,-1560772.0,-15.5%
COVIDhub-baseline,8291640.0,10056739,-1765099.0,-17.6%
UCLA-SuEIR,12987104.3,10056739,2930365.3,29.1%
JCB-PRM,13191348.0,10056739,3134609.0,31.2%
OneQuietNight-ML,14145987.0,10056739,4089248.0,40.7%
USC-SI_kJalpha,5718644.0,10056739,-4338095.0,-43.1%
USACE-ERDC_SEIR,4540424.5,10056739,-5516314.5,-54.9%
JHUAPL-Bucky,19150653.8,10056739,9093914.8,90.4%
Columbia_UNC-SurvCon,21354656.0,10056739,11297917.0,112.3%
