,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,55692,47108.0,82514.1,44988.8,50683.0,38500.0,,57884.0,69153.0,68101.6,29224.3,,50230.5,61039.0,64144.7,49476.6,49676.0,32098.5,54866.0,84879.7,52826.0,37786.4,50259.0,58366.0,49665.0,,43879.6,67688.2,,50097.1,80883.0,47803.9,51119.0,48423.9,-8584.0,26822.1,-10703.2,-5009.0,-17192.0,,2192.0,13461.0,12409.6,-26467.7,,-5461.5,5347.0,8452.7,-6215.4,-6016.0,-23593.5,-826.0,29187.7,-2866.0,-17905.6,-5433.0,2674.0,-6027.0,,-11812.4,11996.2,,-5594.9,25191.0,-7888.1,-4573.0,-7268.1,False,False,True,False,,True,False,False,False,,True,True,True,True,True,False,True,False,True,False,True,True,True,,False,False,,True,False,True,True,True
Alaska,4479,3582.0,3239.6,3317.4,3301.0,1974.0,,4030.1,3553.0,4433.9,4398.8,,2663.1,,5498.3,2206.5,2215.0,2609.2,1232.5,3878.4,3431.5,2921.7,5057.8,4190.0,3036.0,,2386.2,6128.8,,3476.8,10157.4,4972.1,3799.0,2779.4,-897.0,-1239.4,-1161.6,-1178.0,-2505.0,,-448.9,-926.0,-45.1,-80.2,,-1815.9,,1019.3,-2272.5,-2264.0,-1869.8,-3246.5,-600.6,-1047.5,-1557.3,578.8,-289.0,-1443.0,,-2092.8,1649.8,,-1002.2,5678.4,493.1,-680.0,-1699.6,False,False,False,False,,True,False,True,True,,False,,False,False,False,False,False,True,False,False,True,True,False,,False,False,,False,False,True,True,False
Arizona,114304,89620.0,119743.5,88491.4,87439.0,78783.0,,92733.4,122658.0,119635.7,81289.7,,78403.8,86981.0,106387.9,75873.4,88406.0,75988.4,87322.0,84578.6,82234.5,66660.2,75502.7,105008.0,90557.0,,79311.7,150992.2,,81347.4,133776.3,95261.7,91375.0,194173.0,-24684.0,5439.5,-25812.6,-26865.0,-35521.0,,-21570.6,8354.0,5331.7,-33014.3,,-35900.2,-27323.0,-7916.1,-38430.6,-25898.0,-38315.6,-26982.0,-29725.4,-32069.5,-47643.8,-38801.3,-9296.0,-23747.0,,-34992.3,36688.2,,-32956.6,19472.3,-19042.3,-22929.0,79869.0,True,False,False,False,,True,True,True,False,,False,False,True,False,False,False,False,False,False,False,False,True,True,,False,False,,False,True,True,True,False
Arkansas,37777,27710.0,34757.5,27896.1,28992.0,23162.0,,31908.4,30155.0,38805.6,18617.9,,27804.2,36502.0,38076.3,25644.5,32117.0,19088.1,28463.0,32506.3,31793.5,20333.5,26976.2,33089.0,28022.0,,25680.1,25401.1,,26989.1,43679.5,31130.8,27859.0,27102.8,-10067.0,-3019.5,-9880.9,-8785.0,-14615.0,,-5868.6,-7622.0,1028.6,-19159.1,,-9972.8,-1275.0,299.3,-12132.5,-5660.0,-18688.9,-9314.0,-5270.7,-5983.5,-17443.5,-10800.8,-4688.0,-9755.0,,-12096.9,-12375.9,,-10787.9,5902.5,-6646.2,-9918.0,-10674.2,True,True,True,False,,True,True,True,False,,True,True,True,False,True,False,True,True,True,False,False,True,True,,False,False,,False,True,True,True,False
California,559829,556106.0,872295.3,558400.2,624833.0,588621.0,,680668.3,654235.0,918819.0,852435.8,,851969.5,580944.0,783196.4,879258.2,504257.0,385233.3,361453.0,1220532.2,949576.0,580205.5,499485.6,689035.0,572484.0,,624833.5,503840.0,,526983.8,931824.3,667925.4,645303.0,900535.6,-3723.0,312466.3,-1428.8,65004.0,28792.0,,120839.3,94406.0,358990.0,292606.8,,292140.5,21115.0,223367.4,319429.2,-55572.0,-174595.7,-198376.0,660703.2,389747.0,20376.5,-60343.4,129206.0,12655.0,,65004.5,-55989.0,,-32845.2,371995.3,108096.4,85474.0,340706.6,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Colorado,35328,34042.0,23580.0,33938.3,29701.0,24439.0,,33658.3,22343.0,29563.8,31080.8,,23921.9,38296.0,36001.2,18900.8,35009.0,20277.5,17258.0,32671.8,25978.0,24631.6,30470.1,35297.0,26536.0,,22886.7,28868.1,,39088.2,55459.2,27494.7,35722.0,34527.5,-1286.0,-11748.0,-1389.7,-5627.0,-10889.0,,-1669.7,-12985.0,-5764.2,-4247.2,,-11406.1,2968.0,673.2,-16427.2,-319.0,-15050.5,-18070.0,-2656.2,-9350.0,-10696.4,-4857.9,-31.0,-8792.0,,-12441.3,-6459.9,,3760.2,20131.2,-7833.3,394.0,-800.5,False,False,False,False,,False,False,False,False,,False,False,True,False,True,False,False,False,False,False,False,True,False,,False,False,,False,False,False,True,True
Connecticut,33251,19922.0,23834.1,19110.0,21442.0,12707.0,,24324.0,18365.0,5198915.4,20278.2,,22396.0,27665.0,37296.1,18364.3,15355.0,28478.4,11500.0,24542.1,24418.0,14624.1,24711.8,22184.0,15884.0,,15376.5,41909.9,,24232.4,50275.2,21912.8,19829.0,23534.9,-13329.0,-9416.9,-14141.0,-11809.0,-20544.0,,-8927.0,-14886.0,5165664.4,-12972.8,,-10855.0,-5586.0,4045.1,-14886.7,-17896.0,-4772.6,-21751.0,-8708.9,-8833.0,-18626.9,-8539.2,-11067.0,-17367.0,,-17874.5,8658.9,,-9018.6,17024.2,-11338.2,-13422.0,-9716.1,True,False,True,False,,True,False,False,True,,True,True,True,False,False,True,False,True,True,False,True,True,False,,False,True,,True,False,True,False,True
Delaware,10002,8674.0,13952.7,9046.0,8818.0,7094.0,,9469.9,15242.0,14190.3,9044.2,,9196.7,8813.0,12545.4,6507.9,9256.0,6986.7,4289.0,10171.1,6579.5,8167.0,11622.6,10761.0,8347.0,,7653.2,16646.7,,8476.6,16368.5,8743.8,9711.0,3243.2,-1328.0,3950.7,-956.0,-1184.0,-2908.0,,-532.1,5240.0,4188.3,-957.8,,-805.3,-1189.0,2543.4,-3494.1,-746.0,-3015.3,-5713.0,169.1,-3422.5,-1835.0,1620.6,759.0,-1655.0,,-2348.8,6644.7,,-1525.4,6366.5,-1258.2,-291.0,-6758.8,False,True,True,False,,True,False,False,True,,True,True,False,False,True,False,False,True,False,False,False,True,False,,False,False,,False,False,True,True,False
District of Columbia,3747,2736.0,5720.8,2682.8,3075.0,2242.0,,3170.4,2834.0,3226.7,1924.8,,3509.4,3246.0,3645.4,2521.1,2994.0,2930.2,3030.5,5638.7,3630.0,3332.8,,3166.0,2146.0,,2377.9,6579.9,,3127.0,4924.2,,3125.0,3119.5,-1011.0,1973.8,-1064.2,-672.0,-1505.0,,-576.6,-913.0,-520.3,-1822.2,,-237.6,-501.0,-101.6,-1225.9,-753.0,-816.8,-716.5,1891.7,-117.0,-414.2,,-581.0,-1601.0,,-1369.1,2832.9,,-620.0,1177.2,,-622.0,-627.5,False,False,True,False,,True,True,True,False,,True,True,True,False,True,True,True,False,True,True,,True,False,,False,False,,True,False,,True,True
Florida,200109,142846.0,154343.4,140847.9,153400.0,129956.0,,156214.8,185853.0,197971.3,185819.8,,150335.7,173277.0,178625.5,130991.7,136748.0,141612.5,133378.5,215430.1,153618.0,133409.7,166673.9,167603.0,165807.0,,148371.9,148692.5,,139743.2,205798.6,159977.7,162239.0,147948.6,-57263.0,-45765.6,-59261.1,-46709.0,-70153.0,,-43894.2,-14256.0,-2137.7,-14289.2,,-49773.3,-26832.0,-21483.5,-69117.3,-63361.0,-58496.5,-66730.5,15321.1,-46491.0,-66699.3,-33435.1,-32506.0,-34302.0,,-51737.1,-51416.5,,-60365.8,5689.6,-40131.3,-37870.0,-52160.4,True,False,True,False,,True,True,True,True,,True,True,True,False,False,False,False,True,True,False,True,True,True,,True,True,,False,True,True,True,True
