,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,2112,828.0,574.0,,,,830.0,,475.1,531.7,660.0,1450.0,,946.7,,,-1284.0,-1538.0,,,,-1282.0,,-1636.9,-1580.3,-1452.0,-662.0,,-1165.3,,,False,,,,True,,False,False,False,True,,True,,
01003,6469,3612.0,4276.0,,,,2210.0,,6933.2,2492.8,4926.0,6003.0,,3047.3,,,-2857.0,-2193.0,,,,-4259.0,,464.2,-3976.2,-1543.0,-466.0,,-3421.7,,,True,,,,False,,True,False,True,True,,False,,
01005,475,96.0,108.0,,,,315.0,,117.5,150.9,50.0,262.0,,,,,-379.0,-367.0,,,,-160.0,,-357.5,-324.1,-425.0,-213.0,,,,,True,,,,True,,True,True,False,True,,,,
01007,859,858.0,634.0,,,,408.0,,3530.0,288.6,272.0,882.0,,,,,-1.0,-225.0,,,,-451.0,,2671.0,-570.4,-587.0,23.0,,,,,False,,,,False,,False,False,False,False,,,,
01009,2125,1122.0,851.0,,,,1174.0,,627.4,777.3,1002.0,1788.0,,1255.0,,,-1003.0,-1274.0,,,,-951.0,,-1497.6,-1347.7,-1123.0,-337.0,,-870.0,,,False,,,,True,,False,False,False,True,,True,,
01011,255,48.0,40.0,,,,118.0,,42.6,51.5,30.0,183.0,,,,,-207.0,-215.0,,,,-137.0,,-212.4,-203.5,-225.0,-72.0,,,,,False,,,,True,,False,True,False,True,,,,
01013,470,198.0,98.0,,,,223.0,,358.5,177.8,275.0,393.0,,,,,-272.0,-372.0,,,,-247.0,,-111.5,-292.2,-195.0,-77.0,,,,,False,,,,True,,True,False,True,True,,,,
01015,4152,2262.0,2357.0,,,,2164.0,,1121.7,1145.6,2501.0,3435.0,,2139.4,,,-1890.0,-1795.0,,,,-1988.0,,-3030.3,-3006.4,-1651.0,-717.0,,-2012.6,,,True,,,,False,,False,False,True,True,,False,,
01017,852,594.0,608.0,,,,451.0,,1093.5,375.6,467.0,735.0,,,,,-258.0,-244.0,,,,-401.0,,241.5,-476.4,-385.0,-117.0,,,,,True,,,,False,,True,False,False,True,,,,
01019,501,258.0,387.0,,,,468.0,,434.0,266.4,253.0,594.0,,,,,-243.0,-114.0,,,,-33.0,,-67.0,-234.6,-248.0,93.0,,,,,True,,,,True,,True,True,False,True,,,,
01021,1003,540.0,458.0,,,,701.0,,658.4,407.6,576.0,1173.0,,384.2,,,-463.0,-545.0,,,,-302.0,,-344.6,-595.4,-427.0,170.0,,-618.8,,,False,,,,True,,True,False,True,True,,False,,
01023,79,36.0,25.0,,,,167.0,,27.5,35.6,45.0,263.0,,,,,-43.0,-54.0,,,,88.0,,-51.5,-43.4,-34.0,184.0,,,,,False,,,,False,,False,False,True,False,,,,
01025,1035,222.0,255.0,,,,341.0,,120.4,233.0,262.0,639.0,,,,,-813.0,-780.0,,,,-694.0,,-914.6,-802.0,-773.0,-396.0,,,,,True,,,,True,,False,True,True,True,,,,
01027,304,216.0,184.0,,,,214.0,,239.2,88.0,177.0,361.0,,,,,-88.0,-120.0,,,,-90.0,,-64.8,-216.0,-127.0,57.0,,,,,False,,,,False,,True,False,False,True,,,,
01029,345,192.0,234.0,,,,247.0,,689.8,99.0,71.0,367.0,,,,,-153.0,-111.0,,,,-98.0,,344.8,-246.0,-274.0,22.0,,,,,True,,,,True,,False,False,False,True,,,,
01031,1652,1038.0,628.0,,,,658.0,,464.1,700.8,967.0,1585.0,,823.0,,,-614.0,-1024.0,,,,-994.0,,-1187.9,-951.2,-685.0,-67.0,,-829.0,,,False,,,,False,,False,False,False,True,,False,,
01033,1935,1176.0,844.0,,,,1318.0,,351.4,739.4,1222.0,1838.0,,565.9,,,-759.0,-1091.0,,,,-617.0,,-1583.6,-1195.6,-713.0,-97.0,,-1369.1,,,False,,,,True,,False,False,True,True,,False,,
01035,223,96.0,69.0,,,,146.0,,49.5,88.8,11.0,266.0,,,,,-127.0,-154.0,,,,-77.0,,-173.5,-134.2,-212.0,43.0,,,,,False,,,,True,,False,False,False,True,,,,
01037,234,240.0,192.0,,,,124.0,,870.2,56.9,154.0,301.0,,,,,6.0,-42.0,,,,-110.0,,636.2,-177.1,-80.0,67.0,,,,,False,,,,False,,False,False,False,False,,,,
01039,959,438.0,227.0,,,,513.0,,437.4,367.0,421.5,926.0,,306.5,,,-521.0,-732.0,,,,-446.0,,-521.6,-592.0,-537.5,-33.0,,-652.5,,,False,,,,True,,False,False,False,True,,False,,
01041,408,66.0,121.0,,,,166.0,,47.3,90.9,31.0,362.0,,,,,-342.0,-287.0,,,,-242.0,,-360.7,-317.1,-377.0,-46.0,,,,,True,,,,True,,False,True,False,True,,,,
01043,3272,1974.0,1347.0,,,,2045.0,,802.6,1343.2,1882.5,2809.0,,2082.0,,,-1298.0,-1925.0,,,,-1227.0,,-2469.4,-1928.8,-1389.5,-463.0,,-1190.0,,,False,,,,True,,False,False,False,True,,True,,
01045,1361,504.0,469.0,,,,669.0,,109.3,381.5,402.0,978.0,,370.7,,,-857.0,-892.0,,,,-692.0,,-1251.7,-979.5,-959.0,-383.0,,-990.3,,,False,,,,True,,False,False,False,True,,False,,
01047,659,444.0,774.0,,,,472.0,,2269.9,433.7,424.0,809.0,,200.4,,,-215.0,115.0,,,,-187.0,,1610.9,-225.3,-235.0,150.0,,-458.6,,,True,,,,True,,False,False,False,True,,False,,
01049,2497,1668.0,2275.0,,,,1603.0,,2828.2,981.9,1465.5,2420.0,,1492.9,,,-829.0,-222.0,,,,-894.0,,331.2,-1515.1,-1031.5,-77.0,,-1004.1,,,True,,,,False,,True,False,False,True,,False,,
01051,3266,1098.0,715.0,,,,993.0,,1955.3,874.4,902.0,2181.0,,1095.1,,,-2168.0,-2551.0,,,,-2273.0,,-1310.7,-2391.6,-2364.0,-1085.0,,-2170.9,,,False,,,,False,,True,False,False,True,,False,,
01053,970,258.0,374.0,,,,528.0,,532.7,211.9,175.0,608.0,,,,,-712.0,-596.0,,,,-442.0,,-437.3,-758.1,-795.0,-362.0,,,,,True,,,,True,,True,False,False,True,,,,
01055,4782,2856.0,2514.0,,,,2084.0,,2912.5,1878.2,3764.5,3748.0,,4243.1,,,-1926.0,-2268.0,,,,-2698.0,,-1869.5,-2903.8,-1017.5,-1034.0,,-538.9,,,False,,,,False,,True,False,True,True,,True,,
01057,645,588.0,222.0,,,,357.0,,952.5,238.1,697.0,608.0,,,,,-57.0,-423.0,,,,-288.0,,307.5,-406.9,52.0,-37.0,,,,,False,,,,False,,False,False,True,True,,,,
01059,988,636.0,380.0,,,,855.0,,553.8,434.8,693.0,983.0,,554.6,,,-352.0,-608.0,,,,-133.0,,-434.2,-553.2,-295.0,-5.0,,-433.4,,,False,,,,True,,False,False,True,True,,False,,
01061,661,396.0,301.0,,,,384.0,,237.7,254.9,445.0,639.0,,,,,-265.0,-360.0,,,,-277.0,,-423.3,-406.1,-216.0,-22.0,,,,,False,,,,False,,False,False,True,True,,,,
01063,300,180.0,38.0,,,,89.0,,650.3,57.7,101.0,201.0,,,,,-120.0,-262.0,,,,-211.0,,350.3,-242.3,-199.0,-99.0,,,,,False,,,,False,,False,False,False,True,,,,
01065,691,360.0,264.0,,,,204.0,,297.8,173.2,407.5,419.0,,,,,-331.0,-427.0,,,,-487.0,,-393.2,-517.8,-283.5,-272.0,,,,,False,,,,False,,False,False,True,True,,,,
01067,570,108.0,116.0,,,,223.0,,50.1,118.8,130.0,399.0,,,,,-462.0,-454.0,,,,-347.0,,-519.9,-451.2,-440.0,-171.0,,,,,True,,,,True,,False,True,True,True,,,,
01069,2856,1566.0,1873.0,,,,1284.0,,1727.2,951.1,2383.0,2709.0,,1490.5,,,-1290.0,-983.0,,,,-1572.0,,-1128.8,-1904.9,-473.0,-147.0,,-1365.5,,,True,,,,False,,True,False,True,True,,False,,
01071,2363,1914.0,2060.0,,,,1161.0,,1063.7,724.9,1834.0,2365.0,,1485.8,,,-449.0,-303.0,,,,-1202.0,,-1299.3,-1638.1,-529.0,2.0,,-877.2,,,True,,,,False,,False,False,False,True,,False,,
01073,26080,13722.0,8817.0,,,,10668.0,,18894.0,9515.4,14495.5,20024.0,,16768.6,,,-12358.0,-17263.0,,,,-15412.0,,-7186.0,-16564.6,-11584.5,-6056.0,,-9311.4,,,False,,,,False,,True,False,True,True,,True,,
01075,453,420.0,268.0,,,,288.0,,330.0,117.9,265.0,472.0,,,,,-33.0,-185.0,,,,-165.0,,-123.0,-335.1,-188.0,19.0,,,,,False,,,,False,,False,False,False,True,,,,
01077,3080,2196.0,2140.0,,,,2243.0,,2970.1,1537.5,2693.0,3331.0,,2462.7,,,-884.0,-940.0,,,,-837.0,,-109.9,-1542.5,-387.0,251.0,,-617.3,,,False,,,,True,,True,False,True,True,,True,,
01079,1036,468.0,540.0,,,,817.0,,2641.3,329.8,523.0,990.0,,,,,-568.0,-496.0,,,,-219.0,,1605.3,-706.2,-513.0,-46.0,,,,,True,,,,True,,False,False,True,True,,,,
01081,3741,1674.0,2147.0,,,,1935.0,,1322.6,1417.4,1826.0,3337.0,,876.8,,,-2067.0,-1594.0,,,,-1806.0,,-2418.4,-2323.6,-1915.0,-404.0,,-2864.2,,,True,,,,True,,False,False,True,True,,False,,
01083,3297,1686.0,1338.0,,,,1850.0,,2127.7,1090.6,1917.0,2774.0,,1331.2,,,-1611.0,-1959.0,,,,-1447.0,,-1169.3,-2206.4,-1380.0,-523.0,,-1965.8,,,False,,,,True,,True,False,True,True,,False,,
01085,248,102.0,68.0,,,,82.0,,151.4,78.4,82.0,154.0,,,,,-146.0,-180.0,,,,-166.0,,-96.6,-169.6,-166.0,-94.0,,,,,False,,,,False,,True,False,False,True,,,,
01087,345,294.0,382.0,,,,153.0,,200.8,177.8,250.0,394.0,,,,,-51.0,37.0,,,,-192.0,,-144.2,-167.2,-95.0,49.0,,,,,True,,,,False,,False,False,False,True,,,,
01089,11996,6786.0,5352.0,,,,5755.0,,5208.6,4204.5,7541.0,9369.0,,7969.1,,,-5210.0,-6644.0,,,,-6241.0,,-6787.4,-7791.5,-4455.0,-2627.0,,-4026.9,,,False,,,,False,,False,False,True,True,,True,,
01091,719,324.0,135.0,,,,279.0,,130.3,169.3,433.0,518.0,,,,,-395.0,-584.0,,,,-440.0,,-588.7,-549.7,-286.0,-201.0,,,,,False,,,,False,,False,False,True,True,,,,
01093,902,432.0,437.0,,,,697.0,,175.1,234.2,395.0,804.0,,,,,-470.0,-465.0,,,,-205.0,,-726.9,-667.8,-507.0,-98.0,,,,,True,,,,True,,False,False,False,True,,,,
01095,3547,3372.0,3069.0,,,,2177.0,,3127.8,2198.3,3359.5,4173.0,,1602.0,,,-175.0,-478.0,,,,-1370.0,,-419.2,-1348.7,-187.5,626.0,,-1945.0,,,False,,,,False,,False,False,False,False,,False,,
01097,8407,4020.0,5530.0,,,,4771.0,,3075.6,3745.2,4791.5,8075.0,,3630.4,,,-4387.0,-2877.0,,,,-3636.0,,-5331.4,-4661.8,-3615.5,-332.0,,-4776.6,,,True,,,,True,,False,False,True,True,,False,,
01099,589,144.0,206.0,,,,264.0,,205.9,117.7,147.0,497.0,,,,,-445.0,-383.0,,,,-325.0,,-383.1,-471.3,-442.0,-92.0,,,,,True,,,,True,,True,False,True,True,,,,
01101,5574,2340.0,2291.0,,,,2471.0,,1030.5,1866.0,1888.5,4636.0,,2111.1,,,-3234.0,-3283.0,,,,-3103.0,,-4543.5,-3708.0,-3685.5,-938.0,,-3462.9,,,False,,,,True,,False,False,False,True,,False,,
01103,5008,3570.0,3279.0,,,,2631.0,,5653.9,2156.1,4723.5,4406.0,,4109.4,,,-1438.0,-1729.0,,,,-2377.0,,645.9,-2851.9,-284.5,-602.0,,-898.6,,,False,,,,False,,True,False,True,True,,True,,
01105,237,132.0,98.0,,,,106.0,,247.9,60.3,117.0,213.0,,,,,-105.0,-139.0,,,,-131.0,,10.9,-176.7,-120.0,-24.0,,,,,False,,,,False,,True,False,False,True,,,,
01107,642,612.0,280.0,,,,331.0,,385.3,227.9,603.5,612.0,,,,,-30.0,-362.0,,,,-311.0,,-256.7,-414.1,-38.5,-30.0,,,,,False,,,,False,,False,False,False,False,,,,
01109,742,330.0,336.0,,,,420.0,,120.2,208.0,260.0,569.0,,,,,-412.0,-406.0,,,,-322.0,,-621.8,-534.0,-482.0,-173.0,,,,,True,,,,True,,False,False,False,True,,,,
01111,305,234.0,336.0,,,,336.0,,116.6,180.1,246.0,539.0,,,,,-71.0,31.0,,,,31.0,,-188.4,-124.9,-59.0,234.0,,,,,True,,,,True,,False,False,True,False,,,,
01113,837,366.0,769.0,,,,759.0,,6006.2,444.5,405.0,775.0,,242.5,,,-471.0,-68.0,,,,-78.0,,5169.2,-392.5,-432.0,-62.0,,-594.5,,,True,,,,True,,False,True,True,True,,False,,
