,mean_rank
COVIDhub-ensemble,8.4
USC-SI_kJalpha,10.2
OneQuietNight-ML,10.6
LNQ-ens1,11.2
RobertWalraven-ESG,12.0
Covid19Sim-Simulator,12.2
JHU_UNC_GAS-StatMechPool,12.3
JHU_CSSE-DECOM,12.4
COVIDhub-baseline,12.5
CU-select,12.9
IEM_MED-CovidProject,13.2
Microsoft-DeepSTIA,13.4
LANL-GrowthRate,13.7
IowaStateLW-STEM,13.9
UCLA-SuEIR,14.2
Karlen-pypm,14.5
DDS-NBDS,15.0
BPagano-RtDriven,16.0
JHU_IDD-CovidSP,16.1
CovidAnalytics-DELPHI,16.5
JHUAPL-Bucky,16.5
UMich-RidgeTfReg,17.1
OliverWyman-Navigator,17.3
JCB-PRM,19.6
UCSB-ACTS,19.9
UVA-Ensemble,20.0
TTU-squider,20.4
Wadhwani_AI-BayesOpt,20.8
Google_Harvard-CPF,22.3
