,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1589,1116.0,,,1039.0,960.0,,,,,1033.6,,,,959.0,,1596.8,673.5,885.5,,1750.5,1257.3,1322.0,1232.0,1144.7,,,,,940.0,,,,1234.8,-473.0,,,-550.0,-629.0,,,,,-555.4,,,,-630.0,,7.8,-915.5,-703.5,,161.5,-331.7,-267.0,-357.0,-444.3,,,,,-649.0,,,,-354.2,,,False,False,,,,,False,,,,False,,True,False,False,,True,True,True,True,True,,,,,False,,,,True
01003,4537,4156.0,,,3931.0,3712.0,,,,,6862.2,,,,2726.0,,4999.3,2459.9,3238.0,,5693.0,5221.2,4898.7,4650.0,4128.7,,,,,3325.5,2807.0,,,6228.6,-381.0,,,-606.0,-825.0,,,,,2325.2,,,,-1811.0,,462.3,-2077.1,-1299.0,,1156.0,684.2,361.7,113.0,-408.3,,,,,-1211.5,-1730.0,,,1691.6,,,False,False,,,,,False,,,,False,,False,False,False,,False,False,True,True,False,,,,,False,False,,,False
01005,379,200.0,,,201.0,155.0,,,,,196.4,,,,347.0,,292.4,102.2,,,129.5,221.6,230.5,323.0,266.5,,,,,,,,,209.8,-179.0,,,-178.0,-224.0,,,,,-182.6,,,,-32.0,,-86.6,-276.8,,,-249.5,-157.4,-148.5,-56.0,-112.5,,,,,,,,,-169.2,,,True,False,,,,,False,,,,True,,True,False,,,False,True,True,True,True,,,,,,,,,True
01007,621,536.0,,,487.0,271.0,,,,,639.0,,,,431.0,,185.2,221.9,,,687.0,566.9,515.1,578.0,458.9,,,,,,,,,645.4,-85.0,,,-134.0,-350.0,,,,,18.0,,,,-190.0,,-435.8,-399.1,,,66.0,-54.1,-105.9,-43.0,-162.1,,,,,,,,,24.4,,,False,False,,,,,True,,,,False,,False,False,,,True,True,False,True,False,,,,,,,,,True
01009,1303,1852.0,,,1586.0,1561.0,,,,,1849.1,,,,1327.0,,2676.1,775.9,1325.0,,2209.0,1904.7,1810.4,1685.0,1338.9,,,,,1451.7,,,,1558.2,549.0,,,283.0,258.0,,,,,546.1,,,,24.0,,1373.1,-527.1,22.0,,906.0,601.7,507.4,382.0,35.9,,,,,148.7,,,,255.2,,,True,True,,,,,True,,,,True,,False,True,True,,False,False,True,True,True,,,,,True,,,,True
01011,225,48.0,,,55.0,0.0,,,,,54.3,,,,132.0,,51.4,51.2,,,39.0,81.4,96.6,149.0,150.7,,,,,,,,,55.0,-177.0,,,-170.0,-225.0,,,,,-170.7,,,,-93.0,,-173.6,-173.8,,,-186.0,-143.6,-128.4,-76.0,-74.3,,,,,,,,,-170.0,,,True,False,,,,,True,,,,True,,True,True,,,False,True,True,True,True,,,,,,,,,True
01013,329,324.0,,,319.0,28.0,,,,,355.0,,,,264.0,,510.4,208.9,,,386.0,384.4,368.8,407.0,236.5,,,,,,,,,314.1,-5.0,,,-10.0,-301.0,,,,,26.0,,,,-65.0,,181.4,-120.1,,,57.0,55.4,39.8,78.0,-92.5,,,,,,,,,-14.9,,,False,False,,,,,False,,,,False,,False,False,,,False,False,False,False,False,,,,,,,,,False
01015,2693,2932.0,,,2763.0,2496.0,,,,,3514.1,,,,2545.0,,4534.0,1516.8,2165.0,,3694.5,3129.8,2915.3,3069.0,2504.5,,,,,2122.6,,,,4205.4,239.0,,,70.0,-197.0,,,,,821.1,,,,-148.0,,1841.0,-1176.2,-528.0,,1001.5,436.8,222.3,376.0,-188.5,,,,,-570.4,,,,1512.4,,,True,True,,,,,False,,,,True,,False,False,False,,False,False,True,False,True,,,,,False,,,,False
01017,623,384.0,,,424.0,521.0,,,,,500.1,,,,522.0,,277.0,270.8,414.5,,374.5,467.9,499.2,545.0,351.0,,,,,,,,,404.1,-239.0,,,-199.0,-102.0,,,,,-122.9,,,,-101.0,,-346.0,-352.2,-208.5,,-248.5,-155.1,-123.8,-78.0,-272.0,,,,,,,,,-218.9,,,True,True,,,,,True,,,,True,,False,False,True,,False,True,True,True,False,,,,,,,,,True
01019,336,388.0,,,410.0,336.0,,,,,506.5,,,,522.0,,248.2,198.8,,,510.0,452.8,432.0,518.0,483.4,,,,,,,,,363.6,52.0,,,74.0,0.0,,,,,170.5,,,,186.0,,-87.8,-137.2,,,174.0,116.8,96.0,182.0,147.4,,,,,,,,,27.6,,,False,True,,,,,False,,,,False,,False,False,,,False,False,False,False,False,,,,,,,,,True
01021,710,620.0,,,674.0,249.0,,,,,539.8,,,,855.0,,1153.5,336.6,626.5,,630.0,685.1,644.1,891.0,647.3,,,,,452.2,,,,782.4,-90.0,,,-36.0,-461.0,,,,,-170.2,,,,145.0,,443.5,-373.4,-83.5,,-80.0,-24.9,-65.9,181.0,-62.7,,,,,-257.8,,,,72.4,,,True,False,,,,,False,,,,False,,False,False,True,,True,True,True,False,True,,,,,False,,,,True
01023,48,60.0,,,59.0,28.0,,,,,124.1,,,,259.0,,52.8,35.6,,,61.0,58.3,89.7,193.0,104.5,,,,,,,,,49.3,12.0,,,11.0,-20.0,,,,,76.1,,,,211.0,,4.8,-12.4,,,13.0,10.3,41.7,145.0,56.5,,,,,,,,,1.3,,,True,False,,,,,False,,,,False,,True,False,,,False,True,False,False,False,,,,,,,,,True
01025,586,1492.0,,,643.0,508.0,,,,,2442.9,,,,458.0,,862.1,398.8,,,470.5,858.1,540.2,890.0,551.8,,,,,,,,,1351.6,906.0,,,57.0,-78.0,,,,,1856.9,,,,-128.0,,276.1,-187.2,,,-115.5,272.1,-45.8,304.0,-34.2,,,,,,,,,765.6,,,True,True,,,,,False,,,,True,,True,True,,,True,True,True,True,True,,,,,,,,,True
01027,225,168.0,,,175.0,162.0,,,,,113.2,,,,241.0,,131.2,79.5,,,167.0,207.4,175.5,260.0,261.6,,,,,,,,,179.2,-57.0,,,-50.0,-63.0,,,,,-111.8,,,,16.0,,-93.8,-145.5,,,-58.0,-17.6,-49.5,35.0,36.6,,,,,,,,,-45.8,,,True,False,,,,,False,,,,True,,False,False,,,False,True,True,True,True,,,,,,,,,True
01029,239,236.0,,,215.0,29.0,,,,,286.0,,,,290.0,,92.0,81.1,,,173.0,244.3,268.4,316.0,266.4,,,,,,,,,284.8,-3.0,,,-24.0,-210.0,,,,,47.0,,,,51.0,,-147.0,-157.9,,,-66.0,5.3,29.4,77.0,27.4,,,,,,,,,45.8,,,False,False,,,,,False,,,,False,,False,False,,,False,False,False,False,False,,,,,,,,,False
01031,1220,996.0,,,984.0,1053.0,,,,,1071.4,,,,702.0,,941.1,515.2,777.5,,930.0,1085.8,1153.5,1191.0,1048.7,,,,,788.2,,,,1163.7,-224.0,,,-236.0,-167.0,,,,,-148.6,,,,-518.0,,-278.9,-704.8,-442.5,,-290.0,-134.2,-66.5,-29.0,-171.3,,,,,-431.8,,,,-56.3,,,False,True,,,,,True,,,,False,,False,False,False,,False,True,True,True,True,,,,,False,,,,True
01033,1248,1160.0,,,1140.0,934.0,,,,,1688.1,,,,1353.0,,978.8,768.0,981.5,,1379.0,1338.5,1411.2,1335.0,1298.2,,,,,1015.9,,,,1160.3,-88.0,,,-108.0,-314.0,,,,,440.1,,,,105.0,,-269.2,-480.0,-266.5,,131.0,90.5,163.2,87.0,50.2,,,,,-232.1,,,,-87.7,,,False,False,,,,,False,,,,False,,False,False,False,,False,False,False,True,True,,,,,False,,,,True
01035,131,164.0,,,179.0,257.0,,,,,104.5,,,,181.0,,294.6,69.3,,,251.0,157.8,157.0,247.0,183.3,,,,,,,,,126.3,33.0,,,48.0,126.0,,,,,-26.5,,,,50.0,,163.6,-61.7,,,120.0,26.8,26.0,116.0,52.3,,,,,,,,,-4.7,,,False,False,,,,,True,,,,False,,False,False,,,False,True,True,False,False,,,,,,,,,True
01037,148,148.0,,,151.0,168.0,,,,,168.8,,,,140.0,,123.1,48.9,,,150.0,171.1,182.9,189.0,185.5,,,,,,,,,186.1,0.0,,,3.0,20.0,,,,,20.8,,,,-8.0,,-24.9,-99.1,,,2.0,23.1,34.9,41.0,37.5,,,,,,,,,38.1,,,False,False,,,,,False,,,,False,,False,False,,,False,False,False,False,False,,,,,,,,,False
01039,631,636.0,,,576.0,240.0,,,,,661.0,,,,581.0,,767.2,317.6,489.0,,412.0,655.7,697.7,861.0,902.5,,,,,338.0,,,,638.5,5.0,,,-55.0,-391.0,,,,,30.0,,,,-50.0,,136.2,-313.4,-142.0,,-219.0,24.7,66.7,230.0,271.5,,,,,-293.0,,,,7.5,,,False,False,,,,,False,,,,False,,False,False,False,,False,False,False,False,False,,,,,False,,,,False
01041,348,120.0,,,119.0,61.0,,,,,132.0,,,,173.0,,115.3,65.3,,,114.0,175.6,173.3,253.0,159.7,,,,,,,,,145.0,-228.0,,,-229.0,-287.0,,,,,-216.0,,,,-175.0,,-232.7,-282.7,,,-234.0,-172.4,-174.7,-95.0,-188.3,,,,,,,,,-203.0,,,False,False,,,,,True,,,,True,,False,False,,,False,True,True,True,True,,,,,,,,,True
01043,2033,2592.0,,,2324.0,2197.0,,,,,2734.8,,,,2342.0,,3330.6,1196.3,1863.5,,2299.0,2433.7,2508.9,2543.0,2196.8,,,,,2053.2,,,,3278.0,559.0,,,291.0,164.0,,,,,701.8,,,,309.0,,1297.6,-836.7,-169.5,,266.0,400.7,475.9,510.0,163.8,,,,,20.2,,,,1245.0,,,True,True,,,,,False,,,,True,,False,False,True,,True,True,True,True,True,,,,,True,,,,False
01045,939,952.0,,,874.0,833.0,,,,,1008.7,,,,720.0,,1664.4,412.6,679.0,,895.0,1016.8,977.9,1129.0,882.0,,,,,689.7,,,,1196.7,13.0,,,-65.0,-106.0,,,,,69.7,,,,-219.0,,725.4,-526.4,-260.0,,-44.0,77.8,38.9,190.0,-57.0,,,,,-249.3,,,,257.7,,,False,False,,,,,False,,,,False,,False,False,False,,False,False,False,False,False,,,,,False,,,,False
01047,434,436.0,,,391.0,238.0,,,,,423.2,,,,626.0,,278.5,283.4,375.5,,264.5,404.7,469.9,661.0,410.6,,,,,383.5,,,,510.8,2.0,,,-43.0,-196.0,,,,,-10.8,,,,192.0,,-155.5,-150.6,-58.5,,-169.5,-29.3,35.9,227.0,-23.4,,,,,-50.5,,,,76.8,,,False,False,,,,,False,,,,False,,False,False,False,,False,False,False,False,False,,,,,False,,,,False
01049,1567,2012.0,,,1953.0,2040.0,,,,,2120.8,,,,2092.0,,1607.8,984.0,1414.0,,1919.5,1930.0,2145.2,2071.0,1665.2,,,,,965.9,,,,2772.8,445.0,,,386.0,473.0,,,,,553.8,,,,525.0,,40.8,-583.0,-153.0,,352.5,363.0,578.2,504.0,98.2,,,,,-601.1,,,,1205.8,,,True,False,,,,,False,,,,False,,True,False,True,,True,True,False,False,True,,,,,False,,,,False
01051,2425,1852.0,,,1810.0,2016.0,,,,,1823.4,,,,1169.0,,2907.9,1079.7,1499.0,,1866.5,1918.2,1956.3,1903.0,1639.2,,,,,1490.7,,,,1826.8,-573.0,,,-615.0,-409.0,,,,,-601.6,,,,-1256.0,,482.9,-1345.3,-926.0,,-558.5,-506.8,-468.7,-522.0,-785.8,,,,,-934.3,,,,-598.2,,,False,True,,,,,False,,,,False,,True,False,False,,True,True,True,True,False,,,,,False,,,,False
