,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1149,1320.0,,,1153.0,852.0,,,,,900.8,943.5,,,867.0,,1585.1,632.5,1153.0,,1535.0,1259.3,,1656.0,1203.0,914.3,,,,,1031.6,,,,1576.4,171.0,,,4.0,-297.0,,,,,-248.2,-205.5,,,-282.0,,436.1,-516.5,4.0,,386.0,110.3,,507.0,54.0,-234.7,,,,,-117.4,,,,427.4,,,True,False,,,,,False,False,,,False,,False,False,True,,False,True,,False,True,False,,,,,True,,,,False
01003,3480,3171.0,,,3101.0,2859.0,,,,,2714.6,2985.5,,,2258.0,,3405.0,1995.8,3605.0,,3168.0,3099.6,,4615.0,3370.0,3111.1,,,,,2674.6,2006.0,,,4866.5,-309.0,,,-379.0,-621.0,,,,,-765.4,-494.5,,,-1222.0,,-75.0,-1484.2,125.0,,-312.0,-380.4,,1135.0,-110.0,-368.9,,,,,-805.4,-1474.0,,,1386.5,,,False,False,,,,,False,False,,,False,,True,False,True,,False,False,,False,True,False,,,,,False,False,,,False
01005,318,183.0,,,198.0,137.0,,,,,207.0,194.7,,,297.0,,151.1,109.4,,,208.0,208.3,,231.0,248.0,183.5,,,,,,,,,189.2,-135.0,,,-120.0,-181.0,,,,,-111.0,-123.3,,,-21.0,,-166.9,-208.6,,,-110.0,-109.7,,-87.0,-70.0,-134.5,,,,,,,,,-128.8,,,True,False,,,,,True,True,,,True,,False,False,,,True,True,,True,True,True,,,,,,,,,True
01007,437,552.0,,,456.0,252.0,,,,,383.9,373.6,,,346.0,,1200.5,258.5,,,555.0,440.3,,690.0,495.0,414.1,,,,,,,,,938.9,115.0,,,19.0,-185.0,,,,,-53.1,-63.4,,,-91.0,,763.5,-178.5,,,118.0,3.3,,253.0,58.0,-22.9,,,,,,,,,501.9,,,True,False,,,,,True,True,,,True,,False,False,,,False,True,,False,True,True,,,,,,,,,False
01009,856,1341.0,,,1279.0,1038.0,,,,,914.5,1099.8,,,1116.0,,1452.0,723.0,1408.0,,1595.0,1335.0,,1831.0,1255.0,1043.8,,,,,1095.9,,,,1832.5,485.0,,,423.0,182.0,,,,,58.5,243.8,,,260.0,,596.0,-133.0,552.0,,739.0,479.0,,975.0,399.0,187.8,,,,,239.9,,,,976.5,,,True,True,,,,,True,True,,,True,,False,True,False,,False,True,,False,True,True,,,,,True,,,,False
01011,198,81.0,,,80.0,0.0,,,,,107.0,75.7,,,119.0,,35.5,43.0,,,75.0,84.5,,110.0,115.0,117.6,,,,,,,,,61.2,-117.0,,,-118.0,-198.0,,,,,-91.0,-122.3,,,-79.0,,-162.5,-155.0,,,-123.0,-113.5,,-88.0,-83.0,-80.4,,,,,,,,,-136.8,,,False,False,,,,,True,False,,,True,,False,False,,,False,True,,True,True,True,,,,,,,,,False
01013,234,261.0,,,252.0,24.0,,,,,258.6,187.5,,,234.0,,270.0,185.8,,,256.0,237.6,,347.0,301.0,283.5,,,,,,,,,298.0,27.0,,,18.0,-210.0,,,,,24.6,-46.5,,,0.0,,36.0,-48.2,,,22.0,3.6,,113.0,67.0,49.5,,,,,,,,,64.0,,,True,False,,,,,True,False,,,True,,False,False,,,True,True,,False,False,False,,,,,,,,,False
01015,1859,2502.0,,,2209.0,2048.0,,,,,1815.9,2516.1,,,1988.0,,1214.0,1270.2,2331.5,,2855.5,2508.9,,3194.0,2375.0,2021.4,,,,,1998.2,,,,2153.8,643.0,,,350.0,189.0,,,,,-43.1,657.1,,,129.0,,-645.0,-588.8,472.5,,996.5,649.9,,1335.0,516.0,162.4,,,,,139.2,,,,294.8,,,True,True,,,,,True,False,,,True,,False,True,True,,False,False,,False,True,True,,,,,True,,,,True
01017,504,357.0,,,361.0,406.0,,,,,345.0,368.5,,,445.0,,155.2,230.1,361.5,,298.5,347.8,,382.0,408.0,277.0,,,,,,,,,355.0,-147.0,,,-143.0,-98.0,,,,,-159.0,-135.5,,,-59.0,,-348.8,-273.9,-142.5,,-205.5,-156.2,,-122.0,-96.0,-227.0,,,,,,,,,-149.0,,,True,True,,,,,False,True,,,True,,False,False,True,,False,False,,True,True,False,,,,,,,,,False
01019,245,273.0,,,291.0,247.0,,,,,253.4,241.2,,,447.0,,235.6,163.8,,,308.0,322.8,,375.0,358.0,305.4,,,,,,,,,287.5,28.0,,,46.0,2.0,,,,,8.4,-3.8,,,202.0,,-9.4,-81.2,,,63.0,77.8,,130.0,113.0,60.4,,,,,,,,,42.5,,,False,True,,,,,True,True,,,False,,True,False,,,False,False,,False,False,False,,,,,,,,,False
