,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,579,269.0,,281.0,,244.0,181.0,,,,,260.8,,141.6,,,247.0,215.2,192.7,232.0,,241.0,258.9,,,237.0,279.0,127.5,,,,,218.1,275.9,,,,402.0,285.0,-310.0,,-298.0,,-335.0,-398.0,,,,,-318.2,,-437.4,,,-332.0,-363.8,-386.3,-347.0,,-338.0,-320.1,,,-342.0,-300.0,-451.5,,,,,-360.9,-303.1,,,,-177.0,-294.0,,True,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,False,True,False,,,,,False,True,,,,True,True
01003,1247,1247.0,,1269.6,,1113.0,1763.0,,,,,865.2,,568.9,,,758.0,1233.9,696.4,894.0,,1203.0,1112.9,,,1315.0,1173.0,944.3,,,,,1126.0,850.1,1102.0,,,1179.0,1011.0,0.0,,22.6,,-134.0,516.0,,,,,-381.8,,-678.1,,,-489.0,-13.1,-550.6,-353.0,,-44.0,-134.1,,,68.0,-74.0,-302.7,,,,,-121.0,-396.9,-145.0,,,-68.0,-236.0,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,False,False,False,,,,,False,False,False,,,False,False
01005,120,130.0,,128.8,,107.0,161.0,,,,,88.4,,60.0,,,95.0,175.9,62.6,,,71.0,88.3,,,118.0,116.0,108.2,,,,,,119.8,,,,389.9,92.0,10.0,,8.8,,-13.0,41.0,,,,,-31.6,,-60.0,,,-25.0,55.9,-57.4,,,-49.0,-31.7,,,-2.0,-4.0,-11.8,,,,,,-0.2,,,,269.9,-28.0,,True,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,True,True,False,,,,,,True,,,,False,False
01007,175,124.0,,117.4,,117.0,111.0,,,,,109.9,,57.5,,,100.0,116.7,78.6,,,113.0,123.1,,,133.0,135.0,136.2,,,,,,127.4,,,,144.4,106.0,-51.0,,-57.6,,-58.0,-64.0,,,,,-65.1,,-117.5,,,-75.0,-58.3,-96.4,,,-62.0,-51.9,,,-42.0,-40.0,-38.8,,,,,,-47.6,,,,-30.6,-69.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,True,True,True,,,,,,True,,,,True,False
01009,318,283.0,,289.4,,235.0,171.0,,,,,261.9,,164.9,,,276.0,179.4,153.5,243.0,,173.0,232.7,,,273.0,308.0,283.2,,,,,261.3,218.1,,,,380.1,236.0,-35.0,,-28.6,,-83.0,-147.0,,,,,-56.1,,-153.1,,,-42.0,-138.6,-164.5,-75.0,,-145.0,-85.3,,,-45.0,-10.0,-34.8,,,,,-56.7,-99.9,,,,62.1,-82.0,,True,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,False,True,True,,,,,False,False,,,,False,False
01011,58,67.0,,67.1,,67.0,85.0,,,,,46.9,,0.0,,,28.0,180.9,39.1,,,104.0,63.8,,,103.0,65.0,83.5,,,,,,75.4,,,,128.2,65.0,9.0,,9.1,,9.0,27.0,,,,,-11.1,,-58.0,,,-30.0,122.9,-18.9,,,46.0,5.8,,,45.0,7.0,25.5,,,,,,17.4,,,,70.2,7.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,True,,,False,True,False,,,,,,False,,,,False,True
01013,95,84.0,,88.2,,79.0,66.0,,,,,78.8,,62.8,,,74.0,95.2,50.9,,,76.0,76.7,,,83.0,81.0,95.8,,,,,,111.2,,,,79.4,74.0,-11.0,,-6.8,,-16.0,-29.0,,,,,-16.2,,-32.2,,,-21.0,0.2,-44.1,,,-19.0,-18.3,,,-12.0,-14.0,0.8,,,,,,16.2,,,,-15.6,-21.0,,True,,False,False,,,,,False,,False,,,False,True,False,,,False,False,,,False,False,True,,,,,,False,,,,False,False
01015,761,494.0,,501.4,,431.0,364.0,,,,,530.6,,514.8,,,592.0,313.3,380.5,379.5,,396.0,465.9,,,545.0,548.0,615.1,,,,,404.5,459.1,,,,393.0,572.0,-267.0,,-259.6,,-330.0,-397.0,,,,,-230.4,,-246.2,,,-169.0,-447.7,-380.5,-381.5,,-365.0,-295.1,,,-216.0,-213.0,-145.9,,,,,-356.5,-301.9,,,,-368.0,-189.0,,True,,False,False,,,,,True,,True,,,True,False,False,False,,False,False,,,True,True,True,,,,,False,False,,,,False,True
01017,234,183.0,,187.6,,163.0,212.0,,,,,113.9,,98.2,,,136.0,219.9,82.8,136.0,,292.0,151.9,,,159.0,168.0,126.3,,,,,171.4,157.4,,,,259.1,133.0,-51.0,,-46.4,,-71.0,-22.0,,,,,-120.1,,-135.8,,,-98.0,-14.1,-151.2,-98.0,,58.0,-82.1,,,-75.0,-66.0,-107.7,,,,,-62.6,-76.6,,,,25.1,-101.0,,True,,False,True,,,,,False,,False,,,False,True,False,False,,False,False,,,False,False,False,,,,,False,False,,,,True,False
01019,88,67.0,,66.6,,67.0,49.0,,,,,76.3,,28.6,,,110.0,51.2,52.5,,,41.0,62.3,,,81.0,88.0,85.2,,,,,,85.0,,,,78.6,69.0,-21.0,,-21.4,,-21.0,-39.0,,,,,-11.7,,-59.4,,,22.0,-36.8,-35.5,,,-47.0,-25.7,,,-7.0,0.0,-2.8,,,,,,-3.0,,,,-9.4,-19.0,,False,,False,False,,,,,True,,False,,,False,False,False,,,False,False,,,True,True,True,,,,,,True,,,,True,True
01021,218,207.0,,210.0,,182.0,221.0,,,,,164.6,,56.0,,,191.0,204.8,94.7,151.0,,128.0,172.7,,,189.0,211.0,156.0,,,,,182.6,161.8,,,,196.8,164.0,-11.0,,-8.0,,-36.0,3.0,,,,,-53.4,,-162.0,,,-27.0,-13.2,-123.3,-67.0,,-90.0,-45.3,,,-29.0,-7.0,-62.0,,,,,-35.4,-56.2,,,,-21.2,-54.0,,True,,False,True,,,,,False,,False,,,False,False,False,False,,False,False,,,False,True,False,,,,,False,False,,,,False,False
