,predicted_cases,actual_cases,error,perc_error
IBF-TimeSeries,1723740.0,1710545,13195.0,0.8%
UMich-RidgeTfReg,1669387.6,1710545,-41157.4,-2.4%
QJHong-Encounter,1612429.0,1710545,-98116.0,-5.7%
JHUAPL-Bucky,1581327.0,1710545,-129218.0,-7.6%
OneQuietNight-ML,1560365.0,1710545,-150180.0,-8.8%
DDS-NBDS,1534557.7,1710545,-175987.3,-10.3%
CU-select,1533396.0,1710545,-177149.0,-10.4%
UCF-AEM,1517811.0,1710545,-192734.0,-11.3%
BPagano-RtDriven,1505929.4,1710545,-204615.6,-12.0%
Karlen-pypm,1488708.7,1710545,-221836.3,-13.0%
CovidAnalytics-DELPHI,1468373.0,1710545,-242172.0,-14.2%
Microsoft-DeepSTIA,1455280.4,1710545,-255264.6,-14.9%
TTU-squider,1449584.0,1710545,-260961.0,-15.3%
OliverWyman-Navigator,1436007.0,1710545,-274538.0,-16.0%
COVIDhub-baseline,1434058.0,1710545,-276487.0,-16.2%
COVIDhub-ensemble,1423488.0,1710545,-287057.0,-16.8%
UCLA-SuEIR,1412917.8,1710545,-297627.2,-17.4%
LNQ-ens1,1410356.7,1710545,-300188.3,-17.5%
RobertWalraven-ESG,1409364.7,1710545,-301180.3,-17.6%
CEID-Walk,1404550.2,1710545,-305994.8,-17.9%
USC-SI_kJalpha,1372519.0,1710545,-338026.0,-19.8%
Covid19Sim-Simulator,1352113.7,1710545,-358431.3,-21.0%
LANL-GrowthRate,1346457.0,1710545,-364088.0,-21.3%
Geneva-DetGrowth,1345770.1,1710545,-364774.9,-21.3%
IEM_MED-CovidProject,1345701.5,1710545,-364843.5,-21.3%
IowaStateLW-STEM,1306024.0,1710545,-404521.0,-23.6%
UChicagoCHATTOPADHYAY-UnIT,1296505.9,1710545,-414039.1,-24.2%
Columbia_UNC-SurvCon,1268888.0,1710545,-441657.0,-25.8%
UVA-Ensemble,2352718.4,1710545,642173.4,37.5%
JHU_IDD-CovidSP,991694.9,1710545,-718850.1,-42.0%
Google_Harvard-CPF,,1710545,,
JHU_CSSE-DECOM,,1710545,,
JHU_UNC_GAS-StatMechPool,,1710545,,
UCSB-ACTS,,1710545,,
Wadhwani_AI-BayesOpt,,1710545,,
