,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,29692,26000.0,27187.9,25552.3,25994.0,25210.0,,24150.2,33065.0,26919.8,24567.7,21358.4,,24547.0,26264.0,24121.7,24002.0,15613.6,23761.0,34515.4,22056.5,25994.4,26172.9,26518.0,27359.0,,25250.5,30006.8,,27170.4,38013.4,22642.7,27990.2,26063.0,31606.5,20532.1,-3692.0,-2504.1,-4139.7,-3698.0,-4482.0,,-5541.8,3373.0,-2772.2,-5124.3,-8333.6,,-5145.0,-3428.0,-5570.3,-5690.0,-14078.4,-5931.0,4823.4,-7635.5,-3697.6,-3519.1,-3174.0,-2333.0,,-4441.5,314.8,,-2521.6,8321.4,-7049.3,-1701.8,-3629.0,1914.5,-9159.9,True,False,False,False,,False,True,True,False,False,,False,True,False,False,False,False,False,False,False,True,True,True,,False,True,,True,False,False,True,True,True,False
Alaska,2157,2322.0,2449.9,2159.3,2018.0,1251.0,,1839.5,1244.0,1662.5,3251.7,2774.4,,1594.9,,3456.5,1688.0,1353.8,1043.5,1782.6,2217.5,1726.8,2396.6,2184.0,1990.0,,2278.5,2151.6,,2189.6,3439.0,2083.7,3013.6,2056.0,2435.4,1318.0,165.0,292.9,2.3,-139.0,-906.0,,-317.5,-913.0,-494.5,1094.7,617.4,,-562.1,,1299.5,-469.0,-803.2,-1113.5,-374.4,60.5,-430.2,239.6,27.0,-167.0,,121.5,-5.4,,32.6,1282.0,-73.3,856.6,-101.0,278.4,-839.0,False,True,True,False,,False,False,False,False,False,,False,,False,False,False,False,False,True,False,False,True,False,,True,True,,True,False,True,False,True,False,False
Arizona,68195,46109.0,46209.0,45584.9,47359.0,47359.0,,45369.9,55923.0,72544.9,52492.6,52879.2,,59998.2,44750.0,66588.3,40166.0,35837.4,38986.5,49090.8,59369.0,64619.5,57502.9,50753.0,46142.0,,62254.2,58683.1,,44729.0,65876.5,36090.5,46791.9,50639.0,125831.8,29939.5,-22086.0,-21986.0,-22610.1,-20836.0,-20836.0,,-22825.1,-12272.0,4349.9,-15702.4,-15315.8,,-8196.8,-23445.0,-1606.7,-28029.0,-32357.6,-29208.5,-19104.2,-8826.0,-3575.5,-10692.1,-17442.0,-22053.0,,-5940.8,-9511.9,,-23466.0,-2318.5,-32104.5,-21403.1,-17556.0,57636.8,-38255.5,True,False,True,True,,False,True,True,True,True,,True,False,True,False,False,False,True,True,True,True,True,True,,True,True,,False,True,False,True,True,False,False
Arkansas,20304,17473.0,16973.3,17217.3,17126.0,17598.0,,15566.2,14358.0,17910.0,15772.6,14848.2,,15983.0,16576.0,19235.0,18142.0,9759.1,14146.0,15383.6,16082.0,18175.7,17208.9,16795.0,17540.0,,16994.2,12818.6,,18114.2,21694.7,15304.5,17959.3,15830.0,23010.2,13363.7,-2831.0,-3330.7,-3086.7,-3178.0,-2706.0,,-4737.8,-5946.0,-2394.0,-4531.4,-5455.8,,-4321.0,-3728.0,-1069.0,-2162.0,-10544.9,-6158.0,-4920.4,-4222.0,-2128.3,-3095.1,-3509.0,-2764.0,,-3309.8,-7485.4,,-2189.8,1390.7,-4999.5,-2344.7,-4474.0,2706.2,-6940.3,False,False,False,True,,False,False,True,False,False,,False,False,True,True,False,False,False,False,True,False,False,True,,False,False,,True,True,False,True,False,True,False
California,289237,267947.0,287559.5,271549.0,271421.0,280164.0,,287593.0,291756.0,329867.3,244305.7,260353.5,,288703.2,254764.0,287124.4,268600.0,172598.8,201320.5,279259.0,239363.5,258028.4,245999.3,303895.0,264629.0,,266765.3,351916.9,,263774.5,438126.8,222880.4,320683.2,270404.0,909147.6,,-21290.0,-1677.5,-17688.0,-17816.0,-9073.0,,-1644.0,2519.0,40630.3,-44931.3,-28883.5,,-533.8,-34473.0,-2112.6,-20637.0,-116638.2,-87916.5,-9978.0,-49873.5,-31208.6,-43237.7,14658.0,-24608.0,,-22471.7,62679.9,,-25462.5,148889.8,-66356.6,31446.2,-18833.0,619910.6,,True,True,True,True,,True,True,False,False,False,,True,False,True,True,False,False,True,False,False,False,True,False,,False,False,,False,False,False,False,True,False,
Colorado,19775,15553.0,20597.5,15790.1,14266.0,15458.0,,13951.7,8853.0,12874.5,14703.7,16283.4,,12888.7,14456.0,14357.0,12950.0,8460.9,11989.5,13914.6,13771.0,14266.0,15157.9,15359.0,12961.0,,12210.5,12373.1,,16177.9,20497.9,15626.5,15284.9,15021.0,22487.5,10131.1,-4222.0,822.5,-3984.9,-5509.0,-4317.0,,-5823.3,-10922.0,-6900.5,-5071.3,-3491.6,,-6886.3,-5319.0,-5418.0,-6825.0,-11314.1,-7785.5,-5860.4,-6004.0,-5509.0,-4617.1,-4416.0,-6814.0,,-7564.5,-7401.9,,-3597.1,722.9,-4148.5,-4490.1,-4754.0,2712.5,-9643.9,True,True,False,False,,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,True,True,False,False,True,False
Connecticut,15874,17377.0,14206.1,17684.0,13829.0,27344.0,,13829.4,7987.0,61874.1,14917.1,18012.5,,11952.1,13913.0,18108.8,15925.0,12991.9,11238.0,13722.8,6656.5,13097.7,14500.5,11466.0,16627.0,,6654.0,11948.7,,19339.0,19270.1,15758.7,15436.8,9100.0,10411.0,7983.7,1503.0,-1667.9,1810.0,-2045.0,11470.0,,-2044.6,-7887.0,46000.1,-956.9,2138.5,,-3921.9,-1961.0,2234.8,51.0,-2882.1,-4636.0,-2151.2,-9217.5,-2776.3,-1373.5,-4408.0,753.0,,-9220.0,-3925.3,,3465.0,3396.1,-115.3,-437.2,-6774.0,-5463.0,-7890.3,False,False,False,False,,False,False,False,True,False,,False,False,False,True,False,False,False,False,False,True,False,True,,False,False,,False,False,True,True,False,False,False
Delaware,5602,4400.0,5180.8,4428.0,4400.0,4482.0,,4400.3,5931.0,4952.4,4295.9,4573.0,,4081.5,4336.0,5006.6,4327.0,2483.2,4025.5,4292.3,3829.0,4123.8,4885.4,4909.0,4081.0,,4091.3,6452.6,,3853.6,7634.1,4133.0,4578.1,4566.0,4538.8,2962.0,-1202.0,-421.2,-1174.0,-1202.0,-1120.0,,-1201.7,329.0,-649.6,-1306.1,-1029.0,,-1520.5,-1266.0,-595.4,-1275.0,-3118.8,-1576.5,-1309.7,-1773.0,-1478.2,-716.6,-693.0,-1521.0,,-1510.7,850.6,,-1748.4,2032.1,-1469.0,-1023.9,-1036.0,-1063.2,-2640.0,True,True,False,True,,True,True,True,False,True,,False,False,True,False,False,False,False,False,False,True,True,False,,False,True,,False,False,False,True,True,True,False
District of Columbia,1948,1799.0,1789.8,1821.4,1585.0,2160.0,,1636.2,1277.0,1371.5,1847.1,1320.2,,1584.8,1569.0,2187.4,1941.0,1347.2,1331.5,1610.4,1378.0,1454.8,,1719.0,1516.0,,1527.8,2435.0,,1704.0,2141.5,1704.8,,1569.0,2327.2,1260.8,-149.0,-158.2,-126.6,-363.0,212.0,,-311.8,-671.0,-576.5,-100.9,-627.8,,-363.2,-379.0,239.4,-7.0,-600.8,-616.5,-337.6,-570.0,-493.2,,-229.0,-432.0,,-420.2,487.0,,-244.0,193.5,-243.2,,-379.0,379.2,-687.2,False,True,False,False,,False,False,False,True,False,,False,False,False,True,False,False,False,False,False,,False,False,,False,False,,False,False,False,,False,False,False
Florida,109864,90245.0,83434.5,91758.1,91137.0,108646.0,,79092.3,82929.0,62290.7,89842.7,122508.9,,93623.1,70285.0,93526.6,75312.0,71155.3,68344.0,102782.5,85454.5,90083.0,92506.8,81297.0,97842.0,,97992.6,73176.4,,91497.2,100530.5,80705.0,102696.1,90777.0,150163.7,,-19619.0,-26429.5,-18105.9,-18727.0,-1218.0,,-30771.7,-26935.0,-47573.3,-20021.3,12644.9,,-16240.9,-39579.0,-16337.4,-34552.0,-38708.7,-41520.0,-7081.5,-24409.5,-19781.0,-17357.2,-28567.0,-12022.0,,-11871.4,-36687.6,,-18366.8,-9333.5,-29159.0,-7167.9,-19087.0,40299.7,,False,True,True,True,,False,False,False,False,True,,True,False,True,False,False,False,True,False,False,True,False,True,,True,False,,True,True,False,True,True,False,
