,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1868,1220.0,900.0,,,,,901.0,,1014.3,607.7,,1079.0,,,702.6,,,-648.0,-968.0,,,,,-967.0,,-853.7,-1260.3,,-789.0,,,-1165.4,,,False,,,,,False,,False,False,,False,,,False,,
01003,5576,4465.0,6000.0,,,,,2418.0,,7396.0,2122.9,,6057.0,,,3396.6,5141.0,,-1111.0,424.0,,,,,-3158.0,,1820.0,-3453.1,,481.0,,,-2179.4,-435.0,,True,,,,,False,,False,False,,True,,,False,True,
01005,429,230.0,119.0,,,,,324.0,,278.2,146.9,,169.0,,,,,,-199.0,-310.0,,,,,-105.0,,-150.8,-282.1,,-260.0,,,,,,False,,,,,True,,True,False,,False,,,,,
01007,755,520.0,311.0,,,,,384.0,,724.3,270.4,,375.0,,,,,,-235.0,-444.0,,,,,-371.0,,-30.7,-484.6,,-380.0,,,,,,False,,,,,False,,True,False,,False,,,,,
01009,1766,1795.0,1422.0,,,,,1235.0,,1517.3,739.5,,1476.0,,,1060.2,,,29.0,-344.0,,,,,-531.0,,-248.7,-1026.5,,-290.0,,,-705.8,,,False,,,,,False,,False,False,,False,,,False,,
01011,237,85.0,0.0,,,,,130.0,,94.0,39.7,,39.0,,,,,,-152.0,-237.0,,,,,-107.0,,-143.0,-197.3,,-198.0,,,,,,False,,,,,True,,True,False,,False,,,,,
01013,410,300.0,24.0,,,,,263.0,,201.4,142.1,,291.0,,,,,,-110.0,-386.0,,,,,-147.0,,-208.6,-267.9,,-119.0,,,,,,False,,,,,False,,False,False,,False,,,,,
01015,3426,3630.0,5101.0,,,,,2278.0,,4093.1,1320.0,,3825.0,,,2428.7,,,204.0,1675.0,,,,,-1148.0,,667.1,-2106.0,,399.0,,,-997.3,,,False,,,,,False,,False,False,,False,,,False,,
01017,719,665.0,666.0,,,,,499.0,,618.6,370.3,,456.0,,,,,,-54.0,-53.0,,,,,-220.0,,-100.4,-348.7,,-263.0,,,,,,True,,,,,False,,False,False,,False,,,,,
01019,433,340.0,255.0,,,,,496.0,,175.3,183.7,,264.0,,,,,,-93.0,-178.0,,,,,63.0,,-257.7,-249.3,,-169.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01021,865,690.0,249.0,,,,,714.0,,1123.7,309.7,,856.0,,,495.3,,,-175.0,-616.0,,,,,-151.0,,258.7,-555.3,,-9.0,,,-369.7,,,False,,,,,True,,False,False,,True,,,False,,
01023,63,80.0,31.0,,,,,218.0,,380.7,32.9,,61.0,,,,,,17.0,-32.0,,,,,155.0,,317.7,-30.1,,-2.0,,,,,,False,,,,,False,,False,False,,True,,,,,
01025,959,380.0,243.0,,,,,401.0,,352.5,206.4,,338.0,,,,,,-579.0,-716.0,,,,,-558.0,,-606.5,-752.6,,-621.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01027,267,185.0,133.0,,,,,235.0,,157.6,68.5,,214.0,,,,,,-82.0,-134.0,,,,,-32.0,,-109.4,-198.5,,-53.0,,,,,,False,,,,,True,,False,False,,True,,,,,
01029,298,235.0,52.0,,,,,292.0,,136.1,74.2,,204.0,,,,,,-63.0,-246.0,,,,,-6.0,,-161.9,-223.8,,-94.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01031,1469,915.0,1138.0,,,,,702.0,,603.6,621.7,,923.0,,,638.6,,,-554.0,-331.0,,,,,-767.0,,-865.4,-847.3,,-546.0,,,-830.4,,,True,,,,,False,,False,False,,True,,,False,,
01033,1538,1985.0,1412.0,,,,,1539.0,,2135.9,853.2,,1649.5,,,1017.8,,,447.0,-126.0,,,,,1.0,,597.9,-684.8,,111.5,,,-520.2,,,True,,,,,True,,False,False,,True,,,False,,
01035,172,255.0,166.0,,,,,167.0,,266.6,79.7,,86.0,,,,,,83.0,-6.0,,,,,-5.0,,94.6,-92.3,,-86.0,,,,,,True,,,,,True,,False,False,,False,,,,,
01037,185,245.0,337.0,,,,,134.0,,237.0,53.5,,324.0,,,,,,60.0,152.0,,,,,-51.0,,52.0,-131.5,,139.0,,,,,,False,,,,,True,,True,False,,False,,,,,
01039,790,845.0,361.0,,,,,579.0,,1258.2,308.1,,473.0,,,541.0,,,55.0,-429.0,,,,,-211.0,,468.2,-481.9,,-317.0,,,-249.0,,,False,,,,,False,,False,False,,False,,,False,,
01041,378,150.0,70.0,,,,,175.0,,72.8,63.9,,144.0,,,,,,-228.0,-308.0,,,,,-203.0,,-305.2,-314.1,,-234.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01043,2681,2955.0,1776.0,,,,,2228.0,,1853.6,1182.1,,3353.0,,,2226.2,,,274.0,-905.0,,,,,-453.0,,-827.4,-1498.9,,672.0,,,-454.8,,,False,,,,,False,,False,False,,False,,,False,,
01045,1177,920.0,527.0,,,,,722.0,,633.4,400.2,,1284.0,,,546.3,,,-257.0,-650.0,,,,,-455.0,,-543.6,-776.8,,107.0,,,-630.7,,,False,,,,,False,,False,False,,True,,,False,,
01047,543,580.0,259.0,,,,,507.0,,414.8,421.6,,409.0,,,325.1,,,37.0,-284.0,,,,,-36.0,,-128.2,-121.4,,-134.0,,,-217.9,,,False,,,,,True,,False,False,,False,,,False,,
