,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,302048,167293.0,,117850.8,,143507.0,239818.2,62911.5,252302.0,,106553.3,106122.7,137099.0,-134755.0,,-184197.2,,-158541.0,-62229.8,-239136.5,-49746.0,,-195494.7,-195925.3,-164949.0,,False,,False,True,False,True,,False,False,False
Hawaii,6047,4214.0,,4155.1,,,6441.7,831.5,10417.0,,3411.4,6872.0,2236.0,-1833.0,,-1891.9,,,394.7,-5215.5,4370.0,,-2635.6,825.0,-3811.0,,False,,,True,False,False,,False,True,False
Idaho,58401,66619.0,,61661.2,,73622.0,106067.5,64514.3,103325.0,,68083.3,21029.5,43550.0,8218.0,,3260.2,,15221.0,47666.5,6113.3,44924.0,,9682.3,-37371.5,-14851.0,,True,,False,False,True,False,,False,False,False
Illinois,377753,583107.0,,486491.2,,546068.0,1031091.7,526026.5,763644.0,,952282.3,155371.0,282720.0,205354.0,,108738.2,,168315.0,653338.7,148273.5,385891.0,,574529.3,-222382.0,-95033.0,,True,,True,False,True,False,,False,False,True
Indiana,269377,310072.0,,266460.7,,344276.0,522051.7,595463.8,433943.0,,487369.0,114920.5,287098.0,40695.0,,-2916.3,,74899.0,252674.7,326086.8,164566.0,,217992.0,-154456.5,17721.0,,True,,False,False,False,False,,False,False,True
Iowa,86968,179536.0,,140506.6,,205846.0,376122.2,124032.6,231631.0,,156363.7,28691.7,83161.0,92568.0,,53538.6,,118878.0,289154.2,37064.6,144663.0,,69395.7,-58276.3,-3807.0,,True,,False,False,True,False,,True,True,True
Kansas,107815,136801.0,,124311.4,,121966.0,207147.9,256312.7,214862.0,,120686.1,31055.5,84097.0,28986.0,,16496.4,,14151.0,99332.9,148497.7,107047.0,,12871.1,-76759.5,-23718.0,,True,,True,False,False,False,,True,False,True
Kentucky,144489,138397.0,,132158.4,,161871.0,253106.5,237895.4,213647.0,,135501.7,70057.5,106309.0,-6092.0,,-12330.6,,17382.0,108617.5,93406.4,69158.0,,-8987.3,-74431.5,-38180.0,,False,,False,False,False,False,,False,False,False
Louisiana,124722,103096.0,,123809.6,,138080.0,102130.7,1261769.6,189483.0,,69720.7,82685.1,120159.0,-21626.0,,-912.4,,13358.0,-22591.3,1137047.6,64761.0,,-55001.3,-42036.9,-4563.0,,True,,True,False,False,False,,False,False,True
Maine,18896,9324.0,,10260.4,,13021.0,15281.4,24538.5,32528.0,,12669.3,12167.7,5019.0,-9572.0,,-8635.6,,-5875.0,-3614.6,5642.5,13632.0,,-6226.7,-6728.3,-13877.0,,True,,True,True,True,False,,True,True,False
Maryland,123393,111167.0,,105711.6,,92527.0,154390.0,299801.4,145728.0,,98026.8,94647.6,104659.0,-12226.0,,-17681.4,,-30866.0,30997.0,176408.4,22335.0,,-25366.2,-28745.4,-18734.0,,False,,False,False,False,False,,False,False,False
Massachusetts,222980,126091.0,,128515.0,,139879.0,217727.4,273175.5,191095.0,,239944.6,93470.7,71071.0,-96889.0,,-94465.0,,-83101.0,-5252.6,50195.5,-31885.0,,16964.6,-129509.3,-151909.0,,True,,True,True,True,True,,True,False,False
Michigan,233532,372603.0,,371757.7,,460886.0,598426.3,664150.4,526484.0,,274909.4,121289.8,294568.0,139071.0,,138225.7,,227354.0,364894.3,430618.4,292952.0,,41377.4,-112242.2,61036.0,,True,,False,False,False,False,,True,True,True
Minnesota,171461,328468.0,,280470.8,,472778.0,535949.4,714333.9,497625.0,,294710.7,122399.1,204911.0,157007.0,,109009.8,,301317.0,364488.4,542872.9,326164.0,,123249.7,-49061.9,33450.0,,True,,False,False,False,False,,True,True,True
