,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,2250,1134.0,,,,1090.0,,1521.4,1793.0,,542.4,,,-1116.0,,,,-1160.0,,-728.6,-457.0,,-1707.6,,,,,,False,,True,True,,False,,
01003,7071,3745.0,,,,2893.0,,4722.1,6148.0,,1652.2,,,-3326.0,,,,-4178.0,,-2348.9,-923.0,,-5418.8,,,,,,False,,True,True,,False,,
01005,491,238.0,,,,414.0,,44.0,635.0,,125.2,,,-253.0,,,,-77.0,,-447.0,144.0,,-365.8,,,,,,True,,False,True,,False,,
01007,1002,406.0,,,,492.0,,156.3,736.0,,,,,-596.0,,,,-510.0,,-845.7,-266.0,,,,,,,,True,,False,True,,,,
01009,2312,1519.0,,,,1384.0,,1665.4,2107.0,,399.3,,,-793.0,,,,-928.0,,-646.6,-205.0,,-1912.7,,,,,,False,,True,True,,False,,
01011,263,91.0,,,,169.0,,38.6,255.0,,,,,-172.0,,,,-94.0,,-224.4,-8.0,,,,,,,,True,,False,True,,,,
01013,503,399.0,,,,312.0,,654.0,677.0,,197.1,,,-104.0,,,,-191.0,,151.0,174.0,,-305.9,,,,,,False,,False,False,,False,,
01015,4529,3178.0,,,,2577.0,,9170.7,4614.0,,1650.0,,,-1351.0,,,,-1952.0,,4641.7,85.0,,-2879.0,,,,,,False,,False,True,,False,,
01017,951,791.0,,,,568.0,,2041.1,1336.0,,310.8,,,-160.0,,,,-383.0,,1090.1,385.0,,-640.2,,,,,,False,,False,False,,False,,
01019,544,567.0,,,,608.0,,647.3,967.0,,,,,23.0,,,,64.0,,103.3,423.0,,,,,,,,False,,False,False,,,,
01021,1093,532.0,,,,902.0,,339.7,1067.0,,326.1,,,-561.0,,,,-191.0,,-753.3,-26.0,,-766.9,,,,,,True,,False,True,,False,,
01023,85,42.0,,,,207.0,,4.7,254.0,,,,,-43.0,,,,122.0,,-80.3,169.0,,,,,,,,False,,False,False,,,,
01025,1073,364.0,,,,445.0,,94.6,683.0,,248.6,,,-709.0,,,,-628.0,,-978.4,-390.0,,-824.4,,,,,,True,,False,True,,False,,
01027,340,266.0,,,,295.0,,118.0,451.0,,,,,-74.0,,,,-45.0,,-222.0,111.0,,,,,,,,True,,False,False,,,,
01029,377,567.0,,,,358.0,,784.7,659.0,,,,,190.0,,,,-19.0,,407.7,282.0,,,,,,,,True,,False,False,,,,
01031,1825,882.0,,,,925.0,,1294.2,1894.0,,398.2,,,-943.0,,,,-900.0,,-530.8,69.0,,-1426.8,,,,,,True,,True,True,,False,,
01033,2131,1512.0,,,,1908.0,,1351.0,2643.0,,521.2,,,-619.0,,,,-223.0,,-780.0,512.0,,-1609.8,,,,,,True,,False,True,,False,,
01035,239,203.0,,,,192.0,,101.0,379.0,,,,,-36.0,,,,-47.0,,-138.0,140.0,,,,,,,,False,,False,False,,,,
01037,274,259.0,,,,163.0,,4159.2,445.0,,,,,-15.0,,,,-111.0,,3885.2,171.0,,,,,,,,False,,False,False,,,,
01039,1032,658.0,,,,763.0,,151.5,1232.0,,253.7,,,-374.0,,,,-269.0,,-880.5,200.0,,-778.3,,,,,,True,,False,True,,False,,
01041,419,203.0,,,,241.0,,50.8,420.0,,,,,-216.0,,,,-178.0,,-368.2,1.0,,,,,,,,True,,False,True,,,,
01043,3601,2898.0,,,,2499.0,,2976.1,4052.0,,635.4,,,-703.0,,,,-1102.0,,-624.9,451.0,,-2965.6,,,,,,False,,True,True,,False,,
01045,1445,595.0,,,,963.0,,479.5,1624.0,,454.1,,,-850.0,,,,-482.0,,-965.5,179.0,,-990.9,,,,,,True,,False,True,,False,,
01047,733,931.0,,,,593.0,,525.0,1415.0,,375.0,,,198.0,,,,-140.0,,-208.0,682.0,,-358.0,,,,,,True,,False,False,,False,,
