,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,183307,106888.0,149100.0,,,118526.0,141331.2,111957.5,,42517.3,98215.2,33015.0,-76419.0,-34207.0,,,-64781.0,-41975.8,-71349.5,,-140789.7,-85091.8,-150292.0,True,,,True,True,True,,False,False,False
Alaska,26805,30776.0,33829.9,,,,53026.2,57028.7,,34215.8,18196.5,0.0,3971.0,7024.9,,,,26221.2,30223.7,,7410.8,-8608.5,-26805.0,False,,,,False,False,,False,False,False
Arizona,334292,125352.0,71720.6,,,106206.0,206817.2,253894.1,,43374.3,125260.7,72101.0,-208940.0,-262571.4,,,-228086.0,-127474.8,-80397.9,,-290917.7,-209031.3,-262191.0,False,,,False,True,True,,False,False,False
Arkansas,119580,90704.0,59033.8,,,114116.0,141254.0,250293.0,,40472.2,41507.8,26797.0,-28876.0,-60546.2,,,-5464.0,21674.0,130713.0,,-79107.8,-78072.2,-92783.0,False,,,True,True,False,,False,False,False
California,1674449,429640.0,723256.5,,,403632.0,665644.1,1241525.4,,167095.4,859091.4,334649.0,-1244809.0,-951192.5,,,-1270817.0,-1008804.9,-432923.6,,-1507353.6,-815357.6,-1339800.0,True,,,False,True,True,,False,True,False
Colorado,199713,250136.0,402265.4,,,187442.0,289186.3,337694.0,,151812.8,104954.6,81749.0,50423.0,202552.4,,,-12271.0,89473.3,137981.0,,-47900.2,-94758.4,-117964.0,False,,,True,False,False,,True,False,False
Connecticut,117349,84160.0,70047.2,,,51407.0,126485.3,124797.2,,81145.9,36305.3,29107.0,-33189.0,-47301.8,,,-65942.0,9136.3,7448.2,,-36203.1,-81043.7,-88242.0,False,,,False,True,True,,False,False,False
Delaware,36080,17096.0,21927.5,,,19513.0,25503.0,48031.9,,7207.0,19437.4,8656.0,-18984.0,-14152.5,,,-16567.0,-10577.0,11951.9,,-28873.0,-16642.6,-27424.0,True,,,True,True,True,,False,True,False
District of Columbia,12643,7384.0,5675.2,,,7551.0,12045.3,11654.7,,3460.4,11326.5,4096.0,-5259.0,-6967.8,,,-5092.0,-597.7,-988.3,,-9182.6,-1316.5,-8547.0,False,,,True,True,True,,False,True,False
Florida,589601,304152.0,499952.5,,,234578.0,487208.0,330453.9,,108521.3,337658.8,96740.0,-285449.0,-89648.5,,,-355023.0,-102393.0,-259147.1,,-481079.7,-251942.2,-492861.0,True,,,False,True,True,,False,True,False
