,mean_rank
LNQ-ens1,9.2
COVIDhub-ensemble,9.6
CU-select,9.7
LANL-GrowthRate,11.2
OneQuietNight-ML,11.8
Microsoft-DeepSTIA,12.0
Covid19Sim-Simulator,12.3
RobertWalraven-ESG,12.5
JHU_UNC_GAS-StatMechPool,12.5
COVIDhub-baseline,12.6
USC-SI_kJalpha,13.0
DDS-NBDS,13.1
JHU_CSSE-DECOM,13.5
UCLA-SuEIR,14.1
JHU_IDD-CovidSP,14.2
IowaStateLW-STEM,14.2
Wadhwani_AI-BayesOpt,15.5
JHUAPL-Bucky,15.7
BPagano-RtDriven,16.1
Google_Harvard-CPF,16.6
CovidAnalytics-DELPHI,17.0
IQVIA_ACOE-STAN,17.2
JCB-PRM,17.8
Karlen-pypm,17.8
IEM_MED-CovidProject,18.0
TTU-squider,18.4
UVA-Ensemble,18.4
UCSB-ACTS,21.8
