,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,848,602.0,,633.8,,598.0,526.0,,,,,538.3,376.6,,,610.0,,888.9,,420.9,543.5,,960.5,484.6,,,817.0,644.0,437.0,,,,,581.4,,,,658.3,-246.0,,-214.2,,-250.0,-322.0,,,,,-309.7,-471.4,,,-238.0,,40.9,,-427.1,-304.5,,112.5,-363.4,,,-31.0,-204.0,-411.0,,,,,-266.6,,,,-189.7,,True,,False,False,,,,,False,False,,,True,,True,,False,False,,True,False,,,True,True,False,,,,,False,,,,True
01003,2494,1972.0,,1970.6,,1853.0,1690.0,,,,,1720.9,1444.7,,,1688.0,,1884.1,,1380.1,1816.0,,2464.0,1673.1,,,2503.0,1997.0,2272.2,,,,,1408.7,1334.0,,,2915.9,-522.0,,-523.4,,-641.0,-804.0,,,,,-773.1,-1049.3,,,-806.0,,-609.9,,-1113.9,-678.0,,-30.0,-820.9,,,9.0,-497.0,-221.8,,,,,-1085.3,-1160.0,,,421.9,,False,,False,False,,,,,False,False,,,False,,False,,False,False,,True,False,,,True,True,True,,,,,False,False,,,True
01005,250,136.0,,132.1,,149.0,147.0,,,,,163.7,95.1,,,215.0,,184.7,,76.7,,,272.0,115.9,,,166.0,146.0,157.8,,,,,,,,,158.4,-114.0,,-117.9,,-101.0,-103.0,,,,,-86.3,-154.9,,,-35.0,,-65.3,,-173.3,,,22.0,-134.1,,,-84.0,-104.0,-92.2,,,,,,,,,-91.6,,False,,True,True,,,,,True,False,,,True,,True,,False,,,True,False,,,True,True,True,,,,,,,,,True
01007,299,276.0,,261.8,,270.0,211.0,,,,,231.6,212.5,,,238.0,,360.5,,173.2,,,501.0,209.5,,,342.0,273.0,234.5,,,,,,,,,485.0,-23.0,,-37.2,,-29.0,-88.0,,,,,-67.4,-86.5,,,-61.0,,61.5,,-125.8,,,202.0,-89.5,,,43.0,-26.0,-64.5,,,,,,,,,186.0,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,,,False,False,False,,,,,,,,,False
01009,601,510.0,,506.6,,559.0,420.0,,,,,583.1,359.1,,,730.0,,670.5,,384.3,487.5,,829.0,380.7,,,706.0,591.0,592.0,,,,,530.7,,,,884.9,-91.0,,-94.4,,-42.0,-181.0,,,,,-17.9,-241.9,,,129.0,,69.5,,-216.7,-113.5,,228.0,-220.3,,,105.0,-10.0,-9.0,,,,,-70.3,,,,283.9,,False,,True,False,,,,,True,False,,,False,,True,,False,False,,False,False,,,False,True,True,,,,,True,,,,False
01011,125,146.0,,142.1,,75.0,3.0,,,,,84.9,279.8,,,79.0,,59.2,,62.6,,,42.0,79.8,,,177.0,115.0,72.1,,,,,,,,,72.5,21.0,,17.1,,-50.0,-122.0,,,,,-40.1,154.8,,,-46.0,,-65.8,,-62.4,,,-83.0,-45.2,,,52.0,-10.0,-52.9,,,,,,,,,-52.5,,True,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,,,False,True,False,,,,,,,,,False
01013,179,106.0,,114.0,,119.0,15.0,,,,,170.7,85.1,,,156.0,,114.0,,104.7,,,168.0,95.5,,,148.0,133.0,158.0,,,,,,,,,102.8,-73.0,,-65.0,,-60.0,-164.0,,,,,-8.3,-93.9,,,-23.0,,-65.0,,-74.3,,,-11.0,-83.5,,,-31.0,-46.0,-21.0,,,,,,,,,-76.2,,True,,True,False,,,,,True,False,,,True,,True,,False,,,True,False,,,True,True,True,,,,,,,,,False
01015,1255,1208.0,,1178.7,,1185.0,950.0,,,,,1154.6,912.4,,,1458.0,,1281.0,,754.3,976.0,,1537.5,854.9,,,1584.0,1220.0,1402.1,,,,,900.4,,,,15.8,-47.0,,-76.3,,-70.0,-305.0,,,,,-100.4,-342.6,,,203.0,,26.0,,-500.7,-279.0,,282.5,-400.1,,,329.0,-35.0,147.1,,,,,-354.6,,,,-1239.2,,False,,False,False,,,,,False,False,,,False,,True,,False,False,,False,False,,,False,True,False,,,,,False,,,,False
01017,417,174.0,,171.2,,179.0,184.0,,,,,232.1,142.3,,,320.0,,140.9,,132.4,210.5,,195.0,150.8,,,205.0,220.0,223.3,,,,,173.6,,,,101.8,-243.0,,-245.8,,-238.0,-233.0,,,,,-184.9,-274.7,,,-97.0,,-276.1,,-284.6,-206.5,,-222.0,-266.2,,,-212.0,-197.0,-193.7,,,,,-243.4,,,,-315.2,,False,,True,True,,,,,True,False,,,True,,False,,False,True,,True,False,,,True,True,True,,,,,False,,,,False
01019,155,180.0,,177.3,,185.0,182.0,,,,,164.3,143.5,,,294.0,,189.2,,121.2,,,240.0,131.5,,,220.0,211.0,225.0,,,,,,,,,90.7,25.0,,22.3,,30.0,27.0,,,,,9.3,-11.5,,,139.0,,34.2,,-33.8,,,85.0,-23.5,,,65.0,56.0,70.0,,,,,,,,,-64.3,,True,,False,False,,,,,True,True,,,False,,False,,False,,,False,True,,,False,False,False,,,,,,,,,False
01021,425,272.0,,277.4,,279.0,202.0,,,,,322.9,216.7,,,497.0,,261.3,,186.9,282.0,,360.0,199.1,,,274.0,338.0,332.5,,,,,202.2,,,,118.9,-153.0,,-147.6,,-146.0,-223.0,,,,,-102.1,-208.3,,,72.0,,-163.7,,-238.1,-143.0,,-65.0,-225.9,,,-151.0,-87.0,-92.5,,,,,-222.8,,,,-306.1,,True,,True,False,,,,,True,False,,,True,,False,,False,True,,True,False,,,True,True,True,,,,,False,,,,False
01023,15,26.0,,25.3,,32.0,18.0,,,,,53.0,29.5,,,146.0,,50.9,,29.2,,,39.0,19.3,,,47.0,69.0,36.3,,,,,,,,,34.7,11.0,,10.3,,17.0,3.0,,,,,38.0,14.5,,,131.0,,35.9,,14.2,,,24.0,4.3,,,32.0,54.0,21.3,,,,,,,,,19.7,,True,,False,True,,,,,False,False,,,False,,False,,False,,,False,True,,,False,False,False,,,,,,,,,False
01025,336,218.0,,208.4,,206.0,196.0,,,,,293.6,181.8,,,238.0,,301.0,,175.7,,,306.0,194.4,,,337.0,248.0,216.8,,,,,175.1,,,,32.8,-118.0,,-127.6,,-130.0,-140.0,,,,,-42.4,-154.2,,,-98.0,,-35.0,,-160.3,,,-30.0,-141.6,,,1.0,-88.0,-119.2,,,,,-160.9,,,,-303.2,,False,,False,False,,,,,True,False,,,True,,True,,False,,,True,False,,,True,True,False,,,,,False,,,,False
01027,120,102.0,,103.5,,103.0,108.0,,,,,122.9,84.2,,,143.0,,94.6,,60.9,,,105.0,91.8,,,106.0,120.0,99.7,,,,,,,,,133.1,-18.0,,-16.5,,-17.0,-12.0,,,,,2.9,-35.8,,,23.0,,-25.4,,-59.1,,,-15.0,-28.2,,,-14.0,0.0,-20.3,,,,,,,,,13.1,,True,,True,True,,,,,True,False,,,False,,False,,False,,,True,False,,,True,True,False,,,,,,,,,True
01029,124,100.0,,92.3,,108.0,5.0,,,,,117.2,79.0,,,177.0,,127.6,,69.9,,,109.0,76.1,,,125.0,122.0,139.1,,,,,,,,,102.0,-24.0,,-31.7,,-16.0,-119.0,,,,,-6.8,-45.0,,,53.0,,3.6,,-54.1,,,-15.0,-47.9,,,1.0,-2.0,15.1,,,,,,,,,-22.0,,False,,True,False,,,,,True,False,,,False,,True,,False,,,True,False,,,True,True,True,,,,,,,,,True
01031,712,478.0,,488.0,,464.0,473.0,,,,,418.3,325.4,,,454.0,,557.3,,319.1,415.0,,618.0,373.2,,,557.0,539.0,427.6,,,,,426.4,,,,188.1,-234.0,,-224.0,,-248.0,-239.0,,,,,-293.7,-386.6,,,-258.0,,-154.7,,-392.9,-297.0,,-94.0,-338.8,,,-155.0,-173.0,-284.4,,,,,-285.6,,,,-523.9,,True,,False,False,,,,,False,False,,,False,,True,,False,False,,True,False,,,True,True,False,,,,,False,,,,False
01033,653,622.0,,661.4,,576.0,481.0,,,,,521.7,399.4,,,739.0,,412.1,,417.7,515.5,,753.0,456.5,,,675.0,649.0,556.5,,,,,448.8,,,,596.8,-31.0,,8.4,,-77.0,-172.0,,,,,-131.3,-253.6,,,86.0,,-240.9,,-235.3,-137.5,,100.0,-196.5,,,22.0,-4.0,-96.5,,,,,-204.2,,,,-56.2,,True,,False,False,,,,,False,False,,,False,,False,,False,False,,False,False,,,True,True,False,,,,,False,,,,False
01035,81,42.0,,46.8,,43.0,38.0,,,,,87.5,41.8,,,104.0,,24.2,,43.1,,,46.0,28.8,0.0,,54.0,66.0,82.2,,,,,,,,,20.4,-39.0,,-34.2,,-38.0,-43.0,,,,,6.5,-39.2,,,23.0,,-56.8,,-37.9,,,-35.0,-52.2,-81.0,,-27.0,-15.0,1.2,,,,,,,,,-60.6,,True,,True,False,,,,,True,False,,,True,,False,,True,,,True,False,False,,True,True,True,,,,,,,,,False
01037,101,46.0,,42.3,,37.0,18.0,,,,,48.7,40.3,,,83.0,,26.6,,41.9,,,37.0,31.4,0.0,,50.0,68.0,74.6,,,,,,,,,27.3,-55.0,,-58.7,,-64.0,-83.0,,,,,-52.3,-60.7,,,-18.0,,-74.4,,-59.1,,,-64.0,-69.6,-101.0,,-51.0,-33.0,-26.4,,,,,,,,,-73.7,,False,,False,False,,,,,True,False,,,True,,False,,False,,,False,False,False,,True,True,True,,,,,,,,,False
01039,355,186.0,,224.3,,220.0,108.0,,,,,310.2,136.4,,,347.0,,262.8,,145.1,222.0,,308.0,142.4,92.0,,269.0,305.0,319.8,,,,,184.6,,,,125.6,-169.0,,-130.7,,-135.0,-247.0,,,,,-44.8,-218.6,,,-8.0,,-92.2,,-209.9,-133.0,,-47.0,-212.6,-263.0,,-86.0,-50.0,-35.2,,,,,-170.4,,,,-229.4,,True,,True,False,,,,,True,False,,,True,,True,,False,True,,True,False,False,,True,True,True,,,,,False,,,,False
01041,220,140.0,,148.2,,132.0,143.0,,,,,111.0,78.0,,,109.0,,240.7,,75.1,,,226.0,102.9,22.2,,158.0,148.0,126.6,,,,,,,,,31.2,-80.0,,-71.8,,-88.0,-77.0,,,,,-109.0,-142.0,,,-111.0,,20.7,,-144.9,,,6.0,-117.1,-197.8,,-62.0,-72.0,-93.4,,,,,,,,,-188.8,,True,,False,True,,,,,False,False,,,False,,True,,False,,,True,False,False,,True,True,False,,,,,,,,,False
