,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,12007,13287.0,13541.0,,13873.6,12077.0,14044.3,12162.3,14029.0,8381.5,17678.3,12592.4,14412.4,16891.0,,13371.9,14045.3,11728.1,13843.2,10426.7,1280.0,1534.0,,1866.6,70.0,2037.3,155.3,2022.0,-3625.5,5671.3,585.4,2405.4,4884.0,,1364.9,2038.3,-278.9,1836.2,-1580.3,False,,False,True,False,True,False,False,False,True,False,False,,False,False,True,False,False
Alaska,732,411.0,452.0,,524.9,323.0,395.6,44.7,,413.2,732.1,457.6,491.6,550.0,,321.1,448.6,,500.3,1220.9,-321.0,-280.0,,-207.1,-409.0,-336.4,-687.3,,-318.8,0.1,-274.4,-240.4,-182.0,,-410.9,-283.4,,-231.7,488.9,True,,True,False,False,False,,True,True,True,True,True,,False,True,,True,False
Arizona,18776,21335.0,19718.0,,36829.4,25873.0,22303.9,29325.4,23450.0,11682.8,22619.4,16080.7,21815.7,21719.0,,21058.1,20025.4,22441.3,18809.6,20866.4,2559.0,942.0,,18053.4,7097.0,3527.9,10549.4,4674.0,-7093.2,3843.4,-2695.3,3039.7,2943.0,,2282.1,1249.4,3665.3,33.6,2090.4,True,,False,False,False,False,False,False,False,False,False,False,,True,True,False,True,True
Arkansas,5448,4669.0,4835.0,,5017.2,4661.0,4957.5,2904.0,5040.0,4349.9,7394.3,4599.3,5410.0,5436.0,,,4666.4,5396.9,4667.2,3525.4,-779.0,-613.0,,-430.8,-787.0,-490.5,-2544.0,-408.0,-1098.1,1946.3,-848.7,-38.0,-12.0,,,-781.6,-51.1,-780.8,-1922.6,True,,True,False,True,False,True,False,False,False,True,True,,,False,True,False,False
California,65707,61984.0,57374.0,,84856.5,62407.0,62380.8,139566.7,71067.0,47049.3,104382.3,42465.8,64934.8,73858.0,,63935.3,60941.6,63605.9,44009.3,18666.7,-3723.0,-8333.0,,19149.5,-3300.0,-3326.2,73859.7,5360.0,-18657.7,38675.3,-23241.2,-772.2,8151.0,,-1771.7,-4765.4,-2101.1,-21697.7,-47040.3,False,,False,True,True,False,False,False,False,False,True,False,,True,False,True,False,False
Colorado,4001,3197.0,3234.0,,3482.2,1465.0,3764.7,3170.8,3289.0,2017.9,6748.7,2866.6,3540.0,4333.0,,3626.6,3333.4,1695.3,3747.5,2266.7,-804.0,-767.0,,-518.8,-2536.0,-236.3,-830.2,-712.0,-1983.1,2747.7,-1134.4,-461.0,332.0,,-374.4,-667.6,-2305.7,-253.5,-1734.3,True,,True,False,True,False,True,False,False,False,True,True,,True,True,False,True,False
Connecticut,883,606.0,494.0,,363.9,70.0,575.3,1065.3,610.0,1409.7,484.3,373.3,430.9,549.0,,457.3,566.9,,511.3,294.1,-277.0,-389.0,,-519.1,-813.0,-307.7,182.3,-273.0,526.7,-398.7,-509.7,-452.1,-334.0,,-425.7,-316.1,,-371.7,-588.9,False,,False,False,False,True,True,False,False,False,False,False,,False,False,,False,False
Delaware,773,686.0,706.0,,927.1,287.0,717.3,334.5,479.0,837.4,974.0,651.5,760.8,727.0,,552.4,726.7,385.6,707.7,1235.4,-87.0,-67.0,,154.1,-486.0,-55.7,-438.5,-294.0,64.4,201.0,-121.5,-12.2,-46.0,,-220.6,-46.3,-387.4,-65.3,462.4,True,,False,False,True,False,False,True,False,False,True,True,,False,True,False,True,False
District of Columbia,523,393.0,421.0,,226.0,237.0,429.0,1174.9,520.0,378.0,860.9,395.5,471.6,514.0,,255.4,423.6,,468.6,113.3,-130.0,-102.0,,-297.0,-286.0,-94.0,651.9,-3.0,-145.0,337.9,-127.5,-51.4,-9.0,,-267.6,-99.4,,-54.4,-409.7,True,,False,False,True,False,True,False,False,True,True,True,,False,True,,True,False
Florida,76942,83058.0,85773.0,,149033.5,71026.0,73413.3,89643.2,126624.0,27306.4,108702.4,90343.1,87729.8,102223.0,,74922.1,83743.2,91426.7,78998.4,60281.4,6116.0,8831.0,,72091.5,-5916.0,-3528.7,12701.2,49682.0,-49635.6,31760.4,13401.1,10787.8,25281.0,,-2019.9,6801.2,14484.7,2056.4,-16660.6,False,,False,True,True,False,False,False,False,False,False,False,,True,False,False,True,False
