,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01049,783,537.0,,2006.0,,,,429.0,212.9,636.8,797.8,799.0,,,,,,-246.0,,1223.0,,,,-354.0,-570.1,-146.2,14.8,16.0,,,,,,,False,,,,False,False,True,True,True,,,,,
01051,557,396.0,,358.0,,,,481.0,367.8,416.3,532.0,826.0,,313.5,,,,-161.0,,-199.0,,,,-76.0,-189.2,-140.7,-25.0,269.0,,-243.5,,,,,False,,,,True,False,True,True,False,,False,,,
01053,505,366.0,,1037.0,,,,233.0,154.1,313.8,307.0,453.0,,,,,,-139.0,,532.0,,,,-272.0,-350.9,-191.2,-198.0,-52.0,,,,,,,False,,,,False,False,False,False,True,,,,,
01055,895,540.0,,1722.0,,,,669.0,359.9,532.9,886.7,768.0,,1147.4,,,,-355.0,,827.0,,,,-226.0,-535.1,-362.1,-8.3,-127.0,,252.4,,,,,False,,,,True,False,False,True,True,,True,,,
01057,77,9.0,,21.0,,,,27.0,42.3,22.7,,,,,,,,-68.0,,-56.0,,,,-50.0,-34.7,-54.3,,,,,,,,,True,,,,True,True,True,,,,,,,
01059,188,180.0,,190.0,,,,532.0,206.3,103.0,162.6,,,,,,,-8.0,,2.0,,,,344.0,18.3,-85.0,-25.4,,,,,,,,True,,,,False,False,False,False,,,,,,
01061,112,57.0,,78.0,,,,165.0,59.0,14.1,,102.0,,,,,,-55.0,,-34.0,,,,53.0,-53.0,-97.9,,-10.0,,,,,,,True,,,,True,True,False,,True,,,,,
01063,44,57.0,,29.0,,,,21.0,33.5,29.9,8.7,161.0,,,,,,13.0,,-15.0,,,,-23.0,-10.5,-14.1,-35.3,117.0,,,,,,,False,,,,False,True,False,False,False,,,,,
01065,111,111.0,,124.0,,,,99.0,102.9,35.7,97.9,261.0,,,,,,0.0,,13.0,,,,-12.0,-8.1,-75.3,-13.1,150.0,,,,,,,False,,,,False,False,False,False,False,,,,,
01067,89,0.0,,21.0,,,,39.0,48.4,2.9,76.7,,,,,,,-89.0,,-68.0,,,,-50.0,-40.6,-86.1,-12.3,,,,,,,,True,,,,True,True,True,True,,,,,,
