,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,1300653.9,1333644,-32990.1,-2.5%
USC-SI_kJalpha,1414557.2,1333644,80913.2,6.1%
IowaStateLW-STEM,1251222.0,1333644,-82422.0,-6.2%
Columbia_UNC-SurvCon,1580090.0,1333644,246446.0,18.5%
UCLA-SuEIR,1074356.8,1333644,-259287.2,-19.4%
OliverWyman-Navigator,1640900.0,1333644,307256.0,23.0%
COVIDhub-baseline,987531.0,1333644,-346113.0,-26.0%
JHU_IDD-CovidSP,974525.7,1333644,-359118.3,-26.9%
USACE-ERDC_SEIR,949710.7,1333644,-383933.3,-28.8%
CovidAnalytics-DELPHI,929464.0,1333644,-404180.0,-30.3%
UMich-RidgeTfReg,902468.2,1333644,-431175.8,-32.3%
LANL-GrowthRate,810543.2,1333644,-523100.8,-39.2%
RobertWalraven-ESG,88729.4,1333644,-1244914.6,-93.3%
CovidActNow-SEIR_CAN,,1333644,,
