,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,224,186.0,308.2,185.0,,,,293.0,314.0,106.4,196.7,,311.0,,,,,,,,-38.0,84.2,-39.0,,,,69.0,90.0,-117.6,-27.3,,87.0,,,,,,,,False,False,,,,False,False,False,True,,False,,,,,,,
01003,1413,722.0,463.9,955.0,,,,686.0,428.9,893.7,938.7,,967.0,,,1064.7,1486.0,,,,-691.0,-949.1,-458.0,,,,-727.0,-984.1,-519.3,-474.3,,-446.0,,,-348.3,73.0,,,,False,True,,,,False,False,True,True,,True,,,True,True,,,
01005,122,94.0,,156.0,,,,86.0,108.1,59.9,,,178.0,,,,,,,,-28.0,,34.0,,,,-36.0,-13.9,-62.1,,,56.0,,,,,,,,,False,,,,False,True,False,,,False,,,,,,,
01007,91,68.0,,96.0,,,,51.0,67.9,40.8,,,106.0,,,,,,,,-23.0,,5.0,,,,-40.0,-23.1,-50.2,,,15.0,,,,,,,,,True,,,,False,False,False,,,True,,,,,,,
01009,273,132.0,116.0,175.0,,,,130.0,102.6,178.2,213.1,,191.0,,,,,,,,-141.0,-157.0,-98.0,,,,-143.0,-170.4,-94.8,-59.9,,-82.0,,,,,,,,False,True,,,,False,False,True,True,,True,,,,,,,
01011,31,18.0,,16.0,,,,61.0,31.2,5.0,,,,,,,,,,,-13.0,,-15.0,,,,30.0,0.2,-26.0,,,,,,,,,,,,False,,,,False,True,False,,,,,,,,,,
01013,59,54.0,,69.0,,,,175.0,50.0,10.7,,,,,,,,,,,-5.0,,10.0,,,,116.0,-9.0,-48.3,,,,,,,,,,,,False,,,,False,False,False,,,,,,,,,,
01015,539,316.0,97.8,943.0,,,,381.0,252.5,320.7,395.0,,360.0,,,,,,,,-223.0,-441.1,404.0,,,,-158.0,-286.5,-218.3,-144.0,,-179.0,,,,,,,,False,False,,,,True,False,True,True,,True,,,,,,,
01017,93,100.0,,128.0,,,,161.0,38.5,41.4,,,,,,,,,,,7.0,,35.0,,,,68.0,-54.5,-51.6,,,,,,,,,,,,False,,,,False,False,False,,,,,,,,,,
01019,69,76.0,,115.0,,,,40.0,64.3,28.9,,,69.0,,,,,,,,7.0,,46.0,,,,-29.0,-4.7,-40.1,,,0.0,,,,,,,,,False,,,,False,True,False,,,True,,,,,,,
