,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,35268,23337.0,,25366.8,25823.1,27070.0,8176.9,25303.0,18069.4,18786.0,40846.0,3088.8,29242.8,,21174.6,31810.7,-11931.0,,-9901.2,-9444.9,-8198.0,-27091.1,-9965.0,-17198.6,-16482.0,5578.0,-32179.2,-6025.2,,-14093.4,-3457.3,,True,True,True,False,True,False,False,True,False,True,,False,True
Alaska,1232,768.0,,669.0,1232.4,357.0,336.6,,819.8,754.7,1159.0,45.5,704.7,,952.2,2559.6,-464.0,,-563.0,0.4,-875.0,-895.4,,-412.2,-477.3,-73.0,-1186.5,-527.3,,-279.8,1327.6,,False,True,False,False,,True,False,True,False,False,,True,False
Arizona,65474,73329.0,,121977.7,97693.7,95830.0,27245.6,82718.0,35853.4,65403.6,121113.0,4958.8,62445.8,,71798.4,76347.1,7855.0,,56503.7,32219.7,30356.0,-38228.4,17244.0,-29620.6,-70.4,55639.0,-60515.2,-3028.2,,6324.4,10873.1,,False,False,False,False,False,False,True,False,False,True,,True,False
Arkansas,14772,11697.0,,14823.6,16536.8,14473.0,4264.1,14483.0,5968.7,10362.5,14841.0,1112.7,14750.0,,11702.5,12175.5,-3075.0,,51.6,1764.8,-299.0,-10507.9,-289.0,-8803.3,-4409.5,69.0,-13659.3,-22.0,,-3069.5,-2596.5,,True,True,True,False,True,False,False,True,False,True,,True,True
California,193557,126609.0,,176160.9,212254.6,137892.0,31616.8,182899.0,149554.9,223462.6,194668.0,23495.5,174923.8,,110850.7,80415.6,-66948.0,,-17396.1,18697.6,-55665.0,-161940.2,-10658.0,-44002.1,29905.6,1111.0,-170061.5,-18633.2,,-82706.3,-113141.4,,True,True,True,False,True,True,True,True,False,True,,False,False
Colorado,9922,5529.0,,5033.2,5140.9,2582.0,1835.7,7849.0,9763.0,3735.9,8111.0,579.0,4869.3,,1983.4,6842.7,-4393.0,,-4888.8,-4781.1,-7340.0,-8086.3,-2073.0,-159.0,-6186.1,-1811.0,-9343.0,-5052.7,,-7938.6,-3079.3,,False,False,False,False,True,True,False,True,False,False,,False,True
Connecticut,2059,1533.0,,620.8,1380.7,483.0,417.1,1085.0,7378.1,519.0,838.0,299.9,1087.9,,292.1,1126.5,-526.0,,-1438.2,-678.3,-1576.0,-1641.9,-974.0,5319.1,-1540.0,-1221.0,-1759.1,-971.1,,-1766.9,-932.5,,False,False,False,False,False,False,False,False,False,False,,False,False
Delaware,2179,2715.0,,1576.3,2555.8,1039.0,1101.6,1483.0,6016.6,1865.6,4293.0,164.2,1832.0,,319.9,3650.8,536.0,,-602.7,376.8,-1140.0,-1077.4,-696.0,3837.6,-313.4,2114.0,-2014.8,-347.0,,-1859.1,1471.8,,False,True,False,False,False,False,True,False,False,True,,False,False
District of Columbia,1270,693.0,,335.4,488.2,323.0,222.1,1280.0,3010.8,402.9,471.0,106.5,552.8,,235.2,461.8,-577.0,,-934.6,-781.8,-947.0,-1047.9,10.0,1740.8,-867.1,-799.0,-1163.5,-717.2,,-1034.8,-808.2,,False,False,False,False,True,False,False,False,False,False,,False,False
Florida,224459,172521.0,,307391.9,456521.8,178903.0,66148.8,212908.0,70599.1,222030.4,318380.0,22445.2,167274.3,,265182.5,212919.7,-51938.0,,82932.9,232062.8,-45556.0,-158310.2,-11551.0,-153859.9,-2428.6,93921.0,-202013.8,-57184.7,,40723.5,-11539.3,,False,False,True,False,True,False,True,False,False,False,,True,True
