,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,90,134.0,127.9,117.0,165.0,,,,,,126.0,165.8,97.8,118.2,,170.0,,,,,,,,,44.0,37.9,27.0,75.0,,,,,,36.0,75.8,7.8,28.2,,80.0,,,,,,,,,True,True,False,,,,,,True,False,True,True,,False,,,,,,,,
01003,824,589.0,402.2,771.0,838.0,,,,,,576.0,339.0,888.6,748.0,,812.0,,,746.6,894.0,,,,,-235.0,-421.8,-53.0,14.0,,,,,,-248.0,-485.0,64.6,-76.0,,-12.0,,,-77.4,70.0,,,,,False,True,True,,,,,,False,False,True,True,,True,,,True,True,,,,
01005,51,71.0,,65.0,87.0,,,,,,60.0,63.9,57.9,67.6,,108.0,,,,,,,,,20.0,,14.0,36.0,,,,,,9.0,12.9,6.9,16.6,,57.0,,,,,,,,,,True,False,,,,,,True,True,True,True,,False,,,,,,,,
01007,52,39.0,,37.0,43.0,,,,,,41.0,49.6,31.0,42.4,,59.0,,,,,,,,,-13.0,,-15.0,-9.0,,,,,,-11.0,-2.4,-21.0,-9.6,,7.0,,,,,,,,,,False,True,,,,,,True,True,False,True,,True,,,,,,,,
01009,148,125.0,96.5,131.0,160.0,,,,,,128.0,75.0,139.1,128.4,,155.0,,,,,,,,,-23.0,-51.5,-17.0,12.0,,,,,,-20.0,-73.0,-8.9,-19.6,,7.0,,,,,,,,,False,True,True,,,,,,True,False,True,True,,True,,,,,,,,
01011,16,15.0,,11.0,0.0,,,,,,29.0,14.3,6.0,13.0,,43.0,,,,,,,,,-1.0,,-5.0,-16.0,,,,,,13.0,-1.7,-10.0,-3.0,,27.0,,,,,,,,,,False,False,,,,,,False,False,False,False,,False,,,,,,,,
01013,39,20.0,,23.0,21.0,,,,,,58.0,21.2,19.2,29.5,,,,,,,,,,,-19.0,,-16.0,-18.0,,,,,,19.0,-17.8,-19.8,-9.5,,,,,,,,,,,,True,True,,,,,,False,True,False,True,,,,,,,,,,
01015,305,234.0,87.6,267.0,253.0,,,,,,257.0,88.0,295.7,272.6,,300.0,,,,,,,,,-71.0,-217.4,-38.0,-52.0,,,,,,-48.0,-217.0,-9.3,-32.4,,-5.0,,,,,,,,,False,True,True,,,,,,True,False,True,True,,True,,,,,,,,
01017,37,56.0,,46.0,58.0,,,,,,69.0,40.4,32.6,50.0,,101.0,,,,,,,,,19.0,,9.0,21.0,,,,,,32.0,3.4,-4.4,13.0,,64.0,,,,,,,,,,True,False,,,,,,False,True,True,True,,False,,,,,,,,
01019,34,35.0,,38.0,54.0,,,,,,35.0,33.8,32.0,45.7,,49.0,,,,,,,,,1.0,,4.0,20.0,,,,,,1.0,-0.2,-2.0,11.7,,15.0,,,,,,,,,,False,False,,,,,,False,True,False,False,,False,,,,,,,,
