,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,25386,18170.0,,20380.6,19169.0,24070.0,14732.3,18855.7,23975.8,27196.0,,9876.5,22047.9,,17359.4,21883.3,-7216.0,,-5005.4,-6217.0,-1316.0,-10653.7,-6530.3,-1410.2,1810.0,,-15509.5,-3338.1,,-8026.6,-3502.7,,True,True,True,False,True,True,True,,False,True,,False,True
Alaska,1243,556.0,,684.3,421.0,,534.3,878.0,1026.9,955.0,,180.3,918.3,,978.4,2079.2,-687.0,,-558.7,-822.0,,-708.7,-365.0,-216.1,-288.0,,-1062.7,-324.7,,-264.6,836.2,,True,False,,False,True,True,True,,False,True,,True,False
Arizona,40111,50726.0,,86342.9,60259.0,57348.0,22046.6,27938.7,51509.2,61452.0,,104774.4,47509.8,,44241.1,48363.8,10615.0,,46231.9,20148.0,17237.0,-18064.4,-12172.3,11398.2,21341.0,,64663.4,7398.8,,4130.1,8252.8,,False,False,False,False,False,False,False,,False,True,,True,True
Arkansas,10117,9310.0,,9304.3,8799.0,10135.0,9209.9,7559.4,11024.3,11127.0,,8505.0,8464.0,,8050.8,7858.5,-807.0,,-812.7,-1318.0,18.0,-907.1,-2557.6,907.3,1010.0,,-1612.0,-1653.0,,-2066.2,-2258.5,,False,False,True,False,False,False,False,,False,False,,False,False
California,127691,131732.0,,144551.0,112653.0,127276.0,96291.4,65560.1,132185.3,184058.0,,217521.7,129154.6,,117787.9,46102.0,4041.0,,16860.0,-15038.0,-415.0,-31399.6,-62130.9,4494.3,56367.0,,89830.7,1463.6,,-9903.1,-81589.0,,False,False,True,False,False,False,False,,False,True,,False,False
Colorado,7198,5448.0,,4687.7,2110.0,5008.0,3606.3,4265.8,6855.4,8190.0,,2567.9,5139.7,,2036.6,4672.5,-1750.0,,-2510.3,-5088.0,-2190.0,-3591.7,-2932.2,-342.6,992.0,,-4630.1,-2058.3,,-5161.4,-2525.5,,False,False,False,False,False,True,True,,False,False,,False,False
Connecticut,1489,1140.0,,603.4,194.0,12447.0,3276.0,455.2,725.2,887.0,,1219.4,966.9,,146.5,663.8,-349.0,,-885.6,-1295.0,10958.0,1787.0,-1033.8,-763.8,-602.0,,-269.6,-522.1,,-1342.5,-825.2,,False,False,False,False,False,False,False,,True,False,,False,False
Delaware,1459,1494.0,,1743.0,687.0,1365.0,1998.1,696.1,1280.5,1994.0,,988.0,1659.3,,271.9,2544.4,35.0,,284.0,-772.0,-94.0,539.1,-762.9,-178.5,535.0,,-471.0,200.3,,-1187.1,1085.4,,False,False,False,False,False,False,False,,False,False,,False,False
District of Columbia,916,708.0,,259.2,229.0,1129.0,694.2,514.7,,900.0,,504.1,612.2,,158.6,271.6,-208.0,,-656.8,-687.0,213.0,-221.8,-401.3,,-16.0,,-411.9,-303.8,,-757.4,-644.4,,False,False,False,False,False,,True,,False,False,,False,False
Florida,160000,128918.0,,253881.1,118932.0,180926.0,48778.1,217978.4,178088.0,215886.0,,62176.2,178661.6,,157784.6,138646.2,-31082.0,,93881.1,-41068.0,20926.0,-111221.9,57978.4,18088.0,55886.0,,-97823.8,18661.6,,-2215.4,-21353.8,,False,False,True,False,False,True,False,,False,True,,True,True
Georgia,50787,42164.0,,59083.4,34331.0,49329.0,22309.7,29706.2,49564.1,65566.0,,50538.7,43085.0,,36386.3,75065.6,-8623.0,,8296.4,-16456.0,-1458.0,-28477.3,-21080.8,-1222.9,14779.0,,-248.3,-7702.0,,-14400.7,24278.6,,True,False,True,False,False,True,False,,True,True,,False,False
Hawaii,420,402.0,,519.7,92.0,,533.1,338.9,491.8,565.0,,162.5,409.4,,142.3,470.4,-18.0,,99.7,-328.0,,113.1,-81.1,71.8,145.0,,-257.5,-10.6,,-277.7,50.4,,False,False,,False,False,False,False,,False,True,,False,False
Idaho,7320,6272.0,,9778.9,3992.0,10033.0,3050.9,5776.8,7113.7,9925.0,,4509.7,7818.3,,4897.7,7116.2,-1048.0,,2458.9,-3328.0,2713.0,-4269.1,-1543.2,-206.3,2605.0,,-2810.3,498.3,,-2422.3,-203.8,,False,False,False,False,False,True,False,,False,True,,False,True
Illinois,17028,14964.0,,8810.5,1327.0,15291.0,22537.9,10132.8,16608.9,21376.0,,14975.1,18482.9,,2201.2,14367.4,-2064.0,,-8217.5,-15701.0,-1737.0,5509.9,-6895.2,-419.1,4348.0,,-2052.9,1454.9,,-14826.8,-2660.6,,False,False,True,False,False,True,False,,True,True,,False,False
Indiana,10441,7294.0,,6756.2,3442.0,7524.0,11381.5,6333.2,9279.2,9746.0,,6217.3,8387.9,,3413.5,7926.5,-3147.0,,-3684.8,-6999.0,-2917.0,940.5,-4107.8,-1161.8,-695.0,,-4223.7,-2053.1,,-7027.5,-2514.5,,False,False,True,True,False,True,True,,False,True,,False,True
Iowa,7228,7194.0,,7603.6,2387.0,9768.0,6373.4,7393.5,10113.3,10574.0,,6201.2,9480.0,,3962.5,8841.0,-34.0,,375.6,-4841.0,2540.0,-854.6,165.5,2885.3,3346.0,,-1026.8,2252.0,,-3265.5,1613.0,,False,False,False,False,False,False,False,,False,False,,False,False
Kansas,6322,5552.0,,7876.9,1934.0,9067.0,4565.2,4117.0,6561.9,9205.0,,2748.6,6677.5,,2748.2,10627.3,-770.0,,1554.9,-4388.0,2745.0,-1756.8,-2205.0,239.9,2883.0,,-3573.4,355.5,,-3573.8,4305.3,,False,False,False,False,False,True,False,,False,True,,False,False
Kentucky,7643,5490.0,,4567.3,3624.0,5820.0,5582.1,3702.3,6505.4,7821.0,,2596.3,5235.8,,2867.9,2662.0,-2153.0,,-3075.7,-4019.0,-1823.0,-2060.9,-3940.7,-1137.6,178.0,,-5046.7,-2407.2,,-4775.1,-4981.0,,False,False,True,True,False,True,True,,False,False,,False,False
Louisiana,26931,27028.0,,28720.7,13960.0,40048.0,15329.4,16844.8,28506.3,33513.0,,13593.6,26261.4,,20845.9,18557.5,97.0,,1789.7,-12971.0,13117.0,-11601.6,-10086.2,1575.3,6582.0,,-13337.4,-669.6,,-6085.1,-8373.5,,False,False,False,False,False,False,False,,False,False,,False,False
Maine,271,246.0,,289.5,269.0,238.0,665.4,171.5,305.9,218.0,,405.9,174.9,,266.9,590.8,-25.0,,18.5,-2.0,-33.0,394.4,-99.5,34.9,-53.0,,134.9,-96.1,,-4.1,319.8,,True,True,False,False,False,False,False,,False,False,,True,False
Maryland,10587,6252.0,,3399.8,1786.0,6052.0,7801.2,5540.2,8641.2,7907.0,,8466.0,9437.2,,2324.5,7903.5,-4335.0,,-7187.2,-8801.0,-4535.0,-2785.8,-5046.8,-1945.8,-2680.0,,-2121.0,-1149.8,,-8262.5,-2683.5,,False,False,False,True,False,True,True,,True,True,,False,True
Massachusetts,3321,3120.0,,1969.2,674.0,2879.0,6202.6,2302.1,2849.0,3488.0,,2418.3,2912.3,,439.6,3381.7,-201.0,,-1351.8,-2647.0,-442.0,2881.6,-1018.9,-472.0,167.0,,-902.7,-408.7,,-2881.4,60.7,,False,False,False,False,False,False,True,,False,False,,False,True
Michigan,9252,7578.0,,7145.3,3322.0,10681.0,13954.2,5440.5,8661.8,11194.0,,4936.6,9523.1,,1549.5,10778.9,-1674.0,,-2106.7,-5930.0,1429.0,4702.2,-3811.5,-590.2,1942.0,,-4315.4,271.1,,-7702.5,1526.9,,False,False,True,False,False,True,False,,False,True,,False,True
Minnesota,8720,7894.0,,5136.9,3191.0,8572.0,8968.9,7069.8,10420.1,10566.0,,2506.6,8349.4,,2209.3,3555.2,-826.0,,-3583.1,-5529.0,-148.0,248.9,-1650.2,1700.1,1846.0,,-6213.4,-370.6,,-6510.7,-5164.8,,False,False,True,True,False,False,False,,False,True,,False,False
Mississippi,15562,9490.0,,13029.6,8002.0,11819.0,8406.4,9241.8,12798.3,14635.0,,1920.0,11197.4,,8183.9,16461.6,-6072.0,,-2532.4,-7560.0,-3743.0,-7155.6,-6320.2,-2763.7,-927.0,,-13642.0,-4364.6,,-7378.1,899.6,,True,False,True,False,False,True,True,,False,True,,False,True
