,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,8513,8569.1,8266.5,8288.7,8522.5,8571.0,8475.0,8272.0,8088.0,7926.0,8064.9,,7461.9,8155.0,8359.4,,8206.8,9226.7,8114.6,,7437.0,8667.0,7081.6,8368.0,7881.5,7963.9,8311.0,8414.1,8296.0,8262.3,8238.4,8322.1,8511.3,8618.0,,8064.0,8126.8,7975.0,8198.0,6671.0,8435.0,8504.6,,8272.2,8229.9,8288.0,8370.9,8380.0,,7976.1,8094.0,56.1,-246.5,-224.3,9.5,58.0,-38.0,-241.0,-425.0,-587.0,-448.1,,-1051.1,-358.0,-153.6,,-306.2,713.7,-398.4,,-1076.0,154.0,-1431.4,-145.0,-631.5,-549.1,-202.0,-98.9,-217.0,-250.7,-274.6,-190.9,-1.7,105.0,,-449.0,-386.2,-538.0,-315.0,-1842.0,-78.0,-8.4,,-240.8,-283.1,-225.0,-142.1,-133.0,,-536.9,-419.0,False,False,True,False,True,False,False,False,False,,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,True,,False,False,False,False,False,,False,False
Alaska,279,264.6,266.6,276.1,269.1,272.0,265.0,270.0,269.0,264.0,268.0,,253.6,270.0,271.4,,270.0,267.4,276.6,,299.8,,309.7,288.0,281.1,269.7,266.0,268.4,294.0,273.4,265.7,272.7,268.5,274.0,,,268.4,270.0,274.0,311.2,268.0,285.2,,268.7,278.5,266.0,276.5,266.0,,270.3,273.0,-14.4,-12.4,-2.9,-9.9,-7.0,-14.0,-9.0,-10.0,-15.0,-11.0,,-25.4,-9.0,-7.6,,-9.0,-11.6,-2.4,,20.8,,30.7,9.0,2.1,-9.3,-13.0,-10.6,15.0,-5.6,-13.3,-6.3,-10.5,-5.0,,,-10.6,-9.0,-5.0,32.2,-11.0,6.2,,-10.3,-0.5,-13.0,-2.5,-13.0,,-8.7,-6.0,True,True,True,True,True,True,True,False,True,,False,True,True,,True,True,True,,False,,False,True,True,True,True,True,False,True,True,True,True,True,,,True,True,True,False,True,True,,True,True,True,True,True,,True,True
Arizona,14011,13876.0,14007.9,14121.9,14056.1,14101.0,14026.0,13990.0,13866.0,14149.0,14040.0,,13732.8,14042.0,14122.8,,13821.7,13996.7,13777.7,,13972.6,14460.0,13596.1,14173.0,13783.2,13917.4,13716.0,13860.5,14136.0,13967.5,14017.8,13959.8,13870.2,14274.5,,14081.8,13931.4,14152.0,13880.0,13757.8,13728.0,13941.1,,14009.6,13899.8,13788.0,14145.2,14076.0,,13497.7,14073.0,-135.0,-3.1,110.9,45.1,90.0,15.0,-21.0,-145.0,138.0,29.0,,-278.2,31.0,111.8,,-189.3,-14.3,-233.3,,-38.4,449.0,-414.9,162.0,-227.8,-93.6,-295.0,-150.5,125.0,-43.5,6.8,-51.2,-140.8,263.5,,70.8,-79.6,141.0,-131.0,-253.2,-283.0,-69.9,,-1.4,-111.2,-223.0,134.2,65.0,,-513.3,62.0,True,True,True,True,True,True,False,False,True,,False,True,True,,False,True,False,,True,False,False,False,False,True,False,False,True,True,True,True,False,False,,True,True,False,True,False,False,True,,True,True,False,True,True,,False,True
Arkansas,5061,5092.6,5161.9,5107.4,5114.2,5116.0,5113.0,5081.0,5059.0,5009.0,5080.6,,4909.0,5076.0,5129.1,,5033.8,5089.8,5039.5,,5110.5,5181.0,5090.0,5113.0,5064.9,5081.6,5084.0,5073.7,5096.0,5157.8,5093.4,5100.0,5065.1,5081.0,,5126.2,5065.7,5161.0,5081.0,5311.3,5042.0,5114.7,,5101.0,5080.6,5051.0,5114.9,5093.0,,5017.2,5081.0,31.6,100.9,46.4,53.2,55.0,52.0,20.0,-2.0,-52.0,19.6,,-152.0,15.0,68.1,,-27.2,28.8,-21.5,,49.5,120.0,29.0,52.0,3.9,20.6,23.0,12.7,35.0,96.8,32.4,39.0,4.1,20.0,,65.2,4.7,100.0,20.0,250.3,-19.0,53.7,,40.0,19.6,-10.0,53.9,32.0,,-43.8,20.0,False,False,False,False,False,True,True,False,True,,False,True,False,,True,True,True,,False,False,True,False,True,True,True,True,False,False,False,False,True,True,,False,True,False,True,False,True,False,,False,True,True,False,False,,False,True
California,43991,44191.1,44411.1,44438.2,44723.5,44521.0,44558.0,44103.0,43838.0,43128.0,43784.0,,42402.0,43596.0,45054.7,,44033.1,44231.4,43618.3,,43053.2,45585.0,38962.6,43979.0,43447.3,43975.1,43997.0,44041.5,44390.0,44566.9,44198.2,44148.4,43860.1,46000.0,,44127.6,43752.5,44079.0,43574.0,45165.0,43799.0,44331.7,,44232.5,44226.1,43288.0,44836.5,44181.0,,42243.3,44263.0,200.1,420.1,447.2,732.5,530.0,567.0,112.0,-153.0,-863.0,-207.0,,-1589.0,-395.0,1063.7,,42.1,240.4,-372.7,,-937.8,1594.0,-5028.4,-12.0,-543.7,-15.9,6.0,50.5,399.0,575.9,207.2,157.4,-130.9,2009.0,,136.6,-238.5,88.0,-417.0,1174.0,-192.0,340.7,,241.5,235.1,-703.0,845.5,190.0,,-1747.7,272.0,False,False,False,False,False,True,True,False,False,,False,False,False,,True,False,False,,False,False,False,True,False,True,True,True,False,False,False,True,True,False,,True,False,True,False,False,True,False,,False,False,False,False,True,,False,False
Colorado,5722,5755.7,5750.2,5713.4,5754.3,5755.0,5758.0,5758.0,5742.0,5767.0,5750.5,,5635.5,5792.0,5741.2,,5732.3,5763.0,5789.4,,5706.7,5853.0,7642.1,5770.0,5804.0,5760.2,5726.0,5746.0,5758.0,5704.1,5763.6,5763.0,5744.8,5751.0,,5732.7,5738.5,5811.0,5734.0,5731.6,5771.0,5776.1,,5774.2,5772.4,5750.0,5814.5,5741.0,,5782.9,5782.0,33.7,28.2,-8.6,32.3,33.0,36.0,36.0,20.0,45.0,28.5,,-86.5,70.0,19.2,,10.3,41.0,67.4,,-15.3,131.0,1920.1,48.0,82.0,38.2,4.0,24.0,36.0,-17.9,41.6,41.0,22.8,29.0,,10.7,16.5,89.0,12.0,9.6,49.0,54.1,,52.2,50.4,28.0,92.5,19.0,,60.9,60.0,True,True,True,True,False,False,True,False,True,,False,False,True,,True,False,False,,True,False,False,False,False,False,True,True,False,True,False,False,True,True,,True,True,False,True,True,False,False,,False,False,True,False,True,,False,False
Connecticut,7214,7240.6,7277.2,7275.7,7258.7,7273.0,7273.0,7266.0,7241.0,7305.0,7257.1,,7164.1,7266.0,7237.6,,7208.2,7251.0,7272.1,,7326.3,7340.0,7770.9,7319.0,7270.0,7270.1,7251.0,7220.8,7267.0,7249.4,7337.7,7272.3,7225.2,7194.0,,7245.7,7211.3,7371.0,7235.0,7084.2,7133.0,7250.1,,7342.0,7255.5,7209.0,7286.9,7247.0,,7130.9,7328.0,26.6,63.2,61.7,44.7,59.0,59.0,52.0,27.0,91.0,43.1,,-49.9,52.0,23.6,,-5.8,37.0,58.1,,112.3,126.0,556.9,105.0,56.0,56.1,37.0,6.8,53.0,35.4,123.7,58.3,11.2,-20.0,,31.7,-2.7,157.0,21.0,-129.8,-81.0,36.1,,128.0,41.5,-5.0,72.9,33.0,,-83.1,114.0,False,False,False,False,False,False,False,False,False,,False,False,True,,True,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,True,,False,True,False,True,False,False,False,,False,False,True,False,False,,False,False
Delaware,1329,1132.0,1130.9,1117.7,1123.4,1130.0,1126.0,1118.0,1113.0,1113.0,1118.9,,1095.8,1118.0,1118.3,,1112.6,1161.1,1119.6,,1097.4,1127.0,1205.3,1124.0,1145.3,1113.0,1116.0,1119.6,1126.0,1086.4,1117.5,1125.0,1117.1,1121.0,,,1112.2,1120.0,1111.0,1162.4,1127.0,1132.3,,1129.0,1131.6,1121.0,1109.6,1116.0,,1111.0,1118.0,18.0,16.9,3.7,9.4,16.0,12.0,4.0,-1.0,-1.0,4.9,,-18.2,4.0,4.3,,-1.4,47.1,5.6,,-16.6,13.0,91.3,10.0,31.3,-1.0,2.0,5.6,12.0,-27.6,3.5,11.0,3.1,7.0,,,-1.8,6.0,-3.0,48.4,13.0,18.3,,15.0,17.6,7.0,-4.4,2.0,,-3.0,4.0,True,True,True,True,True,True,True,True,True,,False,True,True,,True,False,True,,True,True,False,True,False,True,True,True,True,False,True,True,True,True,,,True,True,True,False,True,False,,True,True,True,True,True,,True,True
District of Columbia,947,948.1,940.9,940.4,944.7,947.0,948.0,940.0,936.0,940.0,938.8,,916.6,941.0,936.3,,937.6,948.3,946.5,,909.6,947.0,1094.3,941.0,932.6,937.9,944.0,936.5,934.0,,,,935.5,949.0,,,938.1,953.0,936.0,902.7,940.0,949.2,,,941.2,937.0,,942.0,,922.8,939.0,1.1,-6.1,-6.6,-2.3,0.0,1.0,-7.0,-11.0,-7.0,-8.2,,-30.4,-6.0,-10.7,,-9.4,1.3,-0.5,,-37.4,0.0,147.3,-6.0,-14.4,-9.1,-3.0,-10.5,-13.0,,,,-11.5,2.0,,,-8.9,6.0,-11.0,-44.3,-7.0,2.2,,,-5.8,-10.0,,-5.0,,-24.2,-8.0,False,False,False,True,True,False,False,False,False,,False,False,False,,False,False,True,,False,True,False,False,False,False,False,False,False,,,,False,False,,,False,False,False,False,False,False,,,False,False,,False,,False,False
Florida,27599,27495.6,27658.2,27575.3,27540.6,27601.0,27556.0,27436.0,27366.0,27336.0,27412.8,,26529.7,27128.0,27673.1,,27414.5,27829.8,27434.8,,27387.2,27840.0,26624.6,27820.0,28099.8,27362.1,27459.0,27529.8,27575.0,27667.9,27370.3,27539.2,27487.5,27580.0,,27754.9,27344.2,27594.0,27435.0,29427.4,27309.0,27475.3,,27378.7,27569.3,27436.0,27334.5,27457.0,,27006.7,27446.0,-103.4,59.2,-23.7,-58.4,2.0,-43.0,-163.0,-233.0,-263.0,-186.2,,-1069.3,-471.0,74.1,,-184.5,230.8,-164.2,,-211.8,241.0,-974.4,221.0,500.8,-236.9,-140.0,-69.2,-24.0,68.9,-228.7,-59.8,-111.5,-19.0,,155.9,-254.8,-5.0,-164.0,1828.4,-290.0,-123.7,,-220.3,-29.7,-163.0,-264.5,-142.0,,-592.3,-153.0,True,True,True,True,True,False,False,False,False,,False,False,True,,False,False,False,,False,False,False,False,False,False,False,True,True,True,False,True,False,True,,False,False,True,False,False,False,False,,False,True,False,False,False,,False,False
