,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Alabama,8513,5757.0,7166.9,5806.4,5785.0,6632.1,6655.0,,6526.0,6360.6,6496.3,6885.2,6028.0,5830.3,6663.5,,5576.2,,6461.2,5450.9,-2756.0,-1346.1,-2706.6,-2728.0,-1880.9,-1858.0,,-1987.0,-2152.4,-2016.7,-1627.8,-2485.0,-2682.7,-1849.5,,-2936.8,,-2051.8,-3062.1,True,True,True,True,True,,True,True,True,True,True,True,True,,False,,True,False
Alaska,279,287.9,261.0,290.0,235.0,304.5,268.0,,,250.3,335.4,250.0,264.0,271.3,285.0,,323.1,,296.5,255.1,8.9,-18.0,11.0,-44.0,25.5,-11.0,,,-28.7,56.4,-29.0,-15.0,-7.7,6.0,,44.1,,17.5,-23.9,False,False,False,False,False,,,False,False,False,False,True,True,,False,,False,False
Arizona,14011,12140.4,13045.0,12245.2,11178.0,12533.2,10209.0,,11783.0,10992.8,12788.6,12786.6,12158.0,11379.7,14087.5,,11536.0,,12255.8,9956.1,-1870.6,-966.0,-1765.8,-2833.0,-1477.8,-3802.0,,-2228.0,-3018.2,-1222.4,-1224.4,-1853.0,-2631.3,76.5,,-2475.0,,-1755.2,-4054.9,True,True,False,True,False,,False,False,True,True,True,False,True,,False,,True,False
Arkansas,5061,5045.9,5281.0,5168.8,5117.0,5453.4,4985.0,,5119.0,5149.6,4832.4,5247.6,4900.0,4556.2,5575.0,,5215.2,,4935.0,4302.6,-15.1,220.0,107.8,56.0,392.4,-76.0,,58.0,88.6,-228.6,186.6,-161.0,-504.8,514.0,,154.2,,-126.0,-758.4,False,False,False,False,False,,False,False,False,False,False,False,False,,False,,False,False
California,43991,38081.4,45489.0,38162.4,34681.0,44766.7,36381.0,,37982.0,33107.8,39794.8,39616.2,36796.5,30339.0,38992.0,,36489.1,,,29238.5,-5909.6,1498.0,-5828.6,-9310.0,775.7,-7610.0,,-6009.0,-10883.2,-4196.2,-4374.8,-7194.5,-13652.0,-4999.0,,-7501.9,,,-14752.5,True,True,False,True,False,,False,False,True,True,False,False,True,,False,,,False
Colorado,5722,6507.7,6308.3,6512.1,5751.0,6365.5,5970.0,,6325.0,5775.3,5828.0,5911.1,5891.0,6686.7,6437.5,,6393.0,,5924.9,5577.9,785.7,586.3,790.1,29.0,643.5,248.0,,603.0,53.3,106.0,189.1,169.0,964.7,715.5,,671.0,,202.9,-144.1,True,False,True,True,True,,True,True,True,True,True,False,True,,True,,True,True
Connecticut,7214,7595.0,6937.7,7638.3,6479.0,7033.3,6406.0,,7118.0,7045.4,7446.4,7244.8,6895.0,6894.7,7215.5,,7338.1,,7058.8,6327.0,381.0,-276.3,424.3,-735.0,-180.7,-808.0,,-96.0,-168.6,232.4,30.8,-319.0,-319.3,1.5,,124.1,,-155.2,-887.0,True,False,False,True,False,,True,True,True,True,True,True,True,,True,,True,False
Delaware,1202,1090.3,1189.7,1105.5,996.0,1138.9,1107.0,,1214.0,1025.4,1215.6,1112.8,1044.0,1014.7,1163.0,,1002.9,,1188.7,1001.3,-111.7,-12.3,-96.5,-206.0,-63.1,-95.0,,12.0,-176.6,13.6,-89.2,-158.0,-187.3,-39.0,,-199.1,,-13.3,-200.7,True,True,False,True,True,,True,False,True,True,False,False,True,,False,,True,False
District of Columbia,947,920.3,908.0,942.0,907.0,915.9,818.0,,930.0,914.4,936.9,928.9,907.0,972.2,940.5,,869.1,,1108.7,826.8,-26.7,-39.0,-5.0,-40.0,-31.1,-129.0,,-17.0,-32.6,-10.1,-18.1,-40.0,25.2,-6.5,,-77.9,,161.7,-120.2,False,True,False,False,False,,True,False,True,True,False,True,True,,False,,False,False
Florida,27599,25751.3,25155.0,25665.4,24854.0,26342.1,25891.0,,24889.0,25041.6,31109.7,27291.6,26742.0,26288.5,26439.5,,25358.7,,,23701.9,-1847.7,-2444.0,-1933.6,-2745.0,-1256.9,-1708.0,,-2710.0,-2557.4,3510.7,-307.4,-857.0,-1310.5,-1159.5,,-2240.3,,,-3897.1,False,False,False,True,True,,False,False,False,True,True,True,True,,False,,,False
