,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,8513,4450.9,3486.4,3489.0,,-4062.1,-5026.6,-5024.0,,False,False,
Alaska,279,93.7,361.8,,,-185.3,82.8,,,True,,
Arizona,14011,6652.4,8049.7,6648.0,,-7358.6,-5961.3,-7363.0,,True,False,
Arkansas,5061,3996.4,3567.4,3676.0,,-1064.6,-1493.6,-1385.0,,False,False,
California,43991,23861.3,24848.1,20441.0,,-20129.7,-19142.9,-23550.0,,True,False,
Colorado,5722,2871.6,2967.1,2437.5,,-2850.4,-2754.9,-3284.5,,True,False,
Connecticut,7214,4816.6,4856.2,4686.0,,-2397.4,-2357.8,-2528.0,,True,False,
Delaware,1202,805.7,832.7,773.0,,-396.3,-369.3,-429.0,,True,False,
District of Columbia,947,738.1,720.6,669.0,,-208.9,-226.4,-278.0,,False,False,
Florida,27599,27046.0,23610.0,20970.0,,-553.0,-3989.0,-6629.0,,False,False,
Georgia,15090,11697.7,10071.5,9601.0,,-3392.3,-5018.5,-5489.0,,False,False,
Hawaii,415,388.1,353.9,,,-26.9,-61.1,,,False,,
Idaho,1767,928.4,1142.4,816.0,,-838.6,-624.6,-951.0,,True,False,
Illinois,21676,12432.9,12685.2,11476.0,,-9243.1,-8990.8,-10200.0,,True,False,
Indiana,11752,5727.6,6172.6,4997.0,,-6024.4,-5579.4,-6755.0,,True,False,
Iowa,5108,2726.3,2769.2,2270.0,,-2381.7,-2338.8,-2838.0,,True,False,
Kansas,4075,2190.0,1632.2,1611.0,,-1885.0,-2442.8,-2464.0,,False,False,
Kentucky,4020,1976.9,2715.3,2126.0,,-2043.1,-1304.7,-1894.0,,True,True,
Louisiana,9076,6969.9,6925.6,6798.0,,-2106.1,-2150.4,-2278.0,,False,False,
Maine,634,159.9,169.5,204.0,,-474.1,-464.5,-430.0,,True,True,
Maryland,7329,4690.1,4597.9,4315.0,27780.0,-2638.9,-2731.1,-3014.0,20451.0,False,False,False
Massachusetts,14921,11188.6,13838.4,10482.0,,-3732.4,-1082.6,-4439.0,,True,False,
Michigan,15854,8820.4,9114.0,8256.0,,-7033.6,-6740.0,-7598.0,,True,False,
Minnesota,6357,3222.3,3768.0,3430.0,,-3134.7,-2589.0,-2927.0,,True,True,
Mississippi,6266,4584.4,4224.9,4804.0,,-1681.6,-2041.1,-1462.0,,False,True,
Missouri,7444,6436.0,4895.4,3937.0,,-1024.0,-2564.6,-3523.0,,False,False,
Montana,1312,597.7,1992.2,555.0,,-714.3,680.2,-757.0,,True,False,
Nebraska,1968,822.4,1111.6,940.0,,-1145.6,-856.4,-1028.0,,True,True,
Nevada,4496,2301.6,3134.9,1977.0,,-2194.4,-1361.1,-2519.0,,True,False,
New Hampshire,1098,675.1,554.0,527.0,,-422.9,-544.0,-571.0,,False,False,
New Jersey,21964,16814.6,18332.8,16556.5,,-5149.4,-3631.2,-5407.5,,True,False,
New Mexico,3386,1231.3,2781.3,1192.0,,-2154.7,-604.7,-2194.0,,True,False,
New York,44664,34794.3,36399.6,33995.0,,-9694.7,-8089.4,-10494.0,,True,False,
North Carolina,9926,6062.6,7068.1,6563.0,,-3863.4,-2857.9,-3363.0,,True,True,
North Dakota,1453,1399.0,1306.3,995.0,,-54.0,-146.7,-458.0,,False,False,
Ohio,11652,6246.4,8107.0,7075.0,,-5405.6,-3545.0,-4577.0,,True,True,
Oklahoma,3761,1890.3,2256.4,2190.0,,-1870.7,-1504.6,-1571.0,,True,True,
Oregon,2020,1054.1,1143.8,865.0,,-965.9,-876.2,-1155.0,,True,False,
Pennsylvania,22353,10605.7,11246.9,9948.0,,-11747.3,-11106.1,-12405.0,,True,False,
Rhode Island,2212,1332.3,1467.9,1265.0,,-879.7,-744.1,-947.0,,True,False,
South Carolina,7611,5220.9,4850.5,5087.0,,-2390.1,-2760.5,-2524.0,,False,False,
South Dakota,1804,926.6,1035.2,705.0,,-877.4,-768.8,-1099.0,,True,False,
Tennessee,10463,5969.9,5908.6,5614.0,,-4493.1,-4554.4,-4849.0,,False,False,
Texas,39182,27945.0,28234.9,25022.0,18956.0,-10969.0,-10679.1,-13892.0,-19958.0,True,False,False
Utah,1733,1174.4,1507.9,984.0,,-558.6,-225.1,-749.0,,True,False,
Vermont,182,58.0,84.6,59.0,,-124.0,-97.4,-123.0,,True,True,
Virginia,6773,4787.9,5160.1,4274.0,,-1982.1,-1609.9,-2496.0,,True,False,
Washington,4449,2999.1,3031.9,2670.0,,-1468.9,-1436.1,-1798.0,,True,False,
West Virginia,2119,739.0,747.2,788.0,,-1380.0,-1371.8,-1331.0,,True,True,
Wisconsin,6611,2948.4,3691.1,2787.0,,-3531.6,-2788.9,-3693.0,,True,False,
Wyoming,624,70.9,293.4,105.0,,-553.1,-330.6,-519.0,,True,True,
US,462169,299846.0,323508.4,283250.0,288375.0,-161779.0,-138116.6,-178375.0,-173250.0,True,False,False
