,total_deaths_2020-12-13,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IBF-TimeSeries,303457,458266.0,468282,159098.0,164825,-5727.0,-3.5%
IowaStateLW-STEM,303457,457946.0,468282,158778.0,164825,-6047.0,-3.7%
Covid19Sim-Simulator,303457,445572.9,468282,146404.9,164825,-18420.1,-11.2%
JHUAPL-Bucky,303457,435457.9,468282,136289.9,164825,-28535.1,-17.3%
Baseline,303457,431333.0,468282,132165.0,164825,-32660.0,-19.8%
COVIDhub-baseline,303457,430844.3,468282,131676.3,164825,-33148.7,-20.1%
IHME-CurveFit,303457,421344.3,468282,122176.3,164825,-42648.7,-25.9%
UCLA-SuEIR,303457,411457.5,468282,112289.5,164825,-52535.5,-31.9%
JCB-PRM,303457,518595.1,468282,219427.1,164825,54602.1,33.1%
Columbia_UNC-SurvCon,303457,533861.0,468282,234693.0,164825,69868.0,42.4%
WalmartLabsML-LogForecasting,303457,335256.5,468282,36088.5,164825,-128736.5,-78.1%
