,mean_rank
UMass-MechBayes,13.4
COVIDhub-ensemble,14.7
Caltech-CS156,14.9
LNQ-ens1,15.4
GT-DeepCOVID,15.6
UCLA-SuEIR,15.8
Karlen-pypm,16.1
OliverWyman-Navigator,16.1
BPagano-RtDriven,16.4
COVIDhub-baseline,16.4
SteveMcConnell-CovidComplete,16.9
RobertWalraven-ESG,17.5
CEID-Walk,17.6
MOBS-GLEAM_COVID,18.0
Google_Harvard-CPF,18.1
epiforecasts-ensemble1,18.1
IowaStateLW-STEM,18.2
JHU_CSSE-DECOM,18.7
Covid19Sim-Simulator,19.4
Columbia_UNC-SurvCon,19.5
PSI-DRAFT,19.5
LANL-GrowthRate,19.6
AIpert-pwllnod,19.8
USC-SI_kJalpha,20.0
JHU_IDD-CovidSP,20.2
UA-EpiCovDA,20.8
CMU-TimeSeries,20.8
UCSD_NEU-DeepGLEAM,21.0
CU-select,21.0
Microsoft-DeepSTIA,22.0
MIT_CritData-GBCF,22.2
DDS-NBDS,22.6
CovidAnalytics-DELPHI,23.2
UMich-RidgeTfReg,23.3
IHME-CurveFit,24.5
TTU-squider,25.3
WalmartLabsML-LogForecasting,27.8
UCSB-ACTS,30.7
