,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR
Alabama,8513,6652.4,6632.5,7396.8,6752.0,6701.6,6331.2,-1860.6,-1880.5,-1116.2,-1761.0,-1811.4,-2181.8,False,True,True,True,False
Alaska,279,337.9,454.7,240.6,,329.5,378.5,58.9,175.7,-38.4,,50.5,99.5,False,True,,True,False
Arizona,14011,9748.9,11640.5,10349.1,8986.0,13326.8,9296.0,-4262.1,-2370.5,-3661.9,-5025.0,-684.2,-4715.0,True,True,False,True,False
Arkansas,5061,4342.9,4241.9,4177.5,4284.0,4108.4,4910.1,-718.1,-819.1,-883.5,-777.0,-952.6,-150.9,False,False,False,False,True
California,43991,26810.0,33506.2,38370.8,26254.0,38334.7,26670.5,-17170.0,-10473.8,-5609.2,-17726.0,-5645.3,-17309.5,True,True,False,True,False
Colorado,5722,6482.6,7373.0,8360.0,6458.0,5055.9,6633.0,760.6,1651.0,2638.0,736.0,-666.1,911.0,False,False,True,True,False
Connecticut,7214,6784.6,7062.8,7203.4,6588.0,6781.6,6346.2,-429.4,-151.2,-10.6,-626.0,-432.4,-867.8,True,True,False,False,False
Delaware,1202,996.7,1129.2,1011.8,988.0,1267.9,967.0,-205.3,-72.8,-190.2,-214.0,65.9,-235.0,True,True,False,True,False
District of Columbia,947,847.6,899.5,969.9,812.0,866.6,816.7,-99.4,-47.5,22.9,-135.0,-80.4,-130.3,True,True,False,True,False
Florida,27599,25173.3,25435.2,27853.8,23124.0,25463.6,24826.2,-2425.7,-2163.8,254.8,-4475.0,-2135.4,-2772.8,True,True,False,True,False
Georgia,15090,13030.0,11497.0,13113.0,12204.0,13163.8,13238.5,-2060.0,-3593.0,-1977.0,-2886.0,-1926.2,-1851.5,False,True,False,True,True
Hawaii,415,421.4,287.6,466.3,,337.0,304.4,6.4,-127.4,51.3,,-78.0,-110.6,False,False,,False,False
Idaho,1767,2053.6,1977.6,2097.4,2042.0,1646.2,2052.6,286.6,210.6,330.4,275.0,-120.8,285.6,True,False,True,True,True
Illinois,21676,25045.7,22629.9,23552.4,21330.0,18177.9,23521.2,3369.7,953.9,1876.4,-346.0,-3498.1,1845.2,True,True,True,False,True
Indiana,11752,11175.4,11727.9,9505.0,10656.0,9330.2,11870.4,-576.6,-24.1,-2247.0,-1096.0,-2421.8,118.4,True,False,False,False,True
Iowa,5108,5533.6,4071.4,4384.2,5732.0,3242.7,5436.5,425.6,-1036.6,-723.8,624.0,-1865.3,328.5,False,False,False,False,True
Kansas,4075,4062.3,3522.1,3879.8,3969.0,2694.4,3544.1,-12.7,-552.9,-195.2,-106.0,-1380.6,-530.9,False,False,False,False,False
Kentucky,4020,3630.9,3744.8,4026.5,3428.0,3547.1,4419.7,-389.1,-275.2,6.5,-592.0,-472.9,399.7,True,True,False,False,False
Louisiana,9076,8151.7,10165.7,8972.9,8106.0,12513.0,8123.9,-924.3,1089.7,-103.1,-970.0,3437.0,-952.1,False,True,False,False,False
Maine,634,545.9,505.4,505.2,622.0,454.9,288.5,-88.1,-128.6,-128.8,-12.0,-179.1,-345.5,False,False,True,False,False
Maryland,7329,6803.4,7942.1,8678.6,6620.0,6963.6,6344.2,-525.6,613.1,1349.6,-709.0,-365.4,-984.8,False,False,False,True,False
Massachusetts,14921,13501.7,14546.8,14028.5,13543.0,14686.8,13162.2,-1419.3,-374.2,-892.5,-1378.0,-234.2,-1758.8,True,True,True,True,False
Michigan,15854,17885.0,18940.7,15263.7,16858.0,14735.0,16863.8,2031.0,3086.7,-590.3,1004.0,-1119.0,1009.8,False,True,True,True,True
Minnesota,6357,7639.0,8802.3,6989.1,8702.0,6136.1,8496.1,1282.0,2445.3,632.1,2345.0,-220.9,2139.1,False,True,False,True,False
Mississippi,6266,5333.9,5809.2,5347.4,5253.0,6609.4,5521.7,-932.1,-456.8,-918.6,-1013.0,343.4,-744.3,True,True,False,True,True
Missouri,7444,8128.0,6558.0,6849.1,6953.0,5044.4,7294.4,684.0,-886.0,-594.9,-491.0,-2399.6,-149.6,False,True,True,False,True
Montana,1312,1311.7,1473.7,1986.2,1555.0,1139.2,1380.3,-0.3,161.7,674.2,243.0,-172.8,68.3,False,False,False,False,False
Nebraska,1968,3118.1,2420.1,2946.7,3247.0,1796.7,2630.4,1150.1,452.1,978.7,1279.0,-171.3,662.4,True,True,False,True,True
Nevada,4496,3900.4,4363.7,3980.6,3704.0,4357.0,4069.3,-595.6,-132.3,-515.4,-792.0,-139.0,-426.7,True,True,False,True,True
New Hampshire,1098,900.6,815.8,741.8,959.0,970.1,855.3,-197.4,-282.2,-356.2,-139.0,-127.9,-242.7,False,False,True,True,False
New Jersey,21964,20359.0,21410.9,23165.2,19761.0,20116.6,21967.0,-1605.0,-553.1,1201.2,-2203.0,-1847.4,3.0,True,True,False,False,True
New Mexico,3386,3600.1,4553.8,4639.0,3245.0,3430.2,2882.2,214.1,1167.8,1253.0,-141.0,44.2,-503.8,False,False,True,True,False
New York,44664,38474.3,47363.8,43245.5,38456.0,50347.2,40171.0,-6150.7,2738.8,-1379.5,-6169.0,5722.2,-4454.0,True,True,False,True,True
