,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,8513,4759.9,6305.8,5514.0,4383.5,-3753.1,-2207.2,-2999.0,-4129.5,True,True,False
Alaska,279,298.4,493.6,,404.7,19.4,214.6,,125.7,False,,False
Arizona,14011,8309.7,12537.3,8402.0,7869.1,-5701.3,-1473.7,-5609.0,-6141.9,True,True,False
Arkansas,5061,3583.9,4754.4,4168.0,4115.3,-1477.1,-306.6,-893.0,-945.7,True,True,True
California,43991,23340.3,29799.9,23881.0,23911.5,-20649.7,-14190.1,-20109.0,-20078.5,True,True,True
Colorado,5722,4944.9,8331.9,5386.0,4507.1,-777.1,2609.9,-336.0,-1214.9,False,True,False
Connecticut,7214,6272.0,7362.3,6143.0,5402.3,-942.0,148.3,-1071.0,-1811.7,True,False,False
Delaware,1202,986.9,1182.0,960.0,976.3,-215.1,-20.0,-242.0,-225.7,True,False,False
District of Columbia,947,778.6,862.7,795.0,704.1,-168.4,-84.3,-152.0,-242.9,True,True,False
Florida,27599,23517.3,24206.9,22298.0,23913.1,-4081.7,-3392.1,-5301.0,-3685.9,True,False,True
Georgia,15090,11847.1,13948.0,12038.0,11986.9,-3242.9,-1142.0,-3052.0,-3103.1,True,True,True
Hawaii,415,352.4,323.3,,294.3,-62.6,-91.7,,-120.7,False,,False
Idaho,1767,1619.9,2290.0,1776.0,1365.2,-147.1,523.0,9.0,-401.8,False,True,False
Illinois,21676,21083.1,26035.3,20699.0,21956.4,-592.9,4359.3,-977.0,280.4,False,False,True
Indiana,11752,9430.7,13329.8,9947.0,9828.7,-2321.3,1577.8,-1805.0,-1923.3,True,True,True
Iowa,5108,4340.9,5374.7,4533.0,4215.1,-767.1,266.7,-575.0,-892.9,True,True,False
Kansas,4075,2702.0,4124.9,3052.0,3462.7,-1373.0,49.9,-1023.0,-612.3,True,True,True
Kentucky,4020,2970.4,3897.9,3444.0,3275.0,-1049.6,-122.1,-576.0,-745.0,True,True,True
Louisiana,9076,7856.0,10808.1,7700.0,8275.9,-1220.0,1732.1,-1376.0,-800.1,False,False,True
Maine,634,338.9,637.5,476.0,250.0,-295.1,3.5,-158.0,-384.0,True,True,False
Maryland,7329,6507.7,7463.6,6182.0,6196.7,-821.3,134.6,-1147.0,-1132.3,True,False,False
Massachusetts,14921,12792.0,15017.0,12846.0,12005.3,-2129.0,96.0,-2075.0,-2915.7,True,True,False
Michigan,15854,15302.4,22087.5,15992.0,11948.1,-551.6,6233.5,138.0,-3905.9,False,True,False
Minnesota,6357,6988.4,10955.8,8245.0,7672.0,631.4,4598.8,1888.0,1315.0,False,False,False
Mississippi,6266,5087.4,5472.9,4915.0,5206.9,-1178.6,-793.1,-1351.0,-1059.1,True,False,True
Missouri,7444,6531.1,7805.7,6730.0,5612.4,-912.9,361.7,-714.0,-1831.6,True,True,False
Montana,1312,1341.3,1761.0,1652.0,1292.7,29.3,449.0,340.0,-19.3,False,False,True
Nebraska,1968,1777.6,2907.2,2429.0,1327.4,-190.4,939.2,461.0,-640.6,False,False,False
Nevada,4496,3309.0,4067.8,3025.0,3047.3,-1187.0,-428.2,-1471.0,-1448.7,True,False,False
New Hampshire,1098,664.0,894.7,800.0,633.3,-434.0,-203.3,-298.0,-464.7,True,True,False
New Jersey,21964,19117.0,21914.8,19448.0,21331.7,-2847.0,-49.2,-2516.0,-632.3,True,True,True
New Mexico,3386,3087.6,5345.2,3178.0,2748.1,-298.4,1959.2,-208.0,-637.9,False,True,False
New York,44664,36946.4,42156.5,38020.0,39123.7,-7705.6,-2495.5,-6632.0,-5528.3,True,True,True
North Carolina,9926,7270.6,8275.0,7887.0,7066.3,-2655.4,-1651.0,-2039.0,-2859.7,True,True,False
North Dakota,1453,1714.6,2190.4,1926.0,1127.5,261.6,737.4,473.0,-325.5,False,False,False
Ohio,11652,10371.4,15007.3,11798.0,12636.3,-1280.6,3355.3,146.0,984.3,False,True,True
Oklahoma,3761,2741.4,4112.0,3228.0,3366.9,-1019.6,351.0,-533.0,-394.1,True,True,True
Oregon,2020,1742.9,3369.6,1604.0,1964.0,-277.1,1349.6,-416.0,-56.0,False,False,True
Pennsylvania,22353,15038.3,21595.5,17254.0,13031.9,-7314.7,-757.5,-5099.0,-9321.1,True,True,False
Rhode Island,2212,1858.6,2163.1,1667.0,1774.0,-353.4,-48.9,-545.0,-438.0,True,False,False
South Carolina,7611,5043.0,5829.2,5602.0,5490.2,-2568.0,-1781.8,-2009.0,-2120.8,True,True,True
