,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,8513,4511.1,5447.5,4313.0,3878.9,-4001.9,-3065.5,-4200.0,-4634.1,True,False,False
Alaska,279,96.9,397.4,,169.9,-182.1,118.4,,-109.1,True,,True
Arizona,14011,8542.6,8136.6,7366.0,7723.1,-5468.4,-5874.4,-6645.0,-6287.9,False,False,False
Arkansas,5061,3717.9,4397.5,3954.0,3169.9,-1343.1,-663.5,-1107.0,-1891.1,True,True,False
California,43991,21855.9,25352.2,21272.0,21149.0,-22131.1,-18634.8,-22715.0,-22838.0,True,False,False
Colorado,5722,3756.9,5417.5,3524.0,3191.8,-1965.1,-304.5,-2198.0,-2530.2,True,False,False
Connecticut,7214,5378.1,6970.6,5254.0,5005.8,-1835.9,-243.4,-1960.0,-2208.2,True,False,False
Delaware,1329,820.9,1144.6,890.0,747.4,-473.1,-149.4,-404.0,-546.6,True,True,False
District of Columbia,947,756.9,718.0,679.0,722.0,-190.1,-229.0,-268.0,-225.0,False,False,False
Florida,27599,21389.6,29191.2,21407.0,20594.6,-6209.4,1592.2,-6192.0,-7004.4,True,True,False
Georgia,15090,10932.6,11534.2,10556.0,10564.4,-3703.4,-3101.8,-4080.0,-4071.6,True,False,False
Hawaii,415,246.7,418.7,,258.6,-168.3,3.7,,-156.4,True,,True
Idaho,1767,1406.0,1842.7,1418.0,1048.3,-361.0,75.7,-349.0,-718.7,True,True,False
Illinois,21676,16490.9,26520.4,14334.0,14426.2,-5185.1,4844.4,-7342.0,-7249.8,True,False,False
Indiana,11752,8036.1,11325.5,7386.0,6718.2,-3456.9,-167.5,-4107.0,-4774.8,True,False,False
Iowa,5108,3285.0,5800.0,3389.0,3194.1,-1823.0,692.0,-1719.0,-1913.9,True,True,False
