,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,7329,7409.9,7305.1,7205.2,7438.2,7521.0,7426.4,7470.0,7502.0,7327.4,7566.0,7361.4,10557.0,7550.2,7592.2,7581.8,,7451.9,7418.0,7448.0,7325.6,7512.5,7464.0,7414.0,7531.0,7065.8,7487.5,7554.3,7468.4,7173.0,,7896.6,7320.4,,7591.0,7281.0,7214.0,7329.8,,7809.6,7519.2,7361.0,7471.6,7567.0,,6773.0,7543.0,80.9,-23.9,-123.8,109.2,192.0,97.4,141.0,173.0,-1.6,237.0,32.4,3228.0,221.2,263.2,252.8,,122.9,89.0,119.0,-3.4,183.5,135.0,85.0,202.0,-263.2,158.5,225.3,139.4,-156.0,,567.6,-8.6,,262.0,-48.0,-115.0,0.8,,480.6,190.2,32.0,142.6,238.0,,-556.0,214.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,True,,False,True,False,True,,False,False,True,False,False,,False,False
Massachusetts,14921,15083.4,15113.1,15001.4,15049.0,15469.0,15110.2,15226.0,15296.0,14876.8,15403.0,15048.0,15737.0,15205.6,15342.5,15360.4,,15616.8,15179.0,15280.0,14948.0,15305.5,14991.0,15115.0,15411.0,15476.7,15339.7,15728.0,15185.9,14937.5,,15621.5,14972.0,,15360.0,16053.2,15226.0,14653.7,,16939.7,15369.6,15166.0,15346.2,15372.0,,14227.0,15184.0,162.4,192.1,80.4,128.0,548.0,189.2,305.0,375.0,-44.2,482.0,127.0,816.0,284.6,421.5,439.4,,695.8,258.0,359.0,27.0,384.5,70.0,194.0,490.0,555.7,418.7,807.0,264.9,16.5,,700.5,51.0,,439.0,1132.2,305.0,-267.3,,2018.7,448.6,245.0,425.2,451.0,,-694.0,263.0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,,False,False,False,True,False,True,False,False,False,False,False,False,True,,False,True,,False,False,False,False,,False,False,False,False,False,,False,False
Michigan,15854,16166.1,16275.5,16117.3,16412.3,16495.0,16240.8,16241.0,15945.0,15912.8,16588.0,15736.6,16454.0,16598.2,16089.5,16396.4,,17336.1,16943.0,16741.0,15821.3,15775.1,15964.0,16177.9,16529.0,15753.9,16385.6,16470.2,16073.2,16107.5,,17233.5,16036.7,,16105.0,15167.9,15389.0,15675.2,,17016.7,16408.2,15900.0,16842.1,17027.0,,15395.0,16039.0,312.1,421.5,263.3,558.3,641.0,386.8,387.0,91.0,58.8,734.0,-117.4,600.0,744.2,235.5,542.4,,1482.1,1089.0,887.0,-32.7,-78.9,110.0,323.9,675.0,-100.1,531.6,616.2,219.2,253.5,,1379.5,182.7,,251.0,-686.1,-465.0,-178.8,,1162.7,554.2,46.0,988.1,1173.0,,-459.0,185.0,False,True,False,False,False,False,True,True,False,True,False,False,True,False,,False,False,False,True,True,True,False,False,True,False,False,True,True,,False,True,,True,False,False,True,,False,False,True,False,False,,False,True
Minnesota,6357,6623.6,6438.7,6445.8,6644.0,6722.0,6627.0,6558.0,6295.0,6478.4,6473.0,6455.5,6446.0,6723.0,6567.5,6545.0,,6816.5,6864.0,6744.0,6460.1,6387.8,6521.0,6603.4,6692.0,6279.6,6596.8,6689.9,6542.7,6698.0,,7064.3,6557.9,,6541.0,5426.0,6753.0,6581.4,,6972.3,6620.3,6493.0,6996.7,6683.0,,6430.2,6475.0,266.6,81.7,88.8,287.0,365.0,270.0,201.0,-62.0,121.4,116.0,98.5,89.0,366.0,210.5,188.0,,459.5,507.0,387.0,103.1,30.8,164.0,246.4,335.0,-77.4,239.8,332.9,185.7,341.0,,707.3,200.9,,184.0,-931.0,396.0,224.4,,615.3,263.3,136.0,639.7,326.0,,73.2,118.0,True,True,False,False,False,True,True,True,True,True,True,False,True,True,,False,False,False,True,True,True,True,False,True,True,False,True,False,,False,True,,True,False,False,True,,False,True,True,False,False,,True,True
Mississippi,6266,6532.4,6762.3,6240.7,6495.7,6428.0,6485.8,6410.0,5968.0,6254.0,6345.0,6098.6,6320.0,6872.0,6268.8,6389.5,,6486.2,6427.0,6357.0,6061.3,6544.1,6675.0,6450.5,6495.0,6504.1,6492.9,6526.4,6412.0,6328.0,,6408.9,6498.6,,6408.0,6228.5,6312.0,6473.6,,6684.2,6531.0,6406.0,6321.7,6509.0,,5888.5,6640.0,266.4,496.3,-25.3,229.7,162.0,219.8,144.0,-298.0,-12.0,79.0,-167.4,54.0,606.0,2.8,123.5,,220.2,161.0,91.0,-204.7,278.1,409.0,184.5,229.0,238.1,226.9,260.4,146.0,62.0,,142.9,232.6,,142.0,-37.5,46.0,207.6,,418.2,265.0,140.0,55.7,243.0,,-377.5,374.0,False,True,True,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,True,,True,True,True,True,,False,True,True,True,True,,False,False
Missouri,7472,7425.1,7525.9,7326.2,7475.5,7592.0,7480.1,7367.0,7065.0,7248.3,7584.0,7322.5,7164.0,7814.0,7307.6,7539.5,,7937.3,7808.0,7488.0,7058.5,7237.0,7217.0,7298.9,7546.0,7012.2,7530.7,7498.3,7305.2,7367.0,,8103.5,6834.8,,7366.0,6990.8,6875.0,6813.0,,8192.9,7592.6,7181.0,7797.9,7500.0,,6645.7,6025.0,11.1,111.9,-87.8,61.5,178.0,66.1,-47.0,-349.0,-165.7,170.0,-91.5,-250.0,400.0,-106.4,125.5,,523.3,394.0,74.0,-355.5,-177.0,-197.0,-115.1,132.0,-401.8,116.7,84.3,-108.8,-47.0,,689.5,-579.2,,-48.0,-423.2,-539.0,-601.0,,778.9,178.6,-233.0,383.9,86.0,,-768.3,-1389.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
Montana,1312,1194.9,1197.1,1211.4,1201.3,1234.0,1190.0,1226.0,1186.0,1231.4,1269.0,1181.7,1155.0,1243.5,1234.8,1243.9,,1344.2,1278.0,1266.0,1262.7,1189.5,1199.0,1218.4,1325.0,1231.7,1197.3,1259.2,1226.3,1204.0,,,1206.5,,1226.0,1050.9,1230.0,1211.0,,1385.6,1233.4,1211.0,1267.6,1181.0,,1186.6,1228.0,-117.1,-114.9,-100.6,-110.7,-78.0,-122.0,-86.0,-126.0,-80.6,-43.0,-130.3,-157.0,-68.5,-77.2,-68.1,,32.2,-34.0,-46.0,-49.3,-122.5,-113.0,-93.6,13.0,-80.3,-114.7,-52.8,-85.7,-108.0,,,-105.5,,-86.0,-261.1,-82.0,-101.0,,73.6,-78.6,-101.0,-44.4,-131.0,,-125.4,-84.0,True,True,True,True,False,True,False,True,True,False,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,,,True,,True,False,True,True,,True,True,True,True,False,,False,True
Nebraska,1968,2057.0,2001.5,1985.2,2151.8,2183.0,2137.0,2082.0,2077.0,2082.6,2057.0,2005.0,1977.0,2188.6,2038.2,2079.3,,2098.3,2116.0,2108.0,2125.9,2004.2,2052.0,2115.6,2242.0,,2098.2,2170.9,2039.5,2007.5,,,1951.4,,2087.0,1749.6,2028.0,2000.1,,2183.0,2133.1,2015.0,2264.7,2084.0,,1993.4,2226.0,89.0,33.5,17.2,183.8,215.0,169.0,114.0,109.0,114.6,89.0,37.0,9.0,220.6,70.2,111.3,,130.3,148.0,140.0,157.9,36.2,84.0,147.6,274.0,,130.2,202.9,71.5,39.5,,,-16.6,,119.0,-218.4,60.0,32.1,,215.0,165.1,47.0,296.7,116.0,,25.4,258.0,True,True,False,False,False,False,False,False,False,True,True,False,True,False,,False,False,False,False,True,True,False,False,,False,False,True,True,,,True,,False,False,True,True,,False,False,True,False,False,,True,False
Nevada,4496,4670.4,4590.3,4446.3,4670.1,4726.0,4694.1,4656.0,4439.0,4366.1,4471.0,4196.3,4561.0,4996.4,4535.5,4600.3,,4764.4,4659.0,4576.0,4257.1,4393.7,4780.0,4624.2,4724.0,4789.3,4650.5,4685.3,4735.1,4735.0,,4841.0,4655.7,,4493.0,4296.8,4286.0,4591.1,,5099.1,4683.2,4410.0,4864.2,4825.0,,4113.1,4825.0,174.4,94.3,-49.7,174.1,230.0,198.1,160.0,-57.0,-129.9,-25.0,-299.7,65.0,500.4,39.5,104.3,,268.4,163.0,80.0,-238.9,-102.3,284.0,128.2,228.0,293.3,154.5,189.3,239.1,239.0,,345.0,159.7,,-3.0,-199.2,-210.0,95.1,,603.1,187.2,-86.0,368.2,329.0,,-382.9,329.0,True,True,True,False,False,True,True,True,True,False,True,False,True,True,,False,True,True,False,True,False,True,False,False,True,False,False,False,,False,True,,True,False,False,True,,False,False,True,False,False,,False,False
New Hampshire,1098,1115.9,1105.9,1136.6,1138.5,1149.0,1122.0,1140.0,1085.0,1152.7,1145.0,1139.2,1211.0,1121.0,1145.1,1135.1,,1251.4,1189.0,1202.0,1232.6,1127.8,1101.0,1118.0,1210.0,,1083.4,1205.0,1137.4,1319.0,,,1117.3,,1151.0,1163.8,1158.0,1031.3,,1353.4,1120.4,1123.0,1169.1,1139.0,,990.3,1202.0,17.9,7.9,38.6,40.5,51.0,24.0,42.0,-13.0,54.7,47.0,41.2,113.0,23.0,47.1,37.1,,153.4,91.0,104.0,134.6,29.8,3.0,20.0,112.0,,-14.6,107.0,39.4,221.0,,,19.3,,53.0,65.8,60.0,-66.7,,255.4,22.4,25.0,71.1,41.0,,-107.7,104.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,,True,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,,False,False
New Jersey,21964,22110.4,22763.6,21871.9,22147.4,22426.0,22094.1,22306.0,22565.0,22190.8,22535.0,21830.3,22689.0,21817.7,22278.4,22421.9,,22736.3,22190.0,22399.0,21941.4,22142.7,23636.5,22299.1,22469.0,22225.3,22205.5,22329.5,22381.2,21595.0,,22421.3,21739.8,,22105.0,20627.3,22381.0,21927.2,,23711.2,22237.3,22306.0,21390.2,22456.0,,20861.1,22699.0,146.4,799.6,-92.1,183.4,462.0,130.1,342.0,601.0,226.8,571.0,-133.7,725.0,-146.3,314.4,457.9,,772.3,226.0,435.0,-22.6,178.7,1672.5,335.1,505.0,261.3,241.5,365.5,417.2,-369.0,,457.3,-224.2,,141.0,-1336.7,417.0,-36.8,,1747.2,273.3,342.0,-573.8,492.0,,-1102.9,735.0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,True,,False,False,False,False,False,,False,False
New Mexico,3386,3454.9,3366.5,3308.2,3483.4,3453.0,3443.9,3433.0,3317.0,3325.6,3435.0,3286.8,3426.0,3436.9,3421.3,3398.9,,3576.8,3475.0,3450.0,3253.3,3324.8,3442.0,3436.1,3486.0,,3422.2,3495.4,3438.2,3360.0,,,3346.0,,3444.0,3333.2,3457.0,3305.3,,3345.8,3456.4,3397.0,3517.0,3481.0,,3239.7,3460.0,68.9,-19.5,-77.8,97.4,67.0,57.9,47.0,-69.0,-60.4,49.0,-99.2,40.0,50.9,35.3,12.9,,190.8,89.0,64.0,-132.7,-61.2,56.0,50.1,100.0,,36.2,109.4,52.2,-26.0,,,-40.0,,58.0,-52.8,71.0,-80.7,,-40.2,70.4,11.0,131.0,95.0,,-146.3,74.0,True,False,False,True,True,True,False,True,True,False,True,True,True,True,,False,False,True,False,True,True,True,False,,True,False,True,True,,,True,,True,True,False,False,,True,False,True,False,False,,False,False
New York,44664,44881.6,45224.9,44120.8,44848.1,45741.0,44813.8,45086.0,45729.0,44354.3,46101.0,44796.3,47429.0,43820.0,44623.4,45305.1,,44452.0,44593.0,45113.0,45311.2,45507.7,45436.0,45288.4,45388.0,44207.3,45297.3,45485.6,45348.5,43444.5,,44294.3,45209.9,,45105.0,43284.3,44253.0,44980.6,,45067.9,45343.4,44838.0,45180.3,45647.0,,41426.9,45194.0,217.6,560.9,-543.2,184.1,1077.0,149.8,422.0,1065.0,-309.7,1437.0,132.3,2765.0,-844.0,-40.6,641.1,,-212.0,-71.0,449.0,647.2,843.7,772.0,624.4,724.0,-456.7,633.3,821.6,684.5,-1219.5,,-369.7,545.9,,441.0,-1379.7,-411.0,316.6,,403.9,679.4,174.0,516.3,983.0,,-3237.1,530.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,True,False,False,,False,False
North Carolina,9926,9557.3,9220.4,9644.2,9785.6,10322.0,9789.2,9857.0,9661.0,9382.6,10091.0,9231.6,9354.0,9974.6,9750.1,9861.1,,10002.3,9916.0,10521.0,10232.6,9974.5,9756.0,9886.7,10132.0,9668.5,10092.0,10139.5,9988.3,9500.0,,9665.4,9909.3,,9921.0,10240.1,10185.0,9217.4,,11352.4,10121.9,9853.0,9721.0,10820.0,,8724.8,9738.0,-368.7,-705.6,-281.8,-140.4,396.0,-136.8,-69.0,-265.0,-543.4,165.0,-694.4,-572.0,48.6,-175.9,-64.9,,76.3,-10.0,595.0,306.6,48.5,-170.0,-39.3,206.0,-257.5,166.0,213.5,62.3,-426.0,,-260.6,-16.7,,-5.0,314.1,259.0,-708.6,,1426.4,195.9,-73.0,-205.0,894.0,,-1201.2,-188.0,False,True,True,False,True,True,True,False,True,False,False,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,True,False,,True,True,,True,True,True,False,,False,True,True,True,False,,False,True
North Dakota,1453,1537.4,1495.1,1437.7,1528.3,1509.0,1532.0,1493.0,1392.0,1470.4,1470.0,1453.8,1498.0,1529.4,1472.3,1479.6,,1337.6,1503.0,1511.0,1469.1,1463.7,1490.0,1503.4,1554.0,1445.0,1470.6,1506.2,1502.1,1451.0,,,1520.0,,1467.0,1230.5,1493.0,1410.8,,1417.5,1507.1,1480.0,1590.4,1481.0,,1481.0,1503.0,84.4,42.1,-15.3,75.3,56.0,79.0,40.0,-61.0,17.4,17.0,0.8,45.0,76.4,19.3,26.6,,-115.4,50.0,58.0,16.1,10.7,37.0,50.4,101.0,-8.0,17.6,53.2,49.1,-2.0,,,67.0,,14.0,-222.5,40.0,-42.2,,-35.5,54.1,27.0,137.4,28.0,,28.0,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,True,,,True,,True,False,True,True,,True,True,True,False,True,,True,True
Ohio,17422,11837.1,11924.1,11425.3,11706.7,12218.0,11743.4,11743.0,11238.0,11365.3,11396.0,11100.4,11628.0,12585.5,11351.9,11648.6,,12076.7,11713.0,11785.0,12397.1,11457.0,11886.0,11864.8,12173.0,11019.0,11828.3,12135.7,11652.1,11417.0,,12354.1,11548.3,,11788.0,13018.6,11195.0,11966.8,,13102.5,11846.1,11686.0,11846.5,11857.0,,11044.6,11811.0,-52.9,34.1,-464.7,-183.3,328.0,-146.6,-147.0,-652.0,-524.7,-494.0,-789.6,-262.0,695.5,-538.1,-241.4,,186.7,-177.0,-105.0,507.1,-433.0,-4.0,-25.2,283.0,-871.0,-61.7,245.7,-237.9,-473.0,,464.1,-341.7,,-102.0,1128.6,-695.0,76.8,,1212.5,-43.9,-204.0,-43.5,-33.0,,-845.4,-79.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,True,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,True,False,True,True,,False,False
Oklahoma,3761,3632.7,3765.8,3499.4,3597.5,3831.0,3594.0,3638.0,3404.0,3613.6,3770.0,3422.1,3641.0,3682.9,3528.6,3583.2,,3608.1,3718.0,3919.0,3852.8,3554.8,3523.0,3674.7,3826.0,3665.2,3630.3,3751.0,3635.4,3598.0,,,3606.3,,3701.0,3189.8,3650.0,3653.7,,4466.0,3664.4,3641.0,3577.2,3719.0,,3271.2,3656.0,-128.3,4.8,-261.6,-163.5,70.0,-167.0,-123.0,-357.0,-147.4,9.0,-338.9,-120.0,-78.1,-232.4,-177.8,,-152.9,-43.0,158.0,91.8,-206.2,-238.0,-86.3,65.0,-95.8,-130.7,-10.0,-125.6,-163.0,,,-154.7,,-60.0,-571.2,-111.0,-107.3,,705.0,-96.6,-120.0,-183.8,-42.0,,-489.8,-105.0,True,False,False,True,False,True,False,False,True,False,True,True,False,False,,False,True,False,True,False,False,True,True,True,False,True,True,False,,,False,,True,False,True,True,,False,True,True,False,True,,False,True
Oregon,2020,2360.0,3097.2,2063.1,2342.2,2336.0,2387.0,2244.0,1972.0,2130.8,2078.0,1928.6,2071.0,2191.4,2191.0,2175.3,,1988.4,2298.0,2185.0,2320.1,2141.2,2263.0,2232.6,2264.0,,2130.5,2216.4,2399.3,2416.0,,,2354.0,,2155.0,2136.1,2314.0,2422.6,,2354.4,2163.5,2174.0,2266.6,2380.0,,2001.8,2397.0,340.0,1077.2,43.1,322.2,316.0,367.0,224.0,-48.0,110.8,58.0,-91.4,51.0,171.4,171.0,155.3,,-31.6,278.0,165.0,300.1,121.2,243.0,212.6,244.0,,110.5,196.4,379.3,396.0,,,334.0,,135.0,116.1,294.0,402.6,,334.4,143.5,154.0,246.6,360.0,,-18.2,377.0,False,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,False,False,,,True,,True,True,True,False,,True,True,True,True,False,,True,False
Pennsylvania,22353,23649.3,24231.3,22562.4,23860.6,23506.0,23693.5,23109.0,21929.0,22274.5,22467.0,21655.8,22714.0,24142.6,23024.7,22647.9,,22945.7,23941.0,23275.0,21843.9,22524.8,23827.0,23535.4,23200.0,24667.1,23676.2,23720.8,23098.8,21601.5,,25354.2,23163.6,,23215.0,22488.1,22565.0,23110.5,,23937.0,23727.9,22433.0,23867.0,23848.0,,20715.9,23144.0,1296.3,1878.3,209.4,1507.6,1153.0,1340.5,756.0,-424.0,-78.5,114.0,-697.2,361.0,1789.6,671.7,294.9,,592.7,1588.0,922.0,-509.1,171.8,1474.0,1182.4,847.0,2314.1,1323.2,1367.8,745.8,-751.5,,3001.2,810.6,,862.0,135.1,212.0,757.5,,1584.0,1374.9,80.0,1514.0,1495.0,,-1637.1,791.0,False,True,False,True,False,True,True,True,True,True,True,False,True,True,,True,False,True,True,True,False,True,True,False,False,False,True,True,,False,True,,True,True,True,True,,False,False,True,False,False,,False,True
Rhode Island,2400,2259.3,2424.6,2278.0,2278.3,2305.0,2272.0,2300.0,2358.0,2140.7,2340.0,2302.0,2278.0,2921.4,2322.0,2400.8,,2483.7,2380.0,2306.0,2171.4,2263.3,2409.0,2250.3,2319.0,2044.5,2356.8,2376.6,2254.7,2183.0,,,2159.7,,2235.0,2157.2,2072.0,2153.3,,2590.3,2384.4,2277.0,2238.7,2360.0,,2013.6,2300.0,23.3,188.6,42.0,42.3,69.0,36.0,64.0,122.0,-95.3,104.0,66.0,42.0,685.4,86.0,164.8,,247.7,144.0,70.0,-64.6,27.3,173.0,14.3,83.0,-191.5,120.8,140.6,18.7,-53.0,,,-76.3,,-1.0,-78.8,-164.0,-82.7,,354.3,148.4,41.0,2.7,124.0,,-222.4,64.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,True,False,,,False,,True,False,False,False,,False,False,False,True,False,,False,False
South Carolina,7611,7454.1,7586.3,7144.8,7106.6,7413.0,7157.8,7375.0,7301.0,7041.7,7555.0,7146.4,8037.0,7460.6,7278.8,7365.2,,7701.0,7136.0,7321.0,7325.7,7594.9,7384.0,7703.1,7392.0,7279.9,7282.5,7631.7,7508.5,6950.0,,8408.1,7759.7,,7434.0,8495.2,7805.0,7394.7,,8081.0,7320.2,7846.0,6803.2,7654.0,,6627.8,7573.0,-156.9,-24.7,-466.2,-504.4,-198.0,-453.2,-236.0,-310.0,-569.3,-56.0,-464.6,426.0,-150.4,-332.2,-245.8,,90.0,-475.0,-290.0,-285.3,-16.1,-227.0,92.1,-219.0,-331.1,-328.5,20.7,-102.5,-661.0,,797.1,148.7,,-177.0,884.2,194.0,-216.3,,470.0,-290.8,235.0,-807.8,43.0,,-983.2,-38.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,,True,False,False,False,True,False,True,False,False,False,True,True,False,,False,True,,False,False,False,False,,False,False,False,False,True,,False,True
South Dakota,1804,1858.9,1866.2,1711.4,1838.2,1843.0,1822.0,1800.0,1696.0,1771.3,1779.0,1699.5,1859.0,1907.5,1737.7,1818.4,,1800.2,1818.0,1815.0,1758.8,1763.9,1767.0,1801.4,1858.0,,1814.2,1821.3,1794.1,1763.0,,,1859.4,,1749.0,1363.1,1847.0,1784.4,,1759.3,1849.7,1818.0,1909.5,1829.0,,1790.1,1768.0,54.9,62.2,-92.6,34.2,39.0,18.0,-4.0,-108.0,-32.7,-25.0,-104.5,55.0,103.5,-66.3,14.4,,-3.8,14.0,11.0,-45.2,-40.1,-37.0,-2.6,54.0,,10.2,17.3,-9.9,-41.0,,,55.4,,-55.0,-440.9,43.0,-19.6,,-44.7,45.7,14.0,105.5,25.0,,-13.9,-36.0,False,False,True,True,True,True,False,True,True,False,False,False,False,True,,True,True,True,True,True,True,True,True,,True,True,True,True,,,False,,False,False,True,True,,True,True,True,False,True,,True,True
Tennessee,10463,10122.4,10304.2,10195.0,10358.0,10578.0,10308.4,10095.0,9444.0,9790.6,9838.0,9394.6,9758.0,10368.0,9908.0,10123.9,,10591.6,10557.0,10849.0,9754.8,9981.4,9866.0,10047.1,10207.0,10627.3,10220.0,10537.6,9809.6,10151.5,,10928.8,9926.7,,10152.0,9775.1,9809.0,9880.4,,11664.2,10249.9,9784.0,10390.8,9876.0,,9039.5,10095.0,-340.6,-158.8,-268.0,-105.0,115.0,-154.6,-368.0,-1019.0,-672.4,-625.0,-1068.4,-705.0,-95.0,-555.0,-339.1,,128.6,94.0,386.0,-708.2,-481.6,-597.0,-415.9,-256.0,164.3,-243.0,74.6,-653.4,-311.5,,465.8,-536.3,,-311.0,-687.9,-654.0,-582.6,,1201.2,-213.1,-679.0,-72.2,-587.0,,-1423.5,-368.0,True,True,True,True,True,False,False,False,False,False,False,True,False,True,,True,True,False,False,False,False,False,True,True,True,True,False,True,,False,False,,True,False,False,False,,False,True,False,True,False,,False,False
Texas,39182,38660.0,40140.3,37182.9,38579.5,39505.0,38771.3,39030.0,38482.0,37019.6,40832.0,35870.8,38033.0,39772.6,39223.7,39189.9,,36933.5,39682.0,39573.0,38038.5,38824.3,40239.0,39883.1,39219.0,38353.0,39049.3,39892.2,39740.9,37434.0,,40698.8,38610.2,,38421.0,36210.0,39617.0,37690.6,,39023.1,39143.9,39496.0,38359.7,40141.0,,35014.7,39452.0,-522.0,958.3,-1999.1,-602.5,323.0,-410.7,-152.0,-700.0,-2162.4,1650.0,-3311.2,-1149.0,590.6,41.7,7.9,,-2248.5,500.0,391.0,-1143.5,-357.7,1057.0,701.1,37.0,-829.0,-132.7,710.2,558.9,-1748.0,,1516.8,-571.8,,-761.0,-2972.0,435.0,-1491.4,,-158.9,-38.1,314.0,-822.3,959.0,,-4167.3,270.0,False,False,False,True,True,True,False,False,False,False,False,False,True,True,,False,True,True,False,True,False,False,True,False,True,False,False,False,,False,False,,False,False,True,False,,True,True,True,False,False,,False,True
