,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,15090,14690.3,15045.4,13684.3,14833.4,15076.0,14793.2,14724.0,13197.0,13947.7,14428.0,12892.2,13790.0,14136.1,14360.0,14639.3,,13316.3,15151.0,15281.0,13882.8,14308.7,15184.0,14871.6,14538.0,13447.3,14792.5,14688.6,15138.5,13353.5,,15215.0,15089.6,,14329.0,15758.3,13819.0,14779.7,,15600.0,14845.8,14497.0,13614.0,15250.0,,12548.0,13791.0,-399.7,-44.6,-1405.7,-256.6,-14.0,-296.8,-366.0,-1893.0,-1142.3,-662.0,-2197.8,-1300.0,-953.9,-730.0,-450.7,,-1773.7,61.0,191.0,-1207.2,-781.3,94.0,-218.4,-552.0,-1642.7,-297.5,-401.4,48.5,-1736.5,,125.0,-0.4,,-761.0,668.3,-1271.0,-310.3,,510.0,-244.2,-593.0,-1476.0,160.0,,-2542.0,-1299.0,True,False,True,True,True,True,False,False,False,False,False,False,False,False,,False,True,True,False,False,True,True,False,False,True,False,True,False,,True,True,,False,False,False,True,,False,True,False,False,True,,False,False
Hawaii,415,358.1,361.7,347.0,351.8,366.0,355.0,369.0,342.0,362.0,369.0,332.8,383.0,369.7,,396.9,,360.3,,369.0,461.6,357.0,348.0,352.8,409.0,323.3,365.3,374.4,363.3,345.0,,,361.3,,370.0,375.9,373.0,346.6,,397.4,392.5,360.0,357.7,375.0,,337.5,371.0,-56.9,-53.3,-68.0,-63.2,-49.0,-60.0,-46.0,-73.0,-53.0,-46.0,-82.2,-32.0,-45.3,,-18.1,,-54.7,,-46.0,46.6,-58.0,-67.0,-62.2,-6.0,-91.7,-49.7,-40.6,-51.7,-70.0,,,-53.7,,-45.0,-39.1,-42.0,-68.4,,-17.6,-22.5,-55.0,-57.3,-40.0,,-77.5,-44.0,True,False,False,True,False,True,False,True,True,False,True,True,,True,,True,,True,True,False,False,False,True,False,True,True,True,False,,,True,,True,True,True,False,,True,True,True,False,True,,False,True
Idaho,1767,1815.6,1799.1,1764.1,1833.8,1893.0,1836.0,1821.0,1719.0,1830.9,1772.0,1757.5,1806.0,1947.5,1819.4,1907.5,,1908.0,1871.0,1865.0,1888.3,1797.3,1800.0,1815.2,1893.0,,1841.3,1853.6,1826.0,1787.0,,,1754.9,,1826.0,1651.8,1775.0,1801.3,,1952.6,1876.6,1767.0,1882.0,1804.0,,1754.9,1808.0,48.6,32.1,-2.9,66.8,126.0,69.0,54.0,-48.0,63.9,5.0,-9.5,39.0,180.5,52.4,140.5,,141.0,104.0,98.0,121.3,30.3,33.0,48.2,126.0,,74.3,86.6,59.0,20.0,,,-12.1,,59.0,-115.2,8.0,34.3,,185.6,109.6,0.0,115.0,37.0,,-12.1,41.0,True,True,False,False,False,False,True,False,True,True,True,False,False,False,,False,False,False,False,True,True,True,False,,False,False,False,True,,,True,,False,False,True,True,,False,False,True,False,True,,True,True
Illinois,21676,22212.9,23281.4,21821.9,22376.5,22569.0,22449.9,22359.0,22060.0,21835.2,22867.0,21705.7,22359.0,22711.0,22144.9,22683.1,,23302.6,22365.0,22445.0,21897.6,21914.1,22198.0,22358.9,22592.0,21499.5,22257.5,22725.0,22450.8,22020.0,,23285.5,21917.4,,22721.0,21080.7,22247.0,21415.0,,23886.9,22263.7,22010.0,23251.5,22477.0,,21527.3,22028.0,536.9,1605.4,145.9,700.5,893.0,773.9,683.0,384.0,159.2,1191.0,29.7,683.0,1035.0,468.9,1007.1,,1626.6,689.0,769.0,221.6,238.1,522.0,682.9,916.0,-176.5,581.5,1049.0,774.8,344.0,,1609.5,241.4,,1045.0,-595.3,571.0,-261.0,,2210.9,587.7,334.0,1575.5,801.0,,-148.7,352.0,False,True,False,False,False,False,True,True,False,True,False,False,True,False,,False,False,False,True,True,True,False,False,True,False,False,False,True,,False,True,,False,False,False,True,,False,False,True,False,False,,True,True
Indiana,11752,10238.6,10887.1,10417.5,10262.7,10677.0,10249.7,10465.0,10264.0,10362.1,10621.0,10577.2,10877.0,10598.2,10427.2,10768.9,,11496.3,10401.0,10602.0,10190.8,10478.6,10360.5,10295.7,10784.0,10068.7,10671.9,10812.3,10072.2,10463.0,,11185.4,9860.7,,10478.0,10360.0,9909.0,9939.0,,11880.7,10672.5,10315.0,10470.7,10482.0,,9725.9,10467.0,-221.4,427.1,-42.5,-197.3,217.0,-210.3,5.0,-196.0,-97.9,161.0,117.2,417.0,138.2,-32.8,308.9,,1036.3,-59.0,142.0,-269.2,18.6,-99.5,-164.3,324.0,-391.3,211.9,352.3,-387.8,3.0,,725.4,-599.3,,18.0,-100.0,-551.0,-521.0,,1420.7,212.5,-145.0,10.7,22.0,,-734.1,7.0,False,True,True,True,True,True,True,True,True,True,False,True,True,False,,False,True,True,False,True,True,True,False,False,True,False,False,True,,False,False,,True,True,False,False,,False,True,True,True,True,,False,True
Iowa,5108,4851.6,4804.1,4657.4,4862.9,4830.0,4903.0,4873.0,4573.0,4803.9,5135.0,4898.4,6506.0,4907.3,4772.1,4815.4,,4907.1,5027.0,4892.0,4852.4,4799.5,4587.0,4801.2,4882.0,4884.9,4842.6,4876.6,4896.2,4657.5,,5085.7,4475.4,,4875.0,4281.8,4789.0,4975.4,,5018.6,4870.8,4690.0,4994.4,4931.0,,4725.2,4899.0,-256.4,-303.9,-450.6,-245.1,-278.0,-205.0,-235.0,-535.0,-304.1,27.0,-209.6,1398.0,-200.7,-335.9,-292.6,,-200.9,-81.0,-216.0,-255.6,-308.5,-521.0,-306.8,-226.0,-223.1,-265.4,-231.4,-211.8,-450.5,,-22.3,-632.6,,-233.0,-826.2,-319.0,-132.6,,-89.4,-237.2,-418.0,-113.6,-177.0,,-382.8,-209.0,False,False,True,False,True,True,False,False,True,True,False,True,False,False,,True,True,True,True,False,False,False,True,True,False,True,True,False,,True,False,,True,False,False,True,,True,True,False,True,True,,False,True
Kansas,4075,4483.3,4717.2,4311.1,4600.4,4551.0,4533.0,4381.0,4246.0,4032.4,4637.0,4117.8,4745.0,4785.0,4436.2,4612.7,,4788.9,4305.0,4382.0,4117.3,4161.5,3940.0,4191.7,4444.0,4596.7,4534.0,4476.4,4631.2,4457.0,,4966.4,4176.2,,4374.0,4188.2,3900.0,4181.4,,4745.7,4580.5,4318.0,4390.5,4563.0,,3984.1,4284.0,408.3,642.2,236.1,525.4,476.0,458.0,306.0,171.0,-42.6,562.0,42.8,670.0,710.0,361.2,537.7,,713.9,230.0,307.0,42.3,86.5,-135.0,116.7,369.0,521.7,459.0,401.4,556.2,382.0,,891.4,101.2,,299.0,113.2,-175.0,106.4,,670.7,505.5,243.0,315.5,488.0,,-90.9,209.0,False,True,False,False,False,True,True,True,False,True,False,False,True,False,,False,True,True,True,True,True,True,True,False,False,True,False,True,,False,True,,True,True,True,True,,False,False,True,True,False,,True,True
Kentucky,4020,3772.7,3685.0,3599.4,3731.9,3911.0,3744.0,3776.0,3438.0,3828.2,3942.0,3561.1,3668.0,3699.4,3603.7,3833.0,,3659.0,3799.0,3835.0,4092.8,3643.5,3661.0,3782.2,4017.0,3774.8,3730.9,3846.5,3862.0,3669.0,,,3812.0,,3834.0,3821.3,3627.0,3860.0,,4664.4,3766.7,3820.0,3733.8,3999.0,,3408.9,3807.0,-247.3,-335.0,-420.6,-288.1,-109.0,-276.0,-244.0,-582.0,-191.8,-78.0,-458.9,-352.0,-320.6,-416.3,-187.0,,-361.0,-221.0,-185.0,72.8,-376.5,-359.0,-237.8,-3.0,-245.2,-289.1,-173.5,-158.0,-351.0,,,-208.0,,-186.0,-198.7,-393.0,-160.0,,644.4,-253.3,-200.0,-286.2,-21.0,,-611.1,-213.0,False,False,False,True,False,True,False,True,True,False,False,False,False,True,,False,True,True,True,False,False,True,True,True,False,True,True,False,,,True,,True,True,False,True,,False,False,True,False,True,,False,True
Louisiana,9076,9145.9,8936.7,8886.4,8820.8,9066.0,8821.0,9078.0,9089.0,8939.0,9415.0,8993.3,9149.0,9501.9,9153.6,9386.6,,9157.1,9413.0,9076.0,8871.2,9140.1,9078.5,9134.1,9207.0,9008.2,8953.1,9220.0,8999.4,8832.5,,9082.3,8956.9,,9180.0,9527.1,9611.0,9049.9,,9817.2,8961.5,9244.0,8871.1,9044.0,,8549.3,9220.0,69.9,-139.3,-189.6,-255.2,-10.0,-255.0,2.0,13.0,-137.0,339.0,-82.7,73.0,425.9,77.6,310.6,,81.1,337.0,0.0,-204.8,64.1,2.5,58.1,131.0,-67.8,-122.9,144.0,-76.6,-243.5,,6.3,-119.1,,104.0,451.1,535.0,-26.1,,741.2,-114.5,168.0,-204.9,-32.0,,-526.7,144.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,,False,False,True,False,True,True,True,False,True,False,False,False,False,,True,False,,False,False,False,True,,False,False,False,False,True,,False,False
Maine,634,736.7,725.1,673.1,723.0,678.0,732.0,756.0,665.0,677.7,728.0,585.6,724.0,651.6,708.8,867.2,,612.1,709.0,738.0,875.9,773.7,800.0,712.0,773.0,,810.4,755.6,747.3,775.0,,,787.1,,780.0,656.8,769.0,683.6,,755.7,849.2,685.0,780.0,676.0,,581.1,858.0,102.7,91.1,39.1,89.0,44.0,98.0,122.0,31.0,43.7,94.0,-48.4,90.0,17.6,74.8,233.2,,-21.9,75.0,104.0,241.9,139.7,166.0,78.0,139.0,,176.4,121.6,113.3,141.0,,,153.1,,146.0,22.8,135.0,49.6,,121.7,215.2,51.0,146.0,42.0,,-52.9,224.0,True,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,True,False,False,False,False,True,False,,False,False,False,False,,,False,,False,True,False,True,,False,False,True,False,True,,True,False
