,mean_rank
UMass-MechBayes,13.5
COVIDhub-ensemble,13.9
Karlen-pypm,14.5
Microsoft-DeepSTIA,15.7
SteveMcConnell-CovidComplete,15.7
GT-DeepCOVID,16.1
UA-EpiCovDA,16.8
MOBS-GLEAM_COVID,16.8
MIT_CritData-GBCF,17.0
LNQ-ens1,17.2
Caltech-CS156,17.6
UT-Mobility,17.7
JHU_CSSE-DECOM,17.9
USC-SI_kJalpha,18.0
RobertWalraven-ESG,18.5
UCLA-SuEIR,18.5
CEID-Walk,18.8
CMU-TimeSeries,18.8
Google_Harvard-CPF,18.8
epiforecasts-ensemble1,19.1
COVIDhub-baseline,19.4
IowaStateLW-STEM,19.9
UCSD_NEU-DeepGLEAM,20.0
LANL-GrowthRate,20.1
OliverWyman-Navigator,21.1
Covid19Sim-Simulator,21.6
JHU_IDD-CovidSP,21.7
CovidAnalytics-DELPHI,21.9
AIpert-pwllnod,22.2
JHUAPL-Bucky,22.2
PSI-DRAFT,22.4
BPagano-RtDriven,22.8
DDS-NBDS,24.0
MITCovAlliance-SIR,24.2
TTU-squider,24.9
UMich-RidgeTfReg,25.5
UCSB-ACTS,26.7
CU-select,27.3
WalmartLabsML-LogForecasting,31.4
