,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,8513,7662.9,7859.9,7833.2,7770.2,7577.0,7733.0,7664.0,7318.0,7616.0,7032.6,7145.0,8394.1,,7346.8,7709.4,,7044.0,8009.0,7127.2,7801.0,7266.3,7432.2,7804.0,7740.7,7976.0,8010.9,7761.2,7740.1,7764.4,7663.5,,8269.9,7817.1,,7537.0,6738.8,7459.0,7349.8,,7334.1,7789.6,7347.7,7459.0,8578.2,7693.0,7819.0,,7114.2,7695.0,-850.1,-653.1,-679.8,-742.8,-936.0,-780.0,-849.0,-1195.0,-897.0,-1480.4,-1368.0,-118.9,,-1166.2,-803.6,,-1469.0,-504.0,-1385.8,-712.0,-1246.7,-1080.8,-709.0,-772.3,-537.0,-502.1,-751.8,-772.9,-748.6,-849.5,,-243.1,-695.9,,-976.0,-1774.2,-1054.0,-1163.2,,-1178.9,-723.4,-1165.3,-1054.0,65.2,-820.0,-694.0,,-1398.8,-818.0,True,True,True,False,True,True,False,False,False,False,True,,False,True,,False,True,False,True,False,False,True,True,True,True,True,True,True,True,,True,True,,False,False,False,False,,False,True,False,False,True,True,True,,False,True
Alaska,279,314.7,271.8,276.8,328.2,308.0,319.0,280.0,259.0,274.0,249.6,288.0,296.2,,280.1,286.8,,238.3,,277.0,297.0,295.7,274.5,271.0,284.9,313.0,288.5,289.8,281.5,308.2,281.0,,,276.7,,283.0,311.2,273.0,306.5,,260.3,293.5,304.1,272.0,285.0,276.0,280.0,,277.8,292.0,35.7,-7.2,-2.2,49.2,29.0,40.0,1.0,-20.0,-5.0,-29.4,9.0,17.2,,1.1,7.8,,-40.7,,-2.0,18.0,16.7,-4.5,-8.0,5.9,34.0,9.5,10.8,2.5,29.2,2.0,,,-2.3,,4.0,32.2,-6.0,27.5,,-18.7,14.5,25.1,-7.0,6.0,-3.0,1.0,,-1.2,13.0,True,True,False,True,False,True,True,True,True,True,True,,True,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True
Arizona,14011,14043.1,14914.1,14028.8,13971.2,14036.0,14014.1,14084.0,14283.0,14411.0,14113.8,14248.0,17379.0,,13856.8,14010.7,,14368.4,14519.0,13821.8,14133.0,13671.1,13841.0,13873.0,14362.5,14471.0,13640.1,14173.9,14496.1,13886.8,14550.0,,14876.7,14266.8,,14053.0,13757.8,13818.0,13388.0,,13780.2,14195.1,13446.9,13920.0,14504.7,14315.0,14427.5,,12878.3,14146.0,32.1,903.1,17.8,-39.8,25.0,3.1,73.0,272.0,400.0,102.8,237.0,3368.0,,-154.2,-0.3,,357.4,508.0,-189.2,122.0,-339.9,-170.0,-138.0,351.5,460.0,-370.9,162.9,485.1,-124.2,539.0,,865.7,255.8,,42.0,-253.2,-193.0,-623.0,,-230.8,184.1,-564.1,-91.0,493.7,304.0,416.5,,-1132.7,135.0,False,True,False,True,True,False,False,False,False,False,False,,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Arkansas,5061,5153.9,5206.4,5043.2,5107.4,5088.0,5103.0,5062.0,4946.0,5078.0,5061.9,5067.0,5433.1,,5022.4,5003.4,,5023.9,5134.0,5098.9,5116.0,5044.6,5129.9,5035.0,5102.0,5104.0,4997.8,5093.3,5172.0,5021.1,5077.0,,5219.1,5081.4,,5094.0,5325.0,4992.0,5096.6,,4900.5,5102.2,4998.3,5048.0,5144.1,5057.0,5051.5,,4895.5,5155.0,92.9,145.4,-17.8,46.4,27.0,42.0,1.0,-115.0,17.0,0.9,6.0,372.1,,-38.6,-57.6,,-37.1,73.0,37.9,55.0,-16.4,68.9,-26.0,41.0,43.0,-63.2,32.3,111.0,-39.9,16.0,,158.1,20.4,,33.0,264.0,-69.0,35.6,,-160.5,41.2,-62.7,-13.0,83.1,-4.0,-9.5,,-165.5,94.0,False,True,True,True,True,True,False,True,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,False,True,,True,False,True,True,,False,True,True,True,True,True,True,,False,False
California,43991,43632.1,45527.4,43350.7,43818.5,43488.0,43721.6,43488.0,41421.0,43039.0,42336.9,42868.0,52448.7,,42293.1,43275.1,,45441.8,44892.0,42898.1,42846.0,42543.7,42530.0,43872.0,44060.7,44563.0,44511.4,43577.2,44432.2,42779.4,47570.5,,44173.5,43915.4,,43424.0,45491.7,43791.0,42220.1,,46077.9,43650.1,42356.6,42304.0,45423.4,43396.0,44806.5,,39269.3,43928.0,-358.9,1536.4,-640.3,-172.5,-503.0,-269.4,-503.0,-2570.0,-952.0,-1654.1,-1123.0,8457.7,,-1697.9,-715.9,,1450.8,901.0,-1092.9,-1145.0,-1447.3,-1461.0,-119.0,69.7,572.0,520.4,-413.8,441.2,-1211.6,3579.5,,182.5,-75.6,,-567.0,1500.7,-200.0,-1770.9,,2086.9,-340.9,-1634.4,-1687.0,1432.4,-595.0,815.5,,-4721.7,-63.0,False,False,True,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,True,True,,False,False,True,False,,False,True,False,False,False,False,False,,False,True
Colorado,5722,5739.0,5783.0,5715.9,5720.5,5758.0,5719.7,5805.0,5809.0,5793.0,5800.2,5880.0,5953.9,,5736.2,5923.2,,6011.7,5984.0,5859.9,5881.0,5846.8,5792.9,5643.0,5756.2,5825.0,5495.7,5724.8,5830.9,5668.0,5775.0,,5883.0,5736.6,,5773.0,5653.5,5792.0,5762.9,,5810.5,5735.3,5769.4,5764.0,6071.2,5716.0,5722.0,,5820.9,5841.0,17.0,61.0,-6.1,-1.5,36.0,-2.3,83.0,87.0,71.0,78.2,158.0,231.9,,14.2,201.2,,289.7,262.0,137.9,159.0,124.8,70.9,-79.0,34.2,103.0,-226.3,2.8,108.9,-54.0,53.0,,161.0,14.6,,51.0,-68.5,70.0,40.9,,88.5,13.3,47.4,42.0,349.2,-6.0,0.0,,98.9,119.0,False,True,True,False,True,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,,False,False,False,False,,False,True,False,False,False,True,True,,False,False
Connecticut,7214,7236.9,7300.4,7241.8,7265.3,7275.0,7269.0,7321.0,7424.0,7390.0,7310.2,7419.0,7290.1,,7216.2,7397.5,,7373.1,7356.0,7346.3,7337.0,7280.7,7317.2,7288.0,7167.4,7310.0,7221.5,7360.8,7404.1,7208.5,7387.0,,7304.8,7211.1,,7258.0,6911.8,6972.0,7137.3,,7175.0,7360.4,7187.1,7244.0,7355.5,7341.0,7138.0,,6957.3,7368.0,22.9,86.4,27.8,51.3,61.0,55.0,107.0,210.0,176.0,96.2,205.0,76.1,,2.2,183.5,,159.1,142.0,132.3,123.0,66.7,103.2,74.0,-46.6,96.0,7.5,146.8,190.1,-5.5,173.0,,90.8,-2.9,,44.0,-302.2,-242.0,-76.7,,-39.0,146.4,-26.9,30.0,141.5,127.0,-76.0,,-256.7,154.0,False,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,False,True,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Delaware,1329,1087.4,1110.2,1102.4,1075.8,1104.0,1076.0,1110.0,1107.0,1105.0,1124.0,1110.0,1103.0,,1111.7,1116.9,,1090.4,1116.5,1115.5,1118.0,1162.6,1110.9,1085.0,1095.6,1146.0,,1108.2,1127.0,1085.4,1130.0,,,1090.9,,1155.0,1188.2,1098.0,1087.3,,1127.2,1126.6,1109.6,1113.0,1096.4,1101.0,1097.0,,1079.2,1122.0,-15.6,7.2,-0.6,-27.2,1.0,-27.0,7.0,4.0,2.0,21.0,7.0,0.0,,8.7,13.9,,-12.6,13.5,12.5,15.0,59.6,7.9,-18.0,-7.4,43.0,,5.2,24.0,-17.6,27.0,,,-12.1,,52.0,85.2,-5.0,-15.7,,24.2,23.6,6.6,10.0,-6.6,-2.0,-6.0,,-23.8,19.0,True,True,False,True,False,True,True,True,False,True,True,,True,True,,True,True,True,True,False,True,False,True,False,,True,False,False,False,,,True,,False,False,True,False,,False,False,True,True,True,True,True,,False,False
District of Columbia,947,912.9,911.8,923.6,914.2,918.0,916.0,919.0,933.0,935.0,931.6,950.0,920.8,,917.6,936.0,,952.5,917.0,957.6,927.0,920.5,927.1,903.0,910.5,925.0,,,,916.1,945.0,,,912.2,,919.0,901.3,906.0,899.7,,940.7,,905.7,913.0,,919.0,915.0,,893.0,928.0,-34.1,-35.2,-23.4,-32.8,-29.0,-31.0,-28.0,-14.0,-12.0,-15.4,3.0,-26.2,,-29.4,-11.0,,5.5,-30.0,10.6,-20.0,-26.5,-19.9,-44.0,-36.5,-22.0,,,,-30.9,-2.0,,,-34.8,,-28.0,-45.7,-41.0,-47.3,,-6.3,,-41.3,-34.0,,-28.0,-32.0,,-54.0,-19.0,False,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,False,False,True,,,,True,True,,,False,,True,False,False,False,,True,,False,True,,True,True,,False,True
Florida,27599,27439.9,27674.5,27221.5,27409.8,27518.0,27484.5,27439.0,27167.0,27475.0,26363.5,28656.0,29009.5,,27217.7,27609.8,,27739.5,27256.0,26991.2,27972.0,28666.9,27267.2,27323.0,27745.1,27824.0,28246.9,27235.9,27767.9,27315.7,27534.5,,28246.8,27426.1,,27393.0,29918.8,27975.0,27149.1,,27453.7,27276.4,27263.6,27398.0,27428.9,27629.0,28020.5,,26244.0,27625.0,-159.1,75.5,-377.5,-189.2,-81.0,-114.5,-160.0,-432.0,-124.0,-1235.5,1057.0,1410.5,,-381.3,10.8,,140.5,-343.0,-607.8,373.0,1067.9,-331.8,-276.0,146.1,225.0,647.9,-363.1,168.9,-283.3,-64.5,,647.8,-172.9,,-206.0,2319.8,376.0,-449.9,,-145.3,-322.6,-335.4,-201.0,-170.1,30.0,421.5,,-1355.0,26.0,True,False,False,True,True,False,False,True,False,False,False,,False,True,,True,False,False,False,False,False,False,True,False,False,False,False,False,True,,False,False,,False,False,False,False,,True,False,False,False,False,True,False,,False,True
