,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Alabama,8513,6459.9,7415.0,6460.4,7302.0,7109.9,6970.0,,6541.7,7726.0,7077.1,6393.0,6678.1,5605.5,6855.0,,5571.7,-2053.1,-1098.0,-2052.6,-1211.0,-1403.1,-1543.0,,-1971.3,-787.0,-1435.9,-2120.0,-1834.9,-2907.5,-1658.0,,-2941.3,True,True,True,True,True,,True,True,True,False,True,False,True,,False
Alaska,279,293.7,213.6,296.0,222.0,345.1,280.0,,395.8,,267.4,210.1,347.6,263.0,360.0,,334.5,14.7,-65.4,17.0,-57.0,66.1,1.0,,116.8,,-11.6,-68.9,68.6,-16.0,81.0,,55.5,False,False,False,False,True,,False,,True,False,False,False,False,,False
Arizona,14011,11097.9,10331.7,11347.1,11192.0,12917.6,9556.0,,13054.3,12453.0,13797.3,10375.8,12850.9,15232.5,12322.0,,9816.0,-2913.1,-3679.3,-2663.9,-2819.0,-1093.4,-4455.0,,-956.7,-1558.0,-213.7,-3635.2,-1160.1,1221.5,-1689.0,,-4195.0,False,True,True,True,False,,True,True,True,False,True,True,True,,False
Arkansas,5061,4917.0,5219.7,4940.9,6228.0,5459.1,4860.0,,5310.6,5503.0,5849.1,4686.3,4749.1,7101.5,4380.0,,4815.2,-144.0,158.7,-120.1,1167.0,398.1,-201.0,,249.6,442.0,788.1,-374.7,-311.9,2040.5,-681.0,,-245.8,False,True,False,False,False,,False,False,False,False,False,False,False,,False
California,43991,33694.4,27331.6,34033.4,49796.0,47696.4,36120.0,,45735.5,35790.0,47759.8,48496.0,41169.3,51569.5,39712.0,,31223.9,-10289.6,-16652.4,-9950.6,5812.0,3712.4,-7864.0,,1751.5,-8194.0,3775.8,4512.0,-2814.7,7585.5,-4272.0,,-12760.1,False,True,True,True,True,,True,True,True,True,True,True,True,,False
Colorado,5722,6027.4,5292.9,6112.4,5670.0,6866.0,5907.0,,7226.2,7070.0,6127.1,4994.3,5846.2,6350.0,7250.0,,5594.1,305.4,-429.1,390.4,-52.0,1144.0,185.0,,1504.2,1348.0,405.1,-727.7,124.2,628.0,1528.0,,-127.9,False,False,True,False,True,,False,False,False,False,True,False,False,,True
Connecticut,7214,7021.0,6926.2,7051.6,6521.0,7742.0,6072.0,,7243.1,7283.0,7666.9,6095.3,7480.8,6720.0,6819.0,,6457.8,-193.0,-287.8,-162.4,-693.0,528.0,-1142.0,,29.1,69.0,452.9,-1118.7,266.8,-494.0,-395.0,,-756.2,False,True,False,False,False,,True,True,False,False,False,False,False,,False
Delaware,1202,1102.0,936.6,1117.7,989.0,1169.0,1173.0,,1145.6,1265.0,1183.1,947.5,1345.1,1018.0,1094.0,,1033.9,-100.0,-265.4,-84.3,-213.0,-33.0,-29.0,,-56.4,63.0,-18.9,-254.5,143.1,-184.0,-108.0,,-168.1,False,True,False,True,True,,True,True,True,False,False,False,False,,False
District of Columbia,947,949.6,1813.7,954.0,884.0,916.1,796.0,,909.6,882.0,935.0,799.9,936.7,1026.5,886.0,,915.8,2.6,866.7,7.0,-63.0,-30.9,-151.0,,-37.4,-65.0,-12.0,-147.1,-10.3,79.5,-61.0,,-31.2,False,False,False,False,False,,False,False,False,False,False,False,False,,False
Florida,27599,24984.0,23861.6,25106.2,26605.0,27389.4,26387.0,,27942.2,25652.0,27063.5,24877.0,31980.1,25700.5,24927.5,,24516.9,-2615.0,-3737.4,-2492.8,-994.0,-209.6,-1212.0,,343.2,-1947.0,-535.5,-2722.0,4381.1,-1898.5,-2671.5,,-3082.1,False,True,True,True,True,,True,True,True,False,False,True,False,,False
Georgia,15090,12481.3,12438.7,12510.6,20521.0,13235.3,12969.0,,14659.1,13330.0,13880.1,14615.6,13571.4,11966.5,11855.5,,12543.5,-2608.7,-2651.3,-2579.4,5431.0,-1854.7,-2121.0,,-430.9,-1760.0,-1209.9,-474.4,-1518.6,-3123.5,-3234.5,,-2546.5,False,True,False,True,True,,True,True,True,True,True,False,False,,True
Hawaii,415,302.6,364.1,312.4,431.0,390.9,323.0,,403.7,,385.3,347.7,677.5,328.0,343.0,,323.1,-112.4,-50.9,-102.6,16.0,-24.1,-92.0,,-11.3,,-29.7,-67.3,262.5,-87.0,-72.0,,-91.9,True,True,True,True,True,,True,,True,True,False,True,True,,True
Idaho,1767,1787.4,1646.6,1828.0,1698.0,2106.4,1709.0,,2215.8,1910.0,2024.4,1588.8,1996.9,1788.0,2290.0,,1714.2,20.4,-120.4,61.0,-69.0,339.4,-58.0,,448.8,143.0,257.4,-178.2,229.9,21.0,523.0,,-52.8,False,False,False,False,False,,False,False,False,False,False,False,False,,False
Illinois,21676,22777.3,23249.7,22609.6,22257.0,22556.2,19839.0,,24112.9,22522.0,23738.1,18184.6,21391.3,21547.0,23668.0,,20429.9,1101.3,1573.7,933.6,581.0,880.2,-1837.0,,2436.9,846.0,2062.1,-3491.4,-284.7,-129.0,1992.0,,-1246.1,False,True,True,True,False,,False,True,False,False,True,True,False,,False
Indiana,11752,10414.3,10338.6,10578.3,10411.0,11251.0,9147.0,,10918.4,11182.0,11053.3,8649.0,10271.6,9904.0,12148.0,,9586.4,-1337.7,-1413.4,-1173.7,-1341.0,-501.0,-2605.0,,-833.6,-570.0,-698.7,-3103.0,-1480.4,-1848.0,396.0,,-2165.6,False,True,False,True,False,,True,True,True,False,False,False,True,,False
Iowa,5108,4657.7,5799.2,5008.7,6221.0,5429.4,5035.0,,3860.9,5488.0,4830.4,4220.5,4924.6,6672.0,5631.0,,4740.0,-450.3,691.2,-99.3,1113.0,321.4,-73.0,,-1247.1,380.0,-277.6,-887.5,-183.4,1564.0,523.0,,-368.0,False,True,False,True,True,,False,True,True,False,True,False,False,,True
Kansas,4075,3451.9,4391.4,3475.2,3938.0,4106.7,4220.0,,4492.6,4235.0,4400.1,3334.3,3623.2,4080.0,3834.5,,3698.0,-623.1,316.4,-599.8,-137.0,31.7,145.0,,417.6,160.0,325.1,-740.7,-451.8,5.0,-240.5,,-377.0,True,True,True,True,True,,True,True,True,False,True,True,True,,True
Kentucky,4020,3480.4,3532.0,3511.9,3081.0,3477.7,2978.0,,3462.2,3678.0,3520.3,3289.3,4314.2,3390.0,3340.0,,3521.0,-539.6,-488.0,-508.1,-939.0,-542.3,-1042.0,,-557.8,-342.0,-499.7,-730.7,294.2,-630.0,-680.0,,-499.0,True,True,False,False,False,,False,True,True,False,True,False,False,,True
Louisiana,9076,8749.4,7850.7,8939.8,8317.0,8982.5,9047.0,,9055.5,9520.0,8843.2,7684.7,8682.6,9878.0,8298.0,,8883.9,-326.6,-1225.3,-136.2,-759.0,-93.5,-29.0,,-20.5,444.0,-232.8,-1391.3,-393.4,802.0,-778.0,,-192.1,False,True,False,True,True,,True,False,True,False,False,False,False,,True
Maine,634,504.6,445.0,481.0,1428.0,853.2,544.0,,592.1,629.0,801.3,654.3,1089.7,616.0,559.5,,385.0,-129.4,-189.0,-153.0,794.0,219.2,-90.0,,-41.9,-5.0,167.3,20.3,455.7,-18.0,-74.5,,-249.0,False,False,False,False,True,,True,True,False,True,False,True,True,,False
Maryland,7329,7258.3,6361.9,7288.9,7060.0,7855.6,6754.0,,8256.3,7674.0,7860.3,6281.2,7597.8,7488.0,7038.5,,6646.0,-70.7,-967.1,-40.1,-269.0,526.6,-575.0,,927.3,345.0,531.3,-1047.8,268.8,159.0,-290.5,,-683.0,False,True,False,False,False,,False,False,False,False,False,False,False,,False
Massachusetts,14921,14411.9,14250.4,14128.0,14475.0,15857.7,14468.0,,15194.1,15030.0,15401.7,13629.2,15397.9,13784.0,13237.5,,13341.6,-509.1,-670.6,-793.0,-446.0,936.7,-453.0,,273.1,109.0,480.7,-1291.8,476.9,-1137.0,-1683.5,,-1579.4,False,False,True,False,True,,True,True,True,False,True,False,False,,False
Michigan,15854,16298.0,16966.1,16384.6,14136.0,16072.6,14905.0,,17034.1,17616.0,17040.8,13004.2,15503.3,15481.0,15827.5,,15034.9,444.0,1112.1,530.6,-1718.0,218.6,-949.0,,1180.1,1762.0,1186.8,-2849.8,-350.7,-373.0,-26.5,,-819.1,False,False,False,True,False,,False,False,False,False,True,True,True,,False
