,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,8513,6357.0,7374.4,6397.6,8747.0,7023.0,,7252.1,6329.0,8611.5,6433.7,,6100.2,5019.2,-2156.0,-1138.6,-2115.4,234.0,-1490.0,,-1260.9,-2184.0,98.5,-2079.3,,-2412.8,-3493.8,True,True,True,True,,True,False,True,True,,False,False
Alaska,279,238.9,199.3,241.1,324.0,391.0,,386.5,,306.6,275.9,,278.3,235.7,-40.1,-79.7,-37.9,45.0,112.0,,107.5,,27.6,-3.1,,-0.7,-43.3,False,True,False,False,,False,,True,True,,True,False
Arizona,14011,12181.3,20309.4,12240.3,13739.0,11886.7,,11997.4,12152.0,14470.9,11724.7,,11096.7,8723.5,-1829.7,6298.4,-1770.7,-272.0,-2124.3,,-2013.6,-1859.0,459.9,-2286.3,,-2914.3,-5287.5,False,True,True,False,,False,False,True,False,,False,False
Arkansas,5061,5239.3,5209.9,5151.3,5660.0,4763.4,,3898.3,5566.0,6098.8,4586.6,,4938.7,3782.6,178.3,148.9,90.3,599.0,-297.6,,-1162.7,505.0,1037.8,-474.4,,-122.3,-1278.4,True,True,False,False,,False,False,False,False,,True,False
California,43991,33886.4,47108.1,33949.0,92082.0,41025.7,,45880.3,33201.0,51947.5,51720.1,,32293.7,24969.9,-10102.6,3119.1,-10040.0,48093.0,-2963.3,,1891.3,-10788.0,7958.5,7731.1,,-11695.3,-19019.1,True,True,False,True,,True,False,True,True,,False,False
Colorado,5722,7179.4,6562.2,7614.4,6254.0,6740.1,,7226.2,7283.0,7845.1,5276.7,,6333.2,4975.8,1457.4,840.2,1892.4,532.0,1018.1,,1504.2,1561.0,2123.1,-445.3,,611.2,-746.2,True,False,True,True,,False,False,False,True,,True,True
Connecticut,7214,7075.9,6351.7,7107.6,8379.0,7684.4,,7411.3,7167.0,8327.8,7042.4,,6196.5,5764.8,-138.1,-862.3,-106.4,1165.0,470.4,,197.3,-47.0,1113.8,-171.6,,-1017.5,-1449.2,False,True,False,False,,False,True,False,False,,False,False
Delaware,1202,1177.4,1290.9,1159.3,1212.0,1115.0,,1153.8,1199.0,1306.9,1065.1,,1134.2,927.5,-24.6,88.9,-42.7,10.0,-87.0,,-48.2,-3.0,104.9,-136.9,,-67.8,-274.5,False,False,True,False,,False,True,False,False,,False,False
District of Columbia,947,887.9,2319.1,849.2,902.0,910.6,,879.1,844.0,949.7,837.2,,793.8,763.0,-59.1,1372.1,-97.8,-45.0,-36.4,,-67.9,-103.0,2.7,-109.8,,-153.2,-184.0,False,False,True,True,,False,False,True,False,,False,False
Florida,27599,25381.7,23866.5,25289.4,27734.0,27236.6,,28355.8,24300.0,27778.1,24804.8,,24467.3,22581.9,-2217.3,-3732.5,-2309.6,135.0,-362.4,,756.8,-3299.0,179.1,-2794.2,,-3131.7,-5017.1,False,False,True,True,,True,False,True,False,,False,False
