,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,8513,5775.6,5901.4,14412.0,6889.7,,6775.6,6514.0,9023.8,6839.3,4892.0,4731.2,-2737.4,-2611.6,5899.0,-1623.3,,-1737.4,-1999.0,510.8,-1673.7,-3621.0,-3781.8,True,False,True,,True,True,True,True,False,False
Alaska,279,435.3,439.9,384.0,424.2,,315.4,,354.0,359.5,383.4,234.8,156.3,160.9,105.0,145.2,,36.4,,75.0,80.5,104.4,-44.2,False,True,True,,True,,True,True,True,True
Arizona,14011,10554.9,10497.3,13577.0,11672.1,,10677.2,10850.0,14981.4,11463.5,9618.2,8097.5,-3456.1,-3513.7,-434.0,-2338.9,,-3333.8,-3161.0,970.4,-2547.5,-4392.8,-5913.5,False,True,True,,True,True,True,True,False,False
Arkansas,5061,5184.3,5238.9,4879.0,4124.7,,3898.3,5269.0,5414.0,3885.0,5529.2,3506.5,123.3,177.9,-182.0,-936.3,,-1162.7,208.0,353.0,-1176.0,468.2,-1554.5,False,False,False,,False,False,False,False,False,False
California,43991,29777.1,29665.2,80455.0,35090.5,,38370.8,30092.0,44401.7,45085.6,28957.8,23318.1,-14207.9,-14319.8,36470.0,-8894.5,,-5614.2,-13893.0,416.7,1100.6,-15027.2,-20666.9,False,False,True,,True,True,True,True,False,False
Colorado,5722,8688.0,7981.6,5441.0,6460.4,,5900.8,8852.0,8034.7,4976.4,5419.8,4550.6,2966.0,2259.6,-281.0,738.4,,178.8,3130.0,2312.7,-745.6,-302.2,-1171.4,True,True,True,,True,False,True,True,True,True
Connecticut,7214,7068.0,7101.4,8939.0,7367.3,,7558.0,7201.0,8419.0,7412.0,6316.4,5557.2,-146.0,-112.6,1725.0,153.3,,344.0,-13.0,1205.0,198.0,-897.6,-1656.8,True,False,False,,False,True,False,False,False,False
Delaware,1329,996.7,1081.7,1227.0,1098.7,,1027.6,1165.0,1191.3,1214.9,1094.8,888.3,-248.3,-163.3,-18.0,-146.3,,-217.4,-80.0,-53.7,-30.1,-150.2,-356.7,True,True,True,,True,True,True,True,True,False
District of Columbia,947,856.4,856.9,1065.0,919.8,,886.8,849.0,990.8,932.4,791.9,750.2,-90.6,-90.1,118.0,-27.2,,-60.2,-98.0,43.8,-14.6,-155.1,-196.8,True,False,True,,True,False,True,True,False,False
Florida,27599,25279.6,25396.0,27163.0,26792.6,,26015.0,25368.0,29281.7,24633.2,24691.9,22126.5,-2319.4,-2203.0,-436.0,-806.4,,-1584.0,-2231.0,1682.7,-2965.8,-2907.1,-5472.5,True,True,True,,True,True,True,False,False,False
