,actual_deaths,Baseline,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,8513,5192.6,4627.0,3705.4,-3320.4,-3886.0,-4807.6,False,False
Alaska,279,264.0,,197.7,-15.0,,-81.3,,False
Arizona,14011,7938.3,7636.0,7184.7,-6072.7,-6375.0,-6826.3,False,False
Arkansas,5061,3345.0,3904.0,2743.5,-1716.0,-1157.0,-2317.5,True,False
California,43991,21688.7,20942.0,21182.9,-22299.3,-23046.0,-22805.1,False,False
Colorado,5722,4348.3,4158.0,3350.9,-1373.7,-1564.0,-2371.1,False,False
Connecticut,7214,5519.6,5356.0,5063.3,-1694.4,-1858.0,-2150.7,False,False
Delaware,1329,949.4,915.0,764.3,-346.6,-381.0,-531.7,False,False
District of Columbia,947,731.1,686.0,672.6,-215.9,-261.0,-274.4,False,False
Florida,27599,22225.3,21060.0,21279.4,-5373.7,-6539.0,-6319.6,False,False
Georgia,15090,12620.9,11634.0,10311.1,-2469.1,-3456.0,-4778.9,False,False
Hawaii,415,233.9,,265.2,-181.1,,-149.8,,True
Idaho,1767,1624.6,1742.0,1360.4,-142.4,-25.0,-406.6,True,False
Illinois,21676,18560.9,18066.0,12894.1,-3115.1,-3610.0,-8781.9,False,False
Indiana,11752,8241.9,8872.0,7044.1,-3160.1,-2530.0,-4357.9,True,False
Iowa,5108,3696.4,3923.0,3315.5,-1411.6,-1185.0,-1792.5,True,False
Kansas,4075,2191.9,2352.0,2120.5,-1811.1,-1651.0,-1882.5,True,False
Kentucky,4020,2799.3,2728.5,3151.6,-1220.7,-1291.5,-868.4,False,True
Louisiana,9076,7128.9,7080.0,7724.2,-1936.1,-1985.0,-1340.8,False,True
Maine,634,319.1,272.0,263.8,-314.9,-362.0,-370.2,False,False
Maryland,7329,5369.1,4986.0,5147.6,-1959.9,-2343.0,-2181.4,False,False
Massachusetts,14921,12463.3,12861.0,11231.6,-2457.7,-2060.0,-3689.4,True,False
Michigan,15854,13486.4,13360.0,11610.5,-2367.6,-2494.0,-4243.5,False,False
Minnesota,6357,5937.1,7014.0,5082.6,-419.9,657.0,-1274.4,False,False
Mississippi,6266,4728.7,4936.0,4755.2,-1537.3,-1330.0,-1510.8,True,True
Missouri,7472,6019.3,5974.0,4123.5,-1430.7,-1476.0,-3326.5,False,False
Montana,1312,1278.9,1638.0,828.3,-33.1,326.0,-483.7,False,False
Nebraska,1968,1680.1,1982.0,964.9,-287.9,14.0,-1003.1,True,False
Nevada,4496,2596.7,2488.0,2613.5,-1899.3,-2008.0,-1882.5,False,True
New Hampshire,1098,617.6,738.0,597.0,-480.4,-360.0,-501.0,True,False
New Jersey,21964,18190.4,17760.0,17719.4,-3773.6,-4204.0,-4244.6,False,False
New Mexico,3386,2365.1,2420.0,1800.5,-1020.9,-966.0,-1585.5,True,False
New York,44664,35561.6,35923.0,34519.6,-9102.4,-8741.0,-10144.4,True,False
North Carolina,9926,7165.6,6807.0,6628.8,-2760.4,-3119.0,-3297.2,False,False
North Dakota,1453,1886.1,2321.0,1046.3,433.1,868.0,-406.7,False,True
Ohio,17422,8152.7,9484.0,7046.4,-8785.3,-7454.0,-9891.6,True,False
Oklahoma,3761,2595.1,2952.0,2152.9,-1165.9,-809.0,-1608.1,True,False
Oregon,2020,1128.6,1222.0,976.6,-891.4,-798.0,-1043.4,True,False
Pennsylvania,22353,12669.3,12294.0,11409.9,-9683.7,-10059.0,-10943.1,False,False
Rhode Island,2400,1609.7,1599.0,1444.0,-753.3,-764.0,-919.0,False,False
South Carolina,7611,5013.1,4940.5,5202.0,-2597.9,-2670.5,-2409.0,False,True
South Dakota,1804,1924.6,2072.0,750.2,120.6,268.0,-1053.8,False,False
Tennessee,10463,7426.4,7806.0,6783.6,-3036.6,-2657.0,-3679.4,True,False
Texas,39182,29658.6,27914.0,26184.8,-9145.4,-10890.0,-12619.2,False,False
Utah,1733,1417.6,1794.0,1356.3,-315.4,61.0,-376.7,True,False
Vermont,182,59.0,72.0,60.5,-123.0,-110.0,-121.5,True,True
Virginia,6773,4902.7,4897.0,4687.5,-1870.3,-1876.0,-2085.5,False,False
Washington,4449,3467.6,3388.0,3456.0,-995.4,-1075.0,-1007.0,False,False
West Virginia,2119,1506.9,1605.0,1172.9,-612.1,-514.0,-946.1,True,False
Wisconsin,6611,4897.1,5558.0,5155.5,-1713.9,-1053.0,-1455.5,True,True
Wyoming,624,499.7,484.0,300.4,-124.3,-140.0,-323.6,False,False
US,468282,337744.1,338772.0,363727.3,-129159.9,-128132.0,-103176.7,True,True
