,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,8513,3707.9,3164.9,7192.8,3933.0,-4805.1,-5348.1,-1320.2,-4580.0,False,True,True
Alaska,279,263.4,154.9,47.4,,-15.6,-124.1,-231.6,,False,False,
Arizona,14011,8376.1,7195.4,10882.9,7177.0,-5634.9,-6815.6,-3128.1,-6834.0,False,True,False
Arkansas,5061,3702.9,4522.4,3858.5,2548.0,-1358.1,-538.6,-1202.5,-2513.0,True,True,False
California,43991,26731.7,20543.1,65352.9,21075.0,-17259.3,-23447.9,21361.9,-22916.0,False,False,False
Colorado,5722,2550.1,3061.7,5874.6,2420.0,-3171.9,-2660.3,152.6,-3302.0,True,True,False
Connecticut,7214,4670.7,4641.1,8494.6,4635.0,-2543.3,-2572.9,1280.6,-2579.0,False,True,False
Delaware,1202,859.3,817.8,1309.9,720.0,-342.7,-384.2,107.9,-482.0,False,True,False
District of Columbia,947,699.4,659.9,1077.6,648.0,-247.6,-287.1,130.6,-299.0,False,True,False
Florida,27599,27910.9,20348.2,29436.6,19065.0,311.9,-7250.8,1837.6,-8534.0,False,False,False
Georgia,15090,13432.9,8608.6,15060.8,9752.0,-1657.1,-6481.4,-29.2,-5338.0,False,True,False
Hawaii,415,358.3,208.4,203.2,,-56.7,-206.6,-211.8,,False,False,
Idaho,1767,780.6,1045.3,1816.8,785.0,-986.4,-721.7,49.8,-982.0,True,True,True
Illinois,21676,11843.3,10549.7,18716.8,10793.0,-9832.7,-11126.3,-2959.2,-10883.0,False,True,False
Indiana,11752,4975.4,4704.4,8866.2,4750.0,-6776.6,-7047.6,-2885.8,-7002.0,False,True,False
Iowa,5108,2277.7,1991.1,3509.6,2348.0,-2830.3,-3116.9,-1598.4,-2760.0,False,True,True
Kansas,4075,1389.3,1573.4,5805.7,1156.0,-2685.7,-2501.6,1730.7,-2919.0,True,True,False
Kentucky,4020,2024.4,1895.8,5001.8,1892.0,-1995.6,-2124.2,981.8,-2128.0,False,True,False
Louisiana,9076,7294.1,6252.3,9572.8,7164.0,-1781.9,-2823.7,496.8,-1912.0,False,True,False
