,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,8513,7112.1,7236.8,6356.2,7064.8,6524.0,7006.4,6717.0,6085.0,6475.2,,6189.6,6112.0,7706.2,7139.2,6543.2,,6747.0,6477.8,6679.0,6681.3,7152.8,7694.5,7029.2,6237.1,6701.0,7026.6,6734.2,7648.1,6439.0,,6228.3,6316.2,,6505.0,6889.3,6736.0,7093.5,,7430.3,7076.5,6796.0,6558.2,6699.0,7001.0,,5901.4,6627.0,-1400.9,-1276.2,-2156.8,-1448.2,-1989.0,-1506.6,-1796.0,-2428.0,-2037.8,,-2323.4,-2401.0,-806.8,-1373.8,-1969.8,,-1766.0,-2035.2,-1834.0,-1831.7,-1360.2,-818.5,-1483.8,-2275.9,-1812.0,-1486.4,-1778.8,-864.9,-2074.0,,-2284.7,-2196.8,,-2008.0,-1623.7,-1777.0,-1419.5,,-1082.7,-1436.5,-1717.0,-1954.8,-1814.0,-1512.0,,-2611.6,-1886.0,True,False,False,False,False,False,False,False,,False,False,True,True,False,,False,False,False,False,True,True,False,False,False,False,False,True,False,,False,False,,False,False,False,False,,True,False,False,False,False,False,,False,False
Alaska,279,258.7,265.9,324.7,275.9,309.0,260.0,274.0,239.0,258.2,,267.3,354.0,281.4,274.5,304.0,,,276.8,312.0,314.9,254.0,256.0,263.0,268.9,371.0,272.1,284.8,270.9,276.0,,,248.2,,253.0,311.1,261.0,280.5,,270.2,305.4,273.0,268.3,245.0,264.0,,254.5,290.0,-20.3,-13.1,45.7,-3.1,30.0,-19.0,-5.0,-40.0,-20.8,,-11.7,75.0,2.4,-4.5,25.0,,,-2.2,33.0,35.9,-25.0,-23.0,-16.0,-10.1,92.0,-6.9,5.8,-8.1,-3.0,,,-30.8,,-26.0,32.1,-18.0,1.5,,-8.8,26.4,-6.0,-10.7,-34.0,-15.0,,-24.5,11.0,True,False,True,False,True,True,False,False,,True,False,True,True,False,,,True,False,False,False,False,True,True,False,True,True,True,True,,,False,,False,False,True,True,,True,False,True,True,False,True,,False,True
Arizona,14011,14306.7,15101.5,12401.0,13649.9,13883.0,13935.4,13812.0,14556.0,12931.4,,12512.2,12674.0,17578.1,13646.0,14515.4,,13610.0,12097.5,13458.0,13038.3,14078.2,16617.5,14676.0,11947.5,13115.0,14491.1,13834.9,15425.1,14345.0,,15866.0,15296.5,,13785.0,13769.5,14768.0,13352.8,,14588.9,14653.2,14651.0,16476.2,13688.0,15211.5,,10997.5,13444.0,295.7,1090.5,-1610.0,-361.1,-128.0,-75.6,-199.0,545.0,-1079.6,,-1498.8,-1337.0,3567.1,-365.0,504.4,,-401.0,-1913.5,-553.0,-972.7,67.2,2606.5,665.0,-2063.5,-896.0,480.1,-176.1,1414.1,334.0,,1855.0,1285.5,,-226.0,-241.5,757.0,-658.2,,577.9,642.2,640.0,2465.2,-323.0,1200.5,,-3013.5,-567.0,False,False,False,True,True,True,False,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,True,False,False,,False,False,,True,True,False,False,,False,False,False,False,False,False,,False,False
Arkansas,5061,5177.0,5260.3,5114.1,5119.8,4862.0,5133.8,5161.0,4734.0,5047.0,,5366.2,4972.0,5480.4,5293.3,5766.5,,5214.0,5694.6,5150.0,4895.9,5371.0,5041.0,5326.0,4739.5,4963.0,5200.3,5211.9,5514.8,4656.0,,5884.7,5099.0,,5162.0,5210.9,4492.0,5109.6,,5454.8,5250.6,5245.0,5356.5,5161.0,5043.0,,4536.7,5238.0,116.0,199.3,53.1,58.8,-199.0,72.8,100.0,-327.0,-14.0,,305.2,-89.0,419.4,232.3,705.5,,153.0,633.6,89.0,-165.1,310.0,-20.0,265.0,-321.5,-98.0,139.3,150.9,453.8,-405.0,,823.7,38.0,,101.0,149.9,-569.0,48.6,,393.8,189.6,184.0,295.5,100.0,-18.0,,-524.3,177.0,False,True,True,False,True,True,False,True,,False,True,False,False,False,,False,False,True,False,False,True,False,False,True,False,False,False,False,,False,True,,True,False,False,True,,False,False,False,False,True,True,,False,False
California,43991,42987.1,50149.3,38054.7,42592.1,42140.0,42367.3,42147.0,37413.0,40370.2,,39904.4,38426.0,48673.2,42626.4,42524.5,,41535.0,34153.4,,41014.9,41430.0,44003.0,45568.0,33681.3,40706.0,41952.7,40794.6,46099.7,50168.0,,43454.6,44319.1,,39425.0,45757.8,43172.0,40299.0,,42596.5,42147.0,41760.0,50235.3,41906.0,48068.5,,32696.5,43807.0,-1003.9,6158.3,-5936.3,-1398.9,-1851.0,-1623.7,-1844.0,-6578.0,-3620.8,,-4086.6,-5565.0,4682.2,-1364.6,-1466.5,,-2456.0,-9837.6,,-2976.1,-2561.0,12.0,1577.0,-10309.7,-3285.0,-2038.3,-3196.4,2108.7,6177.0,,-536.4,328.1,,-4566.0,1766.8,-819.0,-3692.0,,-1394.5,-1844.0,-2231.0,6244.3,-2085.0,4077.5,,-11294.5,-184.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False,True,False,False,False,False,False,False,False,,True,True,,False,False,True,False,,False,False,False,False,False,False,,False,True
Colorado,5722,6264.9,6227.0,6568.8,6350.2,6337.0,6301.4,6301.0,5614.0,5997.5,,6045.7,5887.0,6550.7,6052.3,6458.1,,6370.0,6499.9,6425.0,5886.2,6025.5,6549.0,6287.0,6679.6,6268.0,6199.8,6322.1,6574.8,6557.5,,7530.0,6154.9,,6189.0,5221.3,5895.0,6187.4,,6988.4,6243.4,6102.0,6312.4,6298.0,5907.5,,5799.4,5978.0,542.9,505.0,846.8,628.2,615.0,579.4,579.0,-108.0,275.5,,323.7,165.0,828.7,330.3,736.1,,648.0,777.9,703.0,164.2,303.5,827.0,565.0,957.6,546.0,477.8,600.1,852.8,835.5,,1808.0,432.9,,467.0,-500.7,173.0,465.4,,1266.4,521.4,380.0,590.4,576.0,185.5,,77.4,256.0,True,False,False,False,False,False,True,True,,True,True,False,True,False,,False,False,False,True,True,False,False,False,False,True,False,False,False,,False,True,,True,True,True,True,,False,True,True,False,False,True,,True,True
Connecticut,7214,7191.9,7126.0,7384.1,7222.8,7512.0,7224.4,7224.0,7037.0,7134.8,,6983.1,7213.0,7044.6,7170.2,7649.9,,7428.0,7177.2,7451.0,7427.1,7298.7,7247.0,7086.1,7032.9,7414.0,7261.5,7467.0,7393.5,6777.0,,8721.4,7046.5,,7286.0,6576.5,6705.0,6741.7,,7984.5,7279.7,7365.0,7342.7,7213.0,7060.5,,6542.4,7457.0,-22.1,-88.0,170.1,8.8,298.0,10.4,10.0,-177.0,-79.2,,-230.9,-1.0,-169.4,-43.8,435.9,,214.0,-36.8,237.0,213.1,84.7,33.0,-127.9,-181.1,200.0,47.5,253.0,179.5,-437.0,,1507.4,-167.5,,72.0,-637.5,-509.0,-472.3,,770.5,65.7,151.0,128.7,-1.0,-153.5,,-671.6,243.0,False,False,True,False,True,True,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,True,False,,False,False
Delaware,1329,1134.0,1190.0,1125.9,1124.0,1096.0,1125.1,1125.0,1062.0,1113.1,,1113.4,1122.0,1088.3,1127.8,1166.2,,1163.5,1059.6,1181.0,1233.2,1131.2,1092.0,1125.7,1047.6,1195.0,1135.2,1185.0,1148.5,1126.0,,,1117.8,,1121.0,1216.2,1141.0,1093.0,,1302.2,1195.5,1176.0,1081.7,1110.0,1108.0,,1034.6,1183.0,-30.0,26.0,-38.1,-40.0,-68.0,-38.9,-39.0,-102.0,-50.9,,-50.6,-42.0,-75.7,-36.2,2.2,,-0.5,-104.4,17.0,69.2,-32.8,-72.0,-38.3,-116.4,31.0,-28.8,21.0,-15.5,-38.0,,,-46.2,,-43.0,52.2,-23.0,-71.0,,138.2,31.5,12.0,-82.3,-54.0,-56.0,,-129.4,19.0,True,False,False,False,False,False,False,False,,False,False,False,False,True,,True,False,True,False,False,False,False,False,False,True,True,True,False,,,False,,False,False,True,False,,False,False,True,False,False,False,,False,True
District of Columbia,947,905.7,896.1,917.3,895.4,889.0,897.0,918.0,886.0,932.9,,922.0,930.0,895.2,938.4,943.7,,877.0,919.4,907.0,938.2,930.1,925.0,912.2,927.8,947.0,,,927.8,906.0,,,909.4,,916.0,932.8,933.0,853.3,,992.9,,944.0,,906.0,940.0,,845.5,933.0,-41.3,-50.9,-29.7,-51.6,-58.0,-50.0,-29.0,-61.0,-14.1,,-25.0,-17.0,-51.8,-8.6,-3.3,,-70.0,-27.6,-40.0,-8.8,-16.9,-22.0,-34.8,-19.2,0.0,,,-19.2,-41.0,,,-37.6,,-31.0,-14.2,-14.0,-93.7,,45.9,,-3.0,,-41.0,-7.0,,-101.5,-14.0,False,True,False,False,False,True,False,True,,True,True,False,True,True,,False,True,True,True,True,True,True,True,True,,,True,True,,,True,,True,True,True,False,,False,,True,,True,True,,False,True
Florida,27599,26479.9,26237.7,26332.8,26309.5,26786.0,26460.0,26869.0,25022.0,26472.7,,25935.2,39148.0,29208.2,27069.8,27847.1,,25714.0,26215.8,27481.0,30445.7,27742.0,27158.0,27390.2,25971.5,26863.0,27136.9,27246.4,27885.5,26516.0,,28411.0,26503.8,,26514.0,30423.7,26869.0,26173.4,,25771.3,27197.5,27897.0,25912.9,26969.0,26708.0,,24400.0,27147.0,-1119.1,-1361.3,-1266.2,-1289.5,-813.0,-1139.0,-730.0,-2577.0,-1126.3,,-1663.8,11549.0,1609.2,-529.2,248.1,,-1885.0,-1383.2,-118.0,2846.7,143.0,-441.0,-208.8,-1627.5,-736.0,-462.1,-352.6,286.5,-1083.0,,812.0,-1095.2,,-1085.0,2824.7,-730.0,-1425.6,,-1827.7,-401.5,298.0,-1686.1,-630.0,-891.0,,-3199.0,-452.0,False,False,False,True,False,True,False,False,,False,False,False,True,True,,False,False,True,False,True,True,True,False,True,True,True,True,True,,True,True,,True,False,True,False,,False,True,True,False,True,True,,False,True
