,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,8513,4455.7,5597.2,4024.0,,3895.2,-4057.3,-2915.8,-4489.0,,-4617.8,True,False,,False
Alaska,279,290.9,386.0,,,169.7,11.9,107.0,,,-109.3,False,,,False
Arizona,14011,7434.0,7731.0,6560.0,,7565.4,-6577.0,-6280.0,-7451.0,,-6445.6,True,False,,True
Arkansas,5061,3981.1,4126.1,3901.0,,3038.8,-1079.9,-934.9,-1160.0,,-2022.2,True,False,,False
California,43991,22008.3,24921.9,20885.0,,20823.0,-21981.7,-19068.1,-23105.0,,-23167.0,True,False,,False
Colorado,5722,3188.7,5172.5,3030.0,,2885.5,-2533.3,-549.5,-2692.0,,-2836.5,True,False,,False
Connecticut,7214,5156.4,6395.3,4900.0,,4809.6,-2057.6,-818.7,-2314.0,,-2404.4,True,False,,False
Delaware,1202,1111.9,931.6,847.0,,742.5,-90.1,-270.4,-355.0,,-459.5,False,False,,False
District of Columbia,947,701.4,770.5,678.0,,664.5,-245.6,-176.5,-269.0,,-282.5,True,False,,False
Florida,27599,21777.6,26538.8,21054.0,,19246.3,-5821.4,-1060.2,-6545.0,,-8352.7,True,False,,False
Georgia,15090,10364.4,11838.2,10444.0,,9844.5,-4725.6,-3251.8,-4646.0,,-5245.5,True,True,,False
Hawaii,415,316.0,506.7,,,241.2,-99.0,91.7,,,-173.8,True,,,False
Idaho,1767,1419.9,1522.9,1271.0,,1146.5,-347.1,-244.1,-496.0,,-620.5,True,False,,False
Illinois,21676,14232.1,23126.1,13509.0,,11575.1,-7443.9,1450.1,-8167.0,,-10100.9,True,False,,False
Indiana,11752,7606.6,10334.1,7063.0,,5734.9,-4145.4,-1417.9,-4689.0,,-6017.1,True,False,,False
Iowa,5108,3091.0,4552.7,3042.0,,2321.5,-2017.0,-555.3,-2066.0,,-2786.5,True,False,,False
Kansas,4075,1981.1,3725.7,2099.0,,1482.0,-2089.9,-345.3,-1972.0,,-2589.0,True,True,,False
Kentucky,4020,2625.3,3686.5,2771.0,,2510.4,-1394.7,-333.5,-1249.0,,-1509.6,True,True,,False
Louisiana,9076,7159.3,7273.8,7059.0,,7661.3,-1916.7,-1802.2,-2017.0,,-1414.7,True,False,,True
Maine,634,160.9,189.5,261.0,,157.1,-473.1,-444.5,-373.0,,-476.9,True,True,,False
Maryland,7329,4928.0,5264.3,4566.0,32038.0,4733.5,-2401.0,-2064.7,-2763.0,24709.0,-2595.5,True,False,False,False
Massachusetts,14921,12077.7,14363.5,11472.0,,10999.4,-2843.3,-557.5,-3449.0,,-3921.6,True,False,,False
Michigan,15854,10151.7,17121.5,10586.0,,8581.6,-5702.3,1267.5,-5268.0,,-7272.4,True,True,,False
Minnesota,6357,4288.9,6378.5,4792.0,,3762.7,-2068.1,21.5,-1565.0,,-2594.3,True,True,,False
Mississippi,6266,4636.7,4521.3,4321.0,,4561.2,-1629.3,-1744.7,-1945.0,,-1704.8,False,False,,False
Missouri,7444,6058.9,8110.1,5231.0,,4247.0,-1396.1,655.1,-2224.0,,-3208.0,True,False,,False
Montana,1312,1470.7,1692.9,1554.0,,1055.9,158.7,380.9,242.0,,-256.1,False,False,,False
Nebraska,1968,1457.7,2018.6,1417.0,,987.8,-510.3,50.6,-551.0,,-980.2,True,False,,False
Nevada,4496,2234.3,2720.5,2174.0,,2657.9,-2257.7,-1771.5,-2318.0,,-1834.1,True,False,,True
New Hampshire,1098,621.6,891.5,702.0,,570.4,-476.4,-206.5,-396.0,,-527.6,True,True,,False
New Jersey,21964,17310.1,18204.3,17100.0,,16824.7,-4653.9,-3759.7,-4864.0,,-5139.3,True,False,,False
New Mexico,3386,1843.6,2652.0,1636.0,,1476.6,-1542.4,-734.0,-1750.0,,-1909.4,True,False,,False
New York,44664,35100.9,39041.2,34750.0,,33974.2,-9346.1,-5405.8,-9697.0,,-10472.8,True,False,,False
North Carolina,9926,7514.7,8088.2,7260.0,,6944.6,-2411.3,-1837.8,-2666.0,,-2981.4,True,False,,False
North Dakota,1453,1570.3,2223.9,1641.0,,758.0,117.3,770.9,188.0,,-695.0,False,False,,False
Ohio,11652,6647.1,8020.7,8044.0,,6310.3,-5004.9,-3631.3,-3608.0,,-5341.7,True,True,,False
Oklahoma,3761,2675.3,2593.5,2749.0,,2213.9,-1085.7,-1167.5,-1012.0,,-1547.1,False,True,,False
Oregon,2020,1217.6,1295.8,1061.0,,1000.7,-802.4,-724.2,-959.0,,-1019.3,True,False,,False
Pennsylvania,22353,10964.7,14464.1,11456.0,,10030.5,-11388.3,-7888.9,-10897.0,,-12322.5,True,True,,False
Rhode Island,2212,1533.6,2801.8,1539.0,,1304.9,-678.4,589.8,-673.0,,-907.1,True,True,,False
South Carolina,7611,5792.9,6115.5,5547.0,,5134.8,-1818.1,-1495.5,-2064.0,,-2476.2,True,False,,False
South Dakota,1804,1296.1,1791.9,1268.0,,605.9,-507.9,-12.1,-536.0,,-1198.1,True,False,,False
Tennessee,10463,6429.3,8231.0,6012.0,,7089.0,-4033.7,-2232.0,-4451.0,,-3374.0,True,False,,True
Texas,39182,26081.9,27360.2,26486.0,43272.0,24597.3,-12762.1,-11483.8,-12358.0,4428.0,-14246.7,True,True,True,False
Utah,1733,1196.0,1872.2,1288.0,,1110.0,-537.0,139.2,-445.0,,-623.0,True,True,,False
Vermont,182,58.0,65.4,60.0,,61.0,-124.0,-116.6,-122.0,,-121.0,True,True,,True
Virginia,6773,4708.1,5244.7,5112.0,,3979.5,-2064.9,-1528.3,-1661.0,,-2793.5,True,True,,False
Washington,4449,3336.0,4165.8,3168.0,,3373.6,-1126.0,-296.2,-1294.0,,-1088.4,True,False,,True
West Virginia,2119,945.0,894.1,934.0,,873.2,-1174.0,-1224.9,-1185.0,,-1245.8,False,False,,False
Wisconsin,6611,5774.6,6404.7,5047.0,,5450.1,-520.4,109.7,-1248.0,,-844.9,True,False,,False
Wyoming,624,350.3,504.6,354.0,,253.8,-273.7,-119.4,-270.0,,-370.2,True,True,,False
US,462169,310839.9,419910.4,306616.0,294692.0,302649.3,-150473.1,-41402.6,-154697.0,-166621.0,-158663.7,True,False,False,False
