,total_deaths_2020-12-27,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
JHU_IDD-CovidSP,339061,461359.3,468282,128241.3,129221,-979.7,-0.8%
Columbia_UNC-SurvCon,339061,458307.0,468282,125189.0,129221,-4032.0,-3.1%
QJHong-Encounter,339061,455281.4,468282,122163.4,129221,-7057.6,-5.5%
LANL-GrowthRate,339061,469901.0,468282,136783.0,129221,7562.0,5.9%
IowaStateLW-STEM,339061,453676.0,468282,120558.0,129221,-8663.0,-6.7%
Covid19Sim-Simulator,339061,453598.5,468282,120480.5,129221,-8740.5,-6.8%
IHME-CurveFit,339061,474183.8,468282,141065.8,129221,11844.8,9.2%
JCB-PRM,339061,475996.0,468282,142878.0,129221,13657.0,10.6%
IBF-TimeSeries,339061,440966.0,468282,107848.0,129221,-21373.0,-16.5%
PSI-DRAFT,339061,434099.5,468282,100981.5,129221,-28239.5,-21.9%
COVIDhub-baseline,339061,426408.0,468282,93290.0,129221,-35931.0,-27.8%
CovidAnalytics-DELPHI,339061,424285.0,468282,91167.0,129221,-38054.0,-29.4%
Baseline,339061,423610.9,468282,90492.9,129221,-38728.1,-30.0%
JHUAPL-Bucky,339061,406555.4,468282,73437.4,129221,-55783.6,-43.2%
UCLA-SuEIR,339061,374167.8,468282,41049.8,129221,-88171.2,-68.2%
AIpert-pwllnod,339061,361851.9,468282,28733.9,129221,-100487.1,-77.8%
