,mean_rank
OliverWyman-Navigator,12.7
COVIDhub-ensemble,14.5
LNQ-ens1,14.7
USC-SI_kJalpha,15.0
COVIDhub-trained_ensemble,15.1
UCLA-SuEIR,16.2
UChicagoCHATTOPADHYAY-UnIT,17.1
Microsoft-DeepSTIA,17.1
Karlen-pypm,17.2
SteveMcConnell-CovidComplete,17.4
RobertWalraven-ESG,17.5
COVIDhub-baseline,17.6
UMass-MechBayes,18.1
GT-DeepCOVID,18.4
CEID-Walk,18.5
LANL-GrowthRate,18.9
Google_Harvard-CPF,19.0
DDS-NBDS,19.2
MOBS-GLEAM_COVID,19.5
Caltech-CS156,20.0
BPagano-RtDriven,20.1
MIT_ISOLAT-Mixtures,20.4
AIpert-pwllnod,20.5
CMU-TimeSeries,20.9
CovidAnalytics-DELPHI,21.8
epiforecasts-ensemble1,21.8
UCSD_NEU-DeepGLEAM,22.6
UA-EpiCovDA,23.5
Geneva-DetGrowth,23.5
JHU_CSSE-DECOM,23.5
UMich-RidgeTfReg,23.7
SigSci-TS,23.7
CU-select,24.3
MIT_CritData-GBCF,24.4
PSI-DRAFT,24.5
JHU_IDD-CovidSP,27.5
WalmartLabsML-LogForecasting,27.9
IowaStateLW-STEM,29.3
IHME-CurveFit,29.8
Covid19Sim-Simulator,34.5
JHUAPL-Bucky,35.2
TTU-squider,35.6
