,mean_rank
BPagano-RtDriven,15.0
COVIDhub-ensemble,15.5
UMass-MechBayes,15.8
LNQ-ens1,16.1
MOBS-GLEAM_COVID,16.1
RobertWalraven-ESG,16.8
OliverWyman-Navigator,17.0
UT-Mobility,17.2
COVIDhub-baseline,17.7
CEID-Walk,17.8
SteveMcConnell-CovidComplete,18.1
Google_Harvard-CPF,18.2
CMU-TimeSeries,18.2
USC-SI_kJalpha,18.4
UChicagoCHATTOPADHYAY-UnIT,18.9
GT-DeepCOVID,19.1
UCSD_NEU-DeepGLEAM,19.2
Karlen-pypm,19.4
LANL-GrowthRate,20.0
CovidAnalytics-DELPHI,20.8
JHU_CSSE-DECOM,21.2
MIT_ISOLAT-Mixtures,21.2
UCLA-SuEIR,21.7
epiforecasts-ensemble1,21.7
AIpert-pwllnod,21.9
Columbia_UNC-SurvCon,22.1
UCSB-ACTS,22.3
Microsoft-DeepSTIA,22.3
PSI-DRAFT,23.3
MIT_CritData-GBCF,23.5
IHME-CurveFit,23.5
UA-EpiCovDA,23.6
JHU_IDD-CovidSP,23.9
IowaStateLW-STEM,24.2
JHUAPL-Bucky,24.4
CU-select,24.5
UMich-RidgeTfReg,24.6
Covid19Sim-Simulator,24.8
DDS-NBDS,27.7
WalmartLabsML-LogForecasting,29.9
TTU-squider,33.2
