,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,6657,3579.9,3125.4,6632.9,3805.0,-3077.1,-3531.6,-24.1,-2852.0,False,True,True
Alaska,259,241.4,140.9,47.4,,-17.6,-118.1,-211.6,,False,False,
Arizona,12170,8084.1,7111.0,10485.6,7051.0,-4085.9,-5059.0,-1684.4,-5119.0,False,True,False
Arkansas,4563,3448.9,4278.5,3652.7,2413.0,-1114.1,-284.5,-910.3,-2150.0,True,True,False
California,36846,25551.7,20255.8,56388.5,20623.0,-11294.3,-16590.2,19542.5,-16223.0,False,False,False
Colorado,5482,2496.1,2932.2,5236.1,2385.0,-2985.9,-2549.8,-245.9,-3097.0,True,True,False
Connecticut,6819,4652.7,4636.3,7943.5,4626.0,-2166.3,-2182.7,1124.5,-2193.0,False,True,False
Delaware,1036,835.3,800.8,1242.6,713.0,-200.7,-235.2,206.6,-323.0,False,False,False
District of Columbia,870,691.4,658.6,1001.0,645.0,-178.6,-211.4,131.0,-225.0,False,True,False
Florida,25164,26438.9,20067.3,28412.0,18706.0,1274.9,-5096.7,3248.0,-6458.0,False,False,False
Georgia,13246,12744.9,8557.1,14214.0,9500.0,-501.1,-4688.9,968.0,-3746.0,False,False,False
Hawaii,335,334.3,204.7,187.3,,-0.7,-130.3,-147.7,,False,False,
Idaho,1668,746.6,968.0,1635.5,756.0,-921.4,-700.0,-32.5,-912.0,True,True,True
Illinois,20645,11525.3,10446.2,17677.4,10611.0,-9119.7,-10198.8,-2967.6,-10034.0,False,True,False
Indiana,9693,4827.4,4584.0,8384.0,4632.0,-4865.6,-5109.0,-1309.0,-5061.0,False,True,False
Iowa,4486,2175.7,1931.1,3129.7,2242.0,-2310.3,-2554.9,-1356.3,-2244.0,False,True,True
Kansas,3587,1309.3,1496.1,5046.6,1105.0,-2277.7,-2090.9,1459.6,-2482.0,True,True,False
Kentucky,3386,1932.4,1832.2,4666.0,1820.0,-1453.6,-1553.8,1280.0,-1566.0,False,True,False
Louisiana,8483,7100.1,6241.4,9208.5,6983.0,-1382.9,-2241.6,725.5,-1500.0,False,True,False
Maine,544,156.9,198.2,346.6,282.0,-387.1,-345.8,-197.4,-262.0,True,True,True
Maryland,6837,4879.0,4325.6,7161.9,4606.0,-1958.0,-2511.4,324.9,-2231.0,False,True,False
Massachusetts,14064,10988.6,10960.2,14215.9,10010.0,-3075.4,-3103.8,151.9,-4054.0,False,True,False
Michigan,15181,8308.3,7843.4,12093.0,8370.0,-6872.7,-7337.6,-3088.0,-6811.0,False,True,True
Minnesota,6131,2784.9,2756.1,5814.4,3046.0,-3346.1,-3374.9,-316.6,-3085.0,False,True,True
Mississippi,5752,4756.4,3869.6,5345.8,4081.0,-995.6,-1882.4,-406.2,-1671.0,False,True,False
Missouri,6811,5879.6,4085.8,6599.0,2734.0,-931.4,-2725.2,-212.0,-4077.0,False,True,False
Montana,1141,442.7,859.9,907.9,441.0,-698.3,-281.1,-233.1,-700.0,True,True,False
Nebraska,1879,942.0,940.8,2128.1,842.0,-937.0,-938.2,249.1,-1037.0,False,True,False
Nevada,4011,2495.3,2334.1,4073.3,2095.0,-1515.7,-1676.9,62.3,-1916.0,False,True,False
New Hampshire,981,455.9,480.2,1121.1,476.0,-525.1,-500.8,140.1,-505.0,True,True,True
New Jersey,20934,16763.4,16563.3,25397.1,16510.0,-4170.6,-4370.7,4463.1,-4424.0,False,False,False
New Mexico,3115,1224.0,1239.9,2427.6,1160.0,-1891.0,-1875.1,-687.4,-1955.0,True,True,False
New York,42134,33872.7,33447.8,43486.4,33538.0,-8099.3,-8524.2,1514.4,-8434.0,False,True,False
North Carolina,8586,6778.7,6632.2,12904.6,6078.0,-1807.3,-1953.8,4318.6,-2508.0,False,False,False
North Dakota,1436,888.4,811.3,638.5,479.0,-547.6,-624.7,-797.5,-957.0,False,False,False
Ohio,10680,6865.0,6448.5,12853.3,6195.0,-3815.0,-4231.5,2173.3,-4485.0,False,True,False
Oklahoma,3231,2017.4,1923.8,3648.5,1816.0,-1213.6,-1307.2,417.5,-1415.0,False,True,False
Oregon,1877,829.6,890.4,2100.5,795.0,-1047.4,-986.6,223.5,-1082.0,True,True,False
Pennsylvania,20454,10210.0,9759.3,16835.7,9670.0,-10244.0,-10694.7,-3618.3,-10784.0,False,True,False
Rhode Island,2083,1427.3,1377.8,2068.1,1208.0,-655.7,-705.2,-14.9,-875.0,False,True,False
South Carolina,6479,5466.9,4802.8,7126.8,4490.0,-1012.1,-1676.2,647.8,-1989.0,False,True,False
South Dakota,1696,487.7,552.5,826.4,421.0,-1208.3,-1143.5,-869.6,-1275.0,True,True,False
Tennessee,8819,5057.3,4477.3,7404.2,4261.0,-3761.7,-4341.7,-1414.8,-4558.0,False,True,False
Texas,34725,26820.1,25120.6,36350.4,24522.0,-7620.9,-9320.4,1909.4,-9919.0,False,True,False
Utah,1582,672.1,1258.6,807.3,676.0,-909.9,-323.4,-774.7,-906.0,True,True,True
Vermont,170,58.0,63.3,61.7,58.0,-112.0,-106.7,-108.3,-112.0,True,True,False
Virginia,6079,5584.4,5194.1,6238.9,4792.0,-492.6,-882.9,161.9,-1285.0,False,True,False
Washington,4114,3162.0,2835.0,4148.8,2457.0,-971.0,-1298.0,15.8,-1676.0,False,True,False
West Virginia,1872,760.4,904.5,2117.0,735.0,-1111.6,-967.5,245.0,-1137.0,True,True,False
Wisconsin,6184,1938.4,3130.7,4341.3,2234.0,-4156.6,-2964.3,-1753.7,-3861.0,True,True,True
Wyoming,571,66.9,500.9,91.6,100.0,-504.1,-70.1,-479.4,-471.0,True,True,True
US,417476,293205.4,244232.7,436872.7,248303.0,-123749.6,-172722.3,19917.7,-168652.0,False,True,False
