,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,6657,4539.7,6364.7,6756.4,3690.0,,-2117.3,-292.3,99.4,-2967.0,,True,True,False,
Alaska,259,141.3,175.7,82.9,,,-117.7,-83.3,-176.1,,,True,False,,
Arizona,12170,9013.7,7011.2,10300.9,8676.0,,-3156.3,-5158.8,-1869.1,-3494.0,,False,True,False,
Arkansas,4563,3078.3,2703.4,4182.1,2473.0,,-1484.7,-1859.6,-380.9,-2090.0,,False,True,False,
California,36846,29497.6,18578.7,62801.0,24938.0,,-7348.4,-18267.3,25955.0,-11908.0,,False,False,False,
Colorado,5482,2567.7,2304.9,5492.6,2416.0,,-2914.3,-3177.1,10.6,-3066.0,,False,True,False,
Connecticut,6819,4527.6,4572.7,5824.0,4647.0,,-2291.4,-2246.3,-995.0,-2172.0,,True,True,True,
Delaware,1254,708.3,718.1,1276.9,685.0,,-530.7,-520.9,37.9,-554.0,,True,True,False,
District of Columbia,870,710.3,649.4,1113.9,663.0,,-159.7,-220.6,243.9,-207.0,,False,False,False,
Florida,25164,26344.7,17169.8,27739.8,20749.0,,1180.7,-7994.2,2575.8,-4415.0,,False,False,False,
Georgia,13246,14635.1,9716.2,15243.3,9418.0,,1389.1,-3529.8,1997.3,-3828.0,,False,False,False,
Hawaii,335,521.9,438.5,422.6,,,186.9,103.5,87.6,,,True,True,,
Idaho,1668,901.3,725.6,2060.1,984.0,,-766.7,-942.4,392.1,-684.0,,False,True,True,
Illinois,20645,11606.9,11245.3,19794.7,9882.0,,-9038.1,-9399.7,-850.3,-10763.0,,False,True,False,
Indiana,10950,4813.6,4610.8,8522.5,4738.0,,-6175.4,-6378.2,-2466.5,-6251.0,,False,True,False,
Iowa,4486,2239.3,3553.8,4854.7,2578.0,,-2246.7,-932.2,368.7,-1908.0,,True,True,True,
Kansas,3587,1116.4,1418.4,2964.1,807.0,,-2470.6,-2168.6,-622.9,-2780.0,,True,True,False,
Kentucky,3386,2326.4,2560.0,5166.3,1549.0,,-1059.6,-826.0,1780.3,-1837.0,,True,False,False,
Louisiana,8483,8309.9,6061.4,9736.4,7393.0,,-173.1,-2421.6,1253.4,-1090.0,,False,False,False,
Maine,544,173.7,168.0,638.0,241.0,,-370.3,-376.0,94.0,-303.0,,False,True,True,
Maryland,6837,4732.3,4929.0,8767.4,4247.0,,-2104.7,-1908.0,1930.4,-2590.0,,True,True,False,
Massachusetts,14064,10634.1,13432.4,14936.5,9647.0,,-3429.9,-631.6,872.5,-4417.0,,True,True,False,
Michigan,15181,7957.7,7865.3,13696.7,8233.0,,-7223.3,-7315.7,-1484.3,-6948.0,,False,True,True,
Minnesota,6131,2782.7,3133.1,6710.1,2725.0,,-3348.3,-2997.9,579.1,-3406.0,,True,True,False,
Mississippi,5752,5423.6,4111.6,4770.5,5420.0,,-328.4,-1640.4,-981.5,-332.0,,False,False,False,
Missouri,6841,4703.3,4473.2,6682.8,2698.0,,-2112.7,-2342.8,-133.2,-4118.0,,False,True,False,
Montana,1141,375.1,488.6,585.3,500.0,,-765.9,-652.4,-555.7,-641.0,,True,True,True,
Nebraska,1879,642.3,855.1,1943.0,712.0,,-1236.7,-1023.9,64.0,-1167.0,,True,True,True,
Nevada,4011,3116.6,2100.2,5236.5,2427.0,,-894.4,-1910.8,1225.5,-1584.0,,False,False,False,
New Hampshire,981,452.9,489.9,1262.8,481.0,,-528.1,-491.1,281.8,-500.0,,True,True,True,
New Jersey,20934,17021.6,16241.2,19827.7,16556.0,,-3912.4,-4692.8,-1106.3,-4378.0,,False,True,False,
New Mexico,3115,1458.3,1207.1,3284.6,1277.0,,-1656.7,-1907.9,169.6,-1838.0,,False,True,False,
New York,42134,34535.9,33582.1,44886.3,33564.0,,-7598.1,-8551.9,2752.3,-8570.0,,False,True,False,
North Carolina,8586,6821.7,6550.2,13308.9,6083.0,,-1764.3,-2035.8,4722.9,-2503.0,,False,False,False,
North Dakota,1436,434.0,808.9,676.7,345.0,,-1002.0,-627.1,-759.3,-1091.0,,True,True,False,
Ohio,16360,6840.4,6998.8,13707.1,7177.0,,-9783.6,-9625.2,-2916.9,-9447.0,,True,True,True,
Oklahoma,3231,1925.3,2256.9,3994.4,2163.0,,-1305.7,-974.1,763.4,-1068.0,,True,True,True,
Oregon,1877,937.7,913.2,4431.6,749.0,,-939.3,-963.8,2554.6,-1128.0,,False,False,False,
Pennsylvania,20454,9576.9,10114.1,19209.6,8781.0,,-10877.1,-10339.9,-1244.4,-11673.0,,True,True,False,
Rhode Island,2256,1233.7,1192.5,2380.3,1140.0,,-989.3,-1030.5,157.3,-1083.0,,False,True,False,
South Carolina,6479,6421.6,5817.0,7166.0,4799.0,,-57.4,-662.0,687.0,-1680.0,,False,False,False,
South Dakota,1696,292.1,744.6,707.7,389.0,,-1403.9,-951.4,-988.3,-1307.0,,True,True,True,
Tennessee,8819,4208.1,4210.3,7995.6,4374.0,,-4610.9,-4608.7,-823.4,-4445.0,,True,True,True,
Texas,34725,32935.3,21368.3,36810.3,29087.0,28674.0,-1493.7,-13060.7,2381.3,-5342.0,-5755.0,False,False,False,False
Utah,1582,719.9,990.3,2693.3,963.0,,-862.1,-591.7,1111.3,-619.0,,True,False,True,
Vermont,170,58.0,62.0,63.8,58.0,,-112.0,-108.0,-106.2,-112.0,,True,True,False,
Virginia,6079,4842.4,4880.5,11394.7,3718.0,,-1236.6,-1198.5,5315.7,-2361.0,,True,False,False,
Washington,4114,2906.1,2285.2,7029.6,2451.0,,-1212.9,-1833.8,2910.6,-1668.0,,False,False,False,
West Virginia,1872,944.0,2876.3,1804.8,512.0,,-928.0,1004.3,-67.2,-1360.0,,False,True,False,
Wisconsin,6184,2081.4,2489.9,5263.2,1909.0,,-4046.6,-3638.1,-864.8,-4219.0,,True,True,False,
Wyoming,571,141.3,72.3,165.2,104.0,,-429.7,-498.7,-405.8,-467.0,,False,True,False,
US,424834,306435.7,239612.9,466366.3,271700.0,224707.0,-118280.3,-185103.1,41650.3,-153016.0,-200009.0,False,True,False,False
