,actual_deaths,Baseline,IowaStateLW-STEM,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-IowaStateLW-STEM,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-IowaStateLW-STEM,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Alabama,6657,4864.6,4438.0,,3645.1,-1792.4,-2219.0,,-3011.9,False,,False
Alaska,259,236.0,,,174.9,-23.0,,,-84.1,,,False
Arizona,12170,7662.3,7457.0,,7100.4,-4507.7,-4713.0,,-5069.6,False,,False
Arkansas,4563,3149.0,3610.0,,2664.2,-1414.0,-953.0,,-1898.8,True,,False
California,36846,21110.7,20617.0,,20809.3,-15732.3,-16226.0,,-16033.7,False,,False
Colorado,5482,4044.3,3907.0,,3266.4,-1437.7,-1575.0,,-2215.6,False,,False
Connecticut,6819,5387.6,5274.0,,5033.5,-1431.4,-1545.0,,-1785.5,False,,False
Delaware,1036,913.4,889.0,,760.3,-122.6,-147.0,,-275.7,False,,False
District of Columbia,870,719.1,681.0,,670.8,-150.9,-189.0,,-199.2,False,,False
Florida,25164,21431.3,20666.0,,20801.8,-3732.7,-4498.0,,-4362.2,False,,False
Georgia,13246,12002.9,11296.0,,10206.6,-1243.1,-1950.0,,-3039.4,False,,False
Hawaii,335,231.9,,,261.3,-103.1,,,-73.7,,,True
Idaho,1668,1478.6,1590.0,,1285.6,-189.4,-78.0,,-382.4,True,,False
Illinois,20645,17312.9,17000.0,,12636.3,-3332.1,-3645.0,,-8008.7,False,,False
Indiana,9693,7679.9,8216.0,,6732.8,-2013.1,-1477.0,,-2960.2,True,,False
Iowa,4486,3408.4,3604.0,,3117.9,-1077.6,-882.0,,-1368.1,True,,False
Kansas,3587,2021.9,2176.0,,1970.9,-1493.1,-1339.0,,-1544.1,True,,False
Kentucky,3386,2607.3,2572.0,,2871.4,-778.7,-814.0,,-514.6,False,,True
Louisiana,8483,6958.9,6925.0,,7469.9,-1513.1,-1547.0,,-1002.1,False,,True
Maine,544,293.1,255.0,,251.7,-250.9,-289.0,,-292.3,False,,False
Maryland,6837,5189.1,4892.0,,5031.9,-1647.9,-1945.0,,-1805.1,False,,False
Massachusetts,14064,12103.3,12423.0,,11134.5,-1960.7,-1641.0,,-2929.5,True,,False
Michigan,15181,12624.4,12520.0,,11201.5,-2556.6,-2661.0,,-3979.5,False,,False
Minnesota,6131,5435.1,6294.0,,4789.6,-695.9,163.0,,-1341.4,True,,False
Mississippi,5752,4528.7,4704.0,,4564.3,-1223.3,-1048.0,,-1187.7,True,,True
Missouri,6811,5575.3,5602.0,,4037.1,-1242.7,-1216.0,,-2780.9,True,,False
Montana,1141,1150.9,1446.0,,783.4,9.9,305.0,,-357.6,False,,False
Nebraska,1879,1528.1,1785.0,,936.8,-350.9,-94.0,,-942.2,True,,False
Nevada,4011,2480.7,2408.0,,2498.7,-1530.3,-1603.0,,-1512.3,False,,True
New Hampshire,981,597.6,698.0,,583.9,-383.4,-283.0,,-397.1,True,,False
New Jersey,20934,17916.4,17593.0,,17543.3,-3017.6,-3341.0,,-3390.7,False,,False
New Mexico,3115,2171.1,2226.0,,1742.6,-943.9,-889.0,,-1372.4,True,,False
New York,42134,35303.6,35664.0,,34470.3,-6830.4,-6470.0,,-7663.7,True,,False
North Carolina,8586,6767.6,6467.0,,6304.1,-1818.4,-2119.0,,-2281.9,False,,False
North Dakota,1436,1692.1,2049.0,,1042.2,256.1,613.0,,-393.8,False,,False
Ohio,10680,7742.7,8842.0,,6852.4,-2937.3,-1838.0,,-3827.6,True,,False
Oklahoma,3231,2415.1,2697.0,,2068.5,-815.9,-534.0,,-1162.5,True,,False
Oregon,1877,1066.6,1158.0,,946.3,-810.4,-719.0,,-930.7,True,,False
Pennsylvania,20454,12099.3,11796.0,,11088.8,-8354.7,-8658.0,,-9365.2,False,,False
Rhode Island,2083,1549.7,1546.0,,1422.8,-533.3,-537.0,,-660.2,False,,False
South Carolina,6479,4861.1,4828.5,,5044.4,-1617.9,-1650.5,,-1434.6,False,,True
South Dakota,1696,1708.6,1828.0,,746.6,12.6,132.0,,-949.4,False,,False
Tennessee,8819,6830.4,7139.0,,6224.8,-1988.6,-1680.0,,-2594.2,True,,False
Texas,34725,28028.6,26510.0,,25458.8,-6318.4,-7837.0,,-8888.2,False,,False
Utah,1582,1299.6,1605.0,,1243.3,-282.4,23.0,,-338.7,True,,False
Vermont,170,59.0,70.0,,60.1,-111.0,-100.0,,-109.9,True,,True
Virginia,6079,4716.7,4746.0,,4573.2,-1362.3,-1333.0,,-1505.8,True,,False
Washington,4114,3307.6,3277.0,,3300.7,-820.4,-851.0,,-827.3,False,,False
West Virginia,1872,1350.9,1437.0,,1095.2,-521.1,-435.0,,-776.8,True,,False
Wisconsin,6184,4535.1,5072.0,,4648.0,-1648.9,-1112.0,,-1536.0,True,,True
Wyoming,571,439.7,425.0,,264.7,-131.3,-146.0,,-306.3,False,,False
US,417476,322304.1,323804.0,409258.1,339446.2,-94726.9,-93227.0,-7772.9,-77584.8,True,True,True
