,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Alabama,6657,5349.6,5451.4,9259.0,6088.4,6377.0,,6242.3,5942.0,7180.0,6158.9,5162.2,6437.5,5019.7,6457.0,,4766.5,6931.7,4617.5,-1307.4,-1205.6,2602.0,-568.6,-280.0,,-414.7,-715.0,523.0,-498.1,-1494.8,-219.5,-1637.3,-200.0,,-1890.5,274.7,-2039.5,True,False,True,True,,True,True,True,True,False,True,False,True,,False,True,False
Alaska,259,369.3,374.0,330.0,352.4,267.0,,292.4,,297.5,312.6,302.6,446.0,214.5,443.5,,324.3,396.2,226.5,110.3,115.0,71.0,93.4,8.0,,33.4,,38.5,53.6,43.6,187.0,-44.5,184.5,,65.3,137.2,-32.5,False,True,True,True,,True,,True,True,True,False,True,False,,True,False,True
Arizona,12170,9740.9,9703.8,11165.0,10298.5,8175.0,,9840.7,10027.0,11934.5,10287.4,9591.6,14562.5,8785.3,8895.5,,9156.4,10226.3,7936.7,-2429.1,-2466.2,-1005.0,-1871.5,-3995.0,,-2329.3,-2143.0,-235.5,-1882.6,-2578.4,2392.5,-3384.7,-3274.5,,-3013.6,-1943.7,-4233.3,False,True,True,False,,True,True,True,True,False,True,False,False,,False,True,False
Arkansas,4563,4614.3,4657.0,4392.0,3756.2,4164.0,,3702.7,4659.0,4556.8,3700.8,3654.3,4352.0,3337.4,4918.5,,4863.5,6255.5,3420.0,51.3,94.0,-171.0,-806.8,-399.0,,-860.3,96.0,-6.2,-862.2,-908.7,-211.0,-1225.6,355.5,,300.5,1692.5,-1143.0,False,False,False,False,,False,False,True,False,False,False,False,False,,False,False,False
California,36846,27553.1,27486.4,47893.0,30059.5,24728.0,,32607.6,28038.0,34605.2,36371.7,30023.5,35377.0,24427.7,71795.0,,27017.5,,22843.0,-9286.9,-9353.6,11053.0,-6780.5,-12112.0,,-4232.4,-8802.0,-2234.8,-468.3,-6816.5,-1463.0,-12412.3,34955.0,,-9822.5,,-13997.0,False,False,True,False,,True,True,True,True,True,True,False,False,,False,,False
Colorado,5482,7484.0,6953.7,5323.0,5740.6,5285.0,,5259.8,7715.0,6737.6,4860.2,5347.0,7329.0,5142.6,9130.5,,4987.6,5639.5,4434.9,2002.0,1471.7,-159.0,258.6,-197.0,,-222.2,2233.0,1255.6,-621.8,-135.0,1847.0,-339.4,3648.5,,-494.4,157.5,-1047.1,True,True,True,True,,True,False,True,True,True,True,True,False,,True,True,True
Connecticut,6819,6634.0,6666.2,7685.0,6797.6,5870.0,,7076.8,6786.0,7353.2,6911.6,6500.6,7325.5,5832.6,6953.5,,6160.6,7666.1,5513.5,-185.0,-152.8,866.0,-21.4,-949.0,,257.8,-33.0,534.2,92.6,-318.4,506.5,-986.4,134.5,,-658.4,847.1,-1305.5,True,False,True,False,,False,True,False,True,False,False,False,True,,False,False,False
Delaware,1254,950.7,1014.1,1066.0,1007.2,1028.0,,959.8,1082.0,1049.3,1090.8,1087.1,991.0,894.0,948.0,,1024.2,1089.1,872.5,-219.3,-155.9,-104.0,-162.8,-142.0,,-210.2,-88.0,-120.7,-79.2,-82.9,-179.0,-276.0,-222.0,,-145.8,-80.9,-297.5,True,True,True,True,,True,True,True,True,True,True,False,False,,True,True,False
District of Columbia,870,820.4,821.0,928.0,857.8,746.0,,823.3,814.0,889.9,860.4,817.2,862.0,752.5,1115.5,,778.3,857.5,742.0,-49.6,-49.0,58.0,-12.2,-124.0,,-46.7,-56.0,19.9,-9.6,-52.8,-8.0,-117.5,245.5,,-91.7,-12.5,-128.0,True,False,True,False,,True,False,True,True,False,True,False,False,,False,True,False
Florida,25164,23901.6,23991.3,25150.0,24830.1,23301.0,,24140.5,24148.0,26002.6,23624.1,26326.7,23821.0,23595.1,35785.5,,23559.8,,21681.6,-1262.4,-1172.7,-14.0,-333.9,-1863.0,,-1023.5,-1016.0,838.6,-1539.9,1162.7,-1343.0,-1568.9,10621.5,,-1604.2,,-3482.4,True,True,True,False,,True,True,True,False,True,False,False,False,,False,,False
Georgia,13246,11657.4,11768.0,16727.0,11795.5,13035.0,,13396.9,12579.0,13515.9,13679.1,11548.6,12066.0,11303.8,11562.5,,11436.7,,10743.4,-1588.6,-1478.0,3481.0,-1450.5,-211.0,,150.9,-667.0,269.9,433.1,-1697.4,-1180.0,-1942.2,-1683.5,,-1809.3,,-2502.6,True,False,True,True,,True,True,True,True,False,True,False,False,,False,,False
Hawaii,335,344.3,331.5,406.0,306.3,313.0,,348.0,,337.3,331.0,460.1,338.0,777.0,406.0,,298.0,593.9,303.3,9.3,-3.5,71.0,-28.7,-22.0,,13.0,,2.3,-4.0,125.1,3.0,442.0,71.0,,-37.0,258.9,-31.7,True,False,False,False,,False,,True,True,False,True,False,False,,False,False,False
Idaho,1668,1995.0,1990.6,2000.0,1691.6,1579.0,,1723.3,2071.0,2240.9,1736.9,1633.9,2316.0,2044.8,1831.0,,1804.9,2481.4,1423.3,327.0,322.6,332.0,23.6,-89.0,,55.3,403.0,572.9,68.9,-34.1,648.0,376.8,163.0,,136.9,813.4,-244.7,True,False,True,True,,True,False,False,True,True,False,False,True,,True,False,True
Illinois,20645,22502.3,22522.9,19106.0,19889.3,19367.0,,20713.8,22553.0,22648.5,18249.5,18636.1,22446.0,15483.9,24486.0,,20994.6,,17092.7,1857.3,1877.9,-1539.0,-755.7,-1278.0,,68.8,1908.0,2003.5,-2395.5,-2008.9,1801.0,-5161.1,3841.0,,349.6,,-3552.3,False,True,True,True,,True,False,False,False,False,True,False,False,,True,,False
Indiana,10950,10102.6,10062.5,9185.0,9708.9,9000.0,,9391.0,10527.0,11118.6,8845.6,8437.6,10228.5,10956.7,12259.5,,9368.9,11745.8,7377.1,36.6,-3.5,-881.0,-357.1,-1066.0,,-675.0,461.0,1052.6,-1220.4,-1628.4,162.5,890.7,2193.5,,-697.1,1679.8,-2688.9,True,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False
Iowa,4486,6090.7,6364.1,3784.0,3685.1,4167.0,,3654.5,5931.0,4268.7,3183.8,3862.9,3377.0,5234.6,7164.0,,4264.4,4566.5,3866.6,1604.7,1878.1,-702.0,-800.9,-319.0,,-831.5,1445.0,-217.3,-1302.2,-623.1,-1109.0,748.6,2678.0,,-221.6,80.5,-619.4,False,True,True,True,,True,True,True,True,True,True,True,False,,True,True,True
Kansas,3587,3747.1,3788.6,2982.0,3013.2,3775.0,,3777.2,3981.0,4106.5,2668.4,2594.2,3257.0,2567.8,5725.0,,3244.4,4337.7,2233.6,160.1,201.6,-605.0,-573.8,188.0,,190.2,394.0,519.5,-918.6,-992.8,-330.0,-1019.2,2138.0,,-342.6,750.7,-1353.4,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False
