,total_deaths_2020-12-20,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IBF-TimeSeries,322695,419320.0,424834,101652.0,102139,-487.0,-0.5%
IowaStateLW-STEM,322695,420917.0,424834,103249.0,102139,1110.0,1.1%
LANL-GrowthRate,322695,422125.5,424834,104457.5,102139,2318.5,2.3%
QJHong-Encounter,322695,416426.3,424834,98758.3,102139,-3380.7,-3.3%
Karlen-pypm,322695,425066.0,424834,107398.0,102139,5259.0,5.1%
IHME-CurveFit,322695,430628.6,424834,112960.6,102139,10821.6,10.6%
COVIDhub-baseline,322695,407440.1,424834,89772.1,102139,-12366.9,-12.1%
JHUAPL-Bucky,322695,406955.6,424834,89287.6,102139,-12851.4,-12.6%
Baseline,322695,406918.0,424834,89250.0,102139,-12889.0,-12.6%
Covid19Sim-Simulator,322695,403602.7,424834,85934.7,102139,-16204.3,-15.9%
PSI-DRAFT,322695,401433.5,424834,83765.5,102139,-18373.5,-18.0%
CovidAnalytics-DELPHI,322695,400747.0,424834,83079.0,102139,-19060.0,-18.7%
UCLA-SuEIR,322695,400298.9,424834,82630.9,102139,-19508.1,-19.1%
JCB-PRM,322695,441414.4,424834,123746.4,102139,21607.4,21.2%
JHU_IDD-CovidSP,322695,441724.6,424834,124056.6,102139,21917.6,21.5%
Columbia_UNC-SurvCon,322695,455250.0,424834,137582.0,102139,35443.0,34.7%
UCM_MESALab-FoGSEIR,322695,474512.0,424834,156844.0,102139,54705.0,53.6%
AIpert-pwllnod,322695,487659.3,424834,169991.3,102139,67852.3,66.4%
WalmartLabsML-LogForecasting,322695,343155.6,424834,25487.6,102139,-76651.4,-75.0%
Wadhwani_AI-BayesOpt,322695,,424834,,102139,,
