,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,6657,4241.7,5200.9,3890.0,,3798.3,-2415.3,-1456.1,-2767.0,,-2858.7,True,False,,False
Alaska,259,260.9,326.5,,,154.7,1.9,67.5,,,-104.3,False,,,False
Arizona,12170,7224.0,7405.9,6491.0,,7382.8,-4946.0,-4764.1,-5679.0,,-4787.2,True,False,,True
Arkansas,4563,3689.1,3819.3,3614.0,,2916.1,-873.9,-743.7,-949.0,,-1646.9,True,False,,False
California,36846,21382.3,23683.5,20556.0,,20516.9,-15462.7,-13161.5,-16289.0,,-16328.1,True,False,,False
Colorado,5482,3058.7,4607.3,2932.0,,2821.0,-2423.3,-874.7,-2550.0,,-2661.0,True,False,,False
Connecticut,6819,5078.4,5987.9,4867.0,,4795.5,-1740.6,-831.1,-1952.0,,-2023.5,True,False,,False
Delaware,1254,1053.9,889.6,829.0,,738.4,-172.1,-336.4,-397.0,,-487.6,False,False,,False
District of Columbia,870,693.4,744.9,674.0,,662.6,-176.6,-125.1,-196.0,,-207.4,True,False,,False
Florida,25164,21057.6,25460.8,20606.0,,19055.4,-4106.4,296.8,-4558.0,,-6108.6,True,False,,False
Georgia,13246,10020.4,11250.9,10162.0,,9642.7,-3225.6,-1995.1,-3084.0,,-3603.3,True,True,,False
Hawaii,335,302.0,464.5,,,241.2,-33.0,129.5,,,-93.8,False,,,False
Idaho,1668,1305.9,1384.3,1185.0,,1091.3,-362.1,-283.7,-483.0,,-576.7,True,False,,False
Illinois,20645,13632.1,20748.8,13062.0,,11436.5,-7012.9,103.8,-7583.0,,-9208.5,True,False,,False
Indiana,10950,7138.6,9448.6,6675.0,,5614.2,-3631.4,-1321.4,-4095.0,,-5155.8,True,False,,False
Iowa,4486,2895.0,4023.3,2858.0,,2253.4,-1591.0,-462.7,-1628.0,,-2232.6,True,False,,False
Kansas,3587,1843.1,3256.6,1962.0,,1432.1,-1739.9,-326.4,-1621.0,,-2150.9,True,True,,False
Kentucky,3386,2461.3,3290.7,2604.0,,2369.9,-924.7,-95.3,-782.0,,-1016.1,True,True,,False
Louisiana,8483,6981.3,7098.3,6898.0,,7424.7,-1501.7,-1384.7,-1585.0,,-1058.3,True,False,,True
Maine,544,158.9,181.0,244.0,,156.0,-385.1,-363.0,-300.0,,-388.0,True,True,,False
Maryland,6837,4816.0,5040.3,4518.0,25941.0,4661.1,-2021.0,-1796.7,-2319.0,19104.0,-2175.9,True,False,False,False
Massachusetts,14064,11779.7,13478.7,11285.0,,10913.8,-2284.3,-585.3,-2779.0,,-3150.2,True,False,,False
Michigan,15181,9797.7,15195.6,10176.0,,8523.0,-5383.3,14.6,-5005.0,,-6658.0,True,True,,False
Minnesota,6131,4034.9,5582.4,4453.0,,3613.7,-2096.1,-548.6,-1678.0,,-2517.3,True,True,,False
Mississippi,5752,4450.7,4402.5,4180.0,,4392.8,-1301.3,-1349.5,-1572.0,,-1359.2,False,False,,False
Missouri,6841,5622.9,7251.0,4946.0,,4169.1,-1200.1,428.0,-1877.0,,-2653.9,True,False,,False
Montana,1141,1312.7,1523.6,1384.0,,986.7,171.7,382.6,243.0,,-154.3,False,False,,True
Nebraska,1879,1341.7,1766.5,1309.0,,962.9,-537.3,-112.5,-570.0,,-916.1,True,False,,False
Nevada,4011,2168.3,2575.6,2126.0,,2528.3,-1838.7,-1431.4,-1881.0,,-1478.7,True,False,,True
New Hampshire,981,601.6,819.3,670.0,,561.6,-379.4,-161.7,-311.0,,-419.4,True,True,,False
New Jersey,20934,17172.1,17869.1,17014.0,,16773.3,-3761.9,-3064.9,-3920.0,,-4160.7,True,False,,False
