,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,6657,3461.9,3495.1,3446.0,,-3195.1,-3161.9,-3211.0,,True,False,
Alaska,259,89.7,218.3,,,-169.3,-40.7,,,True,,
Arizona,12170,7022.1,8099.4,6663.5,,-5147.9,-4070.6,-5506.5,,True,False,
Arkansas,4563,3280.3,4059.6,3437.0,,-1282.7,-503.4,-1126.0,,True,True,
California,36846,24725.7,22948.7,20786.0,,-12120.3,-13897.3,-16060.0,,False,False,
Colorado,5482,2496.1,2914.9,2424.0,,-2985.9,-2567.1,-3058.0,,True,False,
Connecticut,6819,4703.3,4869.6,4685.0,,-2115.7,-1949.4,-2134.0,,True,False,
Delaware,1036,835.3,886.4,712.0,,-200.7,-149.6,-324.0,,True,False,
District of Columbia,870,742.0,691.5,660.0,,-128.0,-178.5,-210.0,,False,False,
Florida,25164,24803.7,23045.7,20109.5,,-360.3,-2118.3,-5054.5,,False,False,
Georgia,13246,10587.1,9852.2,9476.0,,-2658.9,-3393.8,-3770.0,,False,False,
Hawaii,335,536.6,255.2,,,201.6,-79.8,,,True,,
Idaho,1668,830.9,1163.8,804.0,,-837.1,-504.2,-864.0,,True,False,
Illinois,20645,12132.1,11179.7,10874.0,,-8512.9,-9465.3,-9771.0,,False,False,
Indiana,9693,5164.6,5799.4,4975.0,,-4528.4,-3893.6,-4718.0,,True,False,
Iowa,4486,2512.9,2590.8,2185.0,,-1973.1,-1895.2,-2301.0,,True,False,
Kansas,3587,1562.1,1527.6,1160.0,,-2016.9,-2051.4,-2419.0,,False,False,
Kentucky,3386,2033.6,2146.5,1966.0,,-1352.4,-1239.5,-1420.0,,True,False,
Louisiana,8483,7353.0,6585.7,6762.0,,-1130.0,-1897.3,-1721.0,,False,False,
Maine,544,173.7,180.3,195.0,,-370.3,-363.7,-349.0,,True,True,
Maryland,6837,4322.7,4615.1,4291.0,,-2514.3,-2221.9,-2546.0,,True,False,
Massachusetts,14064,11190.9,17412.4,10294.0,,-2873.1,3348.4,-3770.0,,False,False,
Michigan,15181,8392.6,8474.7,7974.0,,-6788.4,-6706.3,-7207.0,,True,False,
Minnesota,6131,3290.6,3100.3,3140.0,,-2840.4,-3030.7,-2991.0,,False,False,
Mississippi,5752,4503.6,4511.2,4563.0,,-1248.4,-1240.8,-1189.0,,True,True,
Missouri,6811,4295.0,5346.5,3934.0,,-2529.0,-1477.5,-2890.0,,True,False,
Montana,1141,409.0,1581.1,433.0,,-732.0,440.1,-708.0,,True,True,
Nebraska,1879,992.6,1124.8,777.0,,-886.4,-754.2,-1102.0,,True,False,
Nevada,4011,2225.6,2974.0,2013.0,,-1785.4,-1037.0,-1998.0,,True,False,
New Hampshire,981,506.4,508.5,506.0,,-474.6,-472.5,-475.0,,True,False,
New Jersey,20934,16611.7,17413.4,16530.5,,-4322.3,-3520.6,-4403.5,,True,False,
New Mexico,3115,1240.9,2062.5,1140.0,,-1874.1,-1052.5,-1975.0,,True,False,
New York,42134,34378.4,45154.7,33680.0,,-7571.6,3204.7,-8270.0,,True,False,
North Carolina,8586,6694.4,6935.8,6049.0,,-1891.6,-1650.2,-2537.0,,True,False,
North Dakota,1436,955.9,1228.2,779.0,,-480.1,-207.8,-657.0,,True,False,
Ohio,10680,7842.7,7049.4,6173.5,,-2837.3,-3630.6,-4506.5,,False,False,
Oklahoma,3231,1764.6,2195.6,1914.0,,-1466.4,-1035.4,-1317.0,,True,True,
Oregon,1877,1031.9,934.0,814.0,,-845.1,-943.0,-1063.0,,False,False,
Pennsylvania,20454,9923.4,11000.7,9527.0,,-10530.6,-9453.3,-10927.0,,True,False,
Rhode Island,2083,1292.4,1573.9,1247.0,,-790.6,-509.1,-836.0,,True,False,
South Carolina,6479,5466.9,4674.6,4691.0,,-1012.1,-1804.4,-1788.0,,False,False,
South Dakota,1696,723.7,939.9,477.0,,-972.3,-756.1,-1219.0,,True,False,
Tennessee,8819,5748.4,5192.0,4456.0,,-3070.6,-3627.0,-4363.0,,False,False,
Texas,34725,25437.9,27910.2,24312.0,32965.0,-9006.1,-6533.8,-10132.0,-1479.0,True,False,True
Utah,1582,874.4,1155.0,671.0,,-707.6,-427.0,-911.0,,True,False,
Vermont,170,58.0,67.4,58.0,,-112.0,-102.6,-112.0,,True,False,
Virginia,6079,5061.9,5160.5,4320.0,,-1014.1,-915.5,-1756.0,,True,False,
Washington,4114,2808.0,7096.2,2525.0,,-1321.0,2967.2,-1604.0,,False,False,
West Virginia,1872,760.4,742.1,753.0,,-1111.6,-1129.9,-1119.0,,False,False,
Wisconsin,6184,2899.3,3728.5,2363.0,,-3208.7,-2379.5,-3745.0,,True,False,
Wyoming,571,100.6,697.0,95.0,,-470.4,126.0,-476.0,,True,False,
US,417476,288451.7,311744.2,274439.0,277492.0,-128498.3,-105205.8,-142511.0,-139458.0,True,False,False
