,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,6657,4506.3,3651.8,5445.1,3343.0,,3411.1,-2150.7,-3005.2,-1211.9,-3314.0,,-3245.9,False,True,False,,False
Alaska,259,164.0,265.0,172.9,,,95.1,-95.0,6.0,-86.1,,,-163.9,True,True,,,False
Arizona,12170,6769.3,6712.5,8243.3,6283.0,,6689.9,-5400.7,-5457.5,-3926.7,-5887.0,,-5480.1,False,True,False,,False
Arkansas,4563,3574.7,2980.4,3729.6,3789.0,,2673.9,-988.3,-1582.6,-833.4,-774.0,,-1889.1,False,True,True,,False
California,36846,22521.9,21343.9,32432.0,19694.0,,20946.1,-14324.1,-15502.1,-4414.0,-17152.0,,-15899.9,False,True,False,,False
Colorado,5482,3049.0,3172.4,5969.0,2594.0,,2309.7,-2433.0,-2309.6,487.0,-2888.0,,-3172.3,True,True,False,,False
Connecticut,6819,4708.3,4816.4,5316.1,4680.0,,4617.2,-2110.7,-2002.6,-1502.9,-2139.0,,-2201.8,True,True,False,,False
Delaware,1254,817.4,811.0,1097.9,739.0,,725.8,-413.6,-420.0,-133.1,-492.0,,-505.2,False,True,False,,False
District of Columbia,870,696.4,701.9,971.0,662.0,,661.1,-173.6,-168.1,101.0,-208.0,,-208.9,True,True,False,,False
Florida,25164,24322.9,21953.3,27951.5,19522.0,,20771.0,-841.1,-3210.7,2787.5,-5642.0,,-4393.0,False,False,False,,False
Georgia,13246,10714.3,9287.3,11895.1,9375.0,,9921.2,-2531.7,-3958.7,-1350.9,-3871.0,,-3324.8,False,True,False,,False
Hawaii,335,436.4,410.5,659.0,,,242.6,101.4,75.5,324.0,,,-92.4,True,False,,,True
Idaho,1668,819.0,1026.4,1595.9,813.0,,806.4,-849.0,-641.6,-72.1,-855.0,,-861.6,True,True,False,,False
Illinois,20645,12855.1,13368.0,17661.0,11477.0,,11083.5,-7789.9,-7277.0,-2984.0,-9168.0,,-9561.5,True,True,False,,False
Indiana,10950,5987.9,6321.0,8575.8,5092.0,,4740.0,-4844.1,-4511.0,-2256.2,-5740.0,,-6092.0,True,True,False,,False
Iowa,4486,2502.0,2700.5,3735.8,2349.0,,2240.8,-1984.0,-1785.5,-750.2,-2137.0,,-2245.2,True,True,False,,False
Kansas,3587,2036.9,1684.4,3067.4,1446.0,,1440.9,-1550.1,-1902.6,-519.6,-2141.0,,-2146.1,False,True,False,,False
Kentucky,3386,2232.6,2246.0,3743.7,1958.0,,2208.7,-1153.4,-1140.0,357.7,-1428.0,,-1177.3,True,True,False,,False
Louisiana,8483,7066.4,6511.5,8286.5,6596.0,,7401.0,-1416.6,-1971.5,-196.5,-1887.0,,-1082.0,False,True,False,,True
Maine,544,187.6,163.2,176.8,194.0,,153.9,-356.4,-380.8,-367.2,-350.0,,-390.1,False,False,True,,False
Maryland,6837,4563.6,4436.0,4978.6,4288.0,18889.0,4288.5,-2273.4,-2401.0,-1858.4,-2549.0,12052.0,-2548.5,False,True,False,False,False
Massachusetts,14064,11580.0,11464.1,13331.4,10753.0,,10264.9,-2484.0,-2599.9,-732.6,-3311.0,,-3799.1,False,True,False,,False
Michigan,15181,9016.7,9221.2,12266.2,8348.0,,7918.0,-6164.3,-5959.8,-2914.8,-6833.0,,-7263.0,True,True,False,,False
Minnesota,6131,3575.7,3694.3,5327.6,3575.0,,3245.3,-2555.3,-2436.7,-803.4,-2556.0,,-2885.7,True,True,False,,False
Mississippi,5752,4141.0,4120.1,4590.3,4174.0,,4093.4,-1611.0,-1631.9,-1161.7,-1578.0,,-1658.6,False,True,True,,False
Missouri,6841,4920.0,5229.9,5293.3,4629.0,,3123.1,-1904.0,-1594.1,-1530.7,-2195.0,,-3700.9,True,True,False,,False
Montana,1141,670.6,1013.9,740.5,666.0,,475.6,-470.4,-127.1,-400.5,-475.0,,-665.4,True,True,False,,False
Nebraska,1879,949.9,1161.8,1877.2,846.0,,631.4,-929.1,-717.2,-1.8,-1033.0,,-1247.6,True,True,False,,False
Nevada,4011,2389.0,2533.5,2527.7,2078.0,,2627.2,-1622.0,-1477.5,-1483.3,-1933.0,,-1383.8,True,True,False,,True
New Hampshire,981,604.6,668.6,1944.5,577.0,,517.3,-376.4,-312.4,963.5,-404.0,,-463.7,True,False,False,,False
New Jersey,20934,16723.7,16901.5,16575.2,16475.0,,16482.3,-4210.3,-4032.5,-4358.8,-4459.0,,-4451.7,True,False,False,,False
New Mexico,3115,1252.7,2033.3,1827.2,1131.0,,1061.4,-1862.3,-1081.7,-1287.8,-1984.0,,-2053.6,True,True,False,,False
New York,42134,34230.0,34031.0,40290.8,33818.0,,33800.0,-7702.0,-7901.0,-1641.2,-8114.0,,-8132.0,False,True,False,,False
