,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,6657,5393.0,6085.6,5852.0,5434.8,5471.0,5433.0,5715.0,5413.0,5781.1,5523.0,5847.3,5974.0,5501.7,5693.8,5890.9,,5907.0,6032.2,5855.9,5975.4,5582.5,5546.5,5506.4,5710.0,5813.7,5698.3,5927.2,5921.0,,5616.0,5464.1,5748.0,6256.2,5413.0,5304.6,,5807.1,5815.2,5672.0,5364.2,5399.0,5837.4,5247.0,5733.9,-1264.0,-571.4,-805.0,-1222.2,-1186.0,-1224.0,-942.0,-1244.0,-875.9,-1134.0,-809.7,-683.0,-1155.3,-963.2,-766.1,,-750.0,-624.8,-801.1,-681.6,-1074.5,-1110.5,-1150.6,-947.0,-843.3,-958.7,-729.8,-736.0,,-1041.0,-1192.9,-909.0,-400.8,-1244.0,-1352.4,,-849.9,-841.8,-985.0,-1292.8,-1258.0,-819.6,-1410.0,-923.1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,False,True,True,False,True
Alaska,259,257.9,246.3,272.8,274.5,243.0,260.0,252.0,228.0,241.8,232.0,273.1,252.0,255.1,243.2,263.5,,,235.9,295.6,239.6,244.0,243.0,252.4,349.0,260.4,258.2,251.2,260.0,,,247.6,241.0,279.7,245.0,279.7,,242.7,279.9,254.0,248.6,233.0,267.5,242.2,278.6,-1.1,-12.7,13.8,15.5,-16.0,1.0,-7.0,-31.0,-17.2,-27.0,14.1,-7.0,-3.9,-15.8,4.5,,,-23.1,36.6,-19.4,-15.0,-16.0,-6.6,90.0,1.4,-0.8,-7.8,1.0,,,-11.4,-18.0,20.7,-14.0,20.7,,-16.3,20.9,-5.0,-10.4,-26.0,8.5,-16.8,19.6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,True,False,True,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
Arizona,12170,10872.4,11175.8,10757.3,10977.0,10855.0,10971.8,10941.0,10645.0,10742.1,10545.0,11016.7,9750.0,11250.8,11317.6,11090.4,,10767.0,10269.2,11304.8,11232.0,10824.0,11147.9,10483.4,10734.0,11280.6,10896.7,11430.0,11868.0,,10573.4,10622.2,10947.0,11895.5,10944.0,10724.3,,10768.9,11332.2,11372.0,11232.6,10918.0,11018.2,9626.2,10948.4,-1297.6,-994.2,-1412.7,-1193.0,-1315.0,-1198.2,-1229.0,-1525.0,-1427.9,-1625.0,-1153.3,-2420.0,-919.2,-852.4,-1079.6,,-1403.0,-1900.8,-865.2,-938.0,-1346.0,-1022.1,-1686.6,-1436.0,-889.4,-1273.3,-740.0,-302.0,,-1596.6,-1547.8,-1223.0,-274.5,-1226.0,-1445.7,,-1401.1,-837.8,-798.0,-937.4,-1252.0,-1151.8,-2543.8,-1221.6,True,False,True,False,True,True,False,False,False,True,False,True,True,True,,False,False,True,True,False,True,False,False,True,True,True,True,,False,False,True,True,True,False,,False,True,True,True,True,True,False,True
Arkansas,4563,4511.9,4600.6,4629.5,4579.3,4380.0,4593.0,4564.0,4357.0,4585.3,4599.0,4704.6,4511.0,4550.6,4672.4,4728.1,,4554.0,4699.5,4415.0,4653.7,4456.0,4480.8,4275.7,4315.0,4601.8,4561.1,4727.2,4828.0,,4466.4,4320.9,4660.0,4624.9,4555.0,4615.6,,4287.6,4633.2,4405.0,4645.9,4645.0,4528.0,4109.1,4381.8,-51.1,37.6,66.5,16.3,-183.0,30.0,1.0,-206.0,22.3,36.0,141.6,-52.0,-12.4,109.4,165.1,,-9.0,136.5,-148.0,90.7,-107.0,-82.2,-287.3,-248.0,38.8,-1.9,164.2,265.0,,-96.6,-242.1,97.0,61.9,-8.0,52.6,,-275.4,70.2,-158.0,82.9,82.0,-35.0,-453.9,-181.2,True,False,True,False,True,True,False,True,True,False,False,True,False,False,,True,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,False,True,False,,False,False,False,False,False,True,False,False
California,36846,33369.4,35614.2,31989.1,33673.3,34637.0,33513.8,33692.0,30989.0,34354.9,32100.0,35599.9,33141.0,32955.1,34898.7,34464.6,,33804.0,30930.1,34578.0,34379.4,32583.0,34016.5,28925.8,33340.0,34307.4,32790.8,34287.5,33813.0,,30569.3,33076.7,33784.0,38083.6,33121.0,33027.2,,34211.2,34418.8,33710.0,36002.8,33387.0,,28276.8,33895.6,-3476.6,-1231.8,-4856.9,-3172.7,-2209.0,-3332.2,-3154.0,-5857.0,-2491.1,-4746.0,-1246.1,-3705.0,-3890.9,-1947.3,-2381.4,,-3042.0,-5915.9,-2268.0,-2466.6,-4263.0,-2829.5,-7920.2,-3506.0,-2538.6,-4055.2,-2558.5,-3033.0,,-6276.7,-3769.3,-3062.0,1237.6,-3725.0,-3818.8,,-2634.8,-2427.2,-3136.0,-843.2,-3459.0,,-8569.2,-2950.4,True,False,True,True,True,True,False,True,False,True,False,False,True,True,,True,False,True,True,False,True,False,False,True,False,True,True,,False,False,True,True,False,False,,True,True,True,True,True,,False,True
Colorado,5482,5859.7,5789.4,5840.3,5857.4,5690.0,5871.8,5640.0,5257.0,5594.2,5522.0,5847.5,5666.0,5660.3,5800.7,5676.4,,5835.0,5572.5,5524.3,5602.1,5525.0,5597.2,5975.5,5694.0,5955.3,5678.8,5691.5,5902.0,,5399.6,5390.2,5658.0,5030.6,5515.0,5845.0,,5622.9,5968.9,5518.0,5565.3,5510.0,5609.8,5337.2,5366.5,377.7,307.4,358.3,375.4,208.0,389.8,158.0,-225.0,112.2,40.0,365.5,184.0,178.3,318.7,194.4,,353.0,90.5,42.3,120.1,43.0,115.2,493.5,212.0,473.3,196.8,209.5,420.0,,-82.4,-91.8,176.0,-451.4,33.0,363.0,,140.9,486.9,36.0,83.3,28.0,127.8,-144.8,-115.5,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,False,True,True,False,,True,True,True,False,True,True,,True,False,True,True,True,True,True,True
Connecticut,6819,6979.0,6647.0,6833.4,6979.5,6671.0,7023.0,6776.0,6978.0,6739.4,6398.0,6622.9,6350.0,6697.6,7004.6,6860.7,,6719.0,6627.4,6890.8,6809.9,6606.0,6728.7,6625.3,6770.0,6964.0,6853.9,6794.2,6776.5,,6546.2,6452.1,6808.0,6376.8,6578.0,6930.4,,6621.1,7010.6,6745.0,6892.2,6658.0,6701.0,6245.4,,160.0,-172.0,14.4,160.5,-148.0,204.0,-43.0,159.0,-79.6,-421.0,-196.1,-469.0,-121.4,185.6,41.7,,-100.0,-191.6,71.8,-9.1,-213.0,-90.3,-193.7,-49.0,145.0,34.9,-24.8,-42.5,,-272.8,-366.9,-11.0,-442.2,-241.0,111.4,,-197.9,191.6,-74.0,73.2,-161.0,-118.0,-573.6,,False,True,False,True,False,True,True,True,False,False,False,True,False,True,,True,False,True,True,False,True,False,True,True,True,True,True,,False,False,True,False,False,True,,False,False,True,True,False,True,False,
Delaware,1036,1024.3,1065.7,1059.9,1033.1,1036.0,1035.0,1043.0,1004.0,1039.8,983.0,1048.9,1048.0,1006.9,1053.7,1059.0,,1117.0,991.8,1096.2,1045.3,1000.0,1007.4,986.6,1079.0,1040.1,1079.9,1055.1,1061.0,,,984.7,1047.0,1125.8,1012.0,976.7,,1072.3,1078.9,1043.0,1007.4,988.0,1086.2,974.8,1048.1,-11.7,29.7,23.9,-2.9,0.0,-1.0,7.0,-32.0,3.8,-53.0,12.9,12.0,-29.1,17.7,23.0,,81.0,-44.2,60.2,9.3,-36.0,-28.6,-49.4,43.0,4.1,43.9,19.1,25.0,,,-51.3,11.0,89.8,-24.0,-59.3,,36.3,42.9,7.0,-28.6,-48.0,50.2,-61.2,12.1,False,False,True,True,True,True,False,True,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,True,False,False,False,,,False,True,False,False,False,,False,False,True,False,False,False,False,False
District of Columbia,870,868.3,866.6,875.3,872.0,863.0,882.0,875.0,852.0,885.1,871.0,857.0,810.0,871.6,881.3,881.5,,877.0,868.6,880.3,875.5,861.0,845.1,894.0,884.0,,,874.7,890.0,,,885.9,884.0,871.4,878.0,850.3,,952.5,,863.0,,877.0,943.1,814.2,875.7,-1.7,-3.4,5.3,2.0,-7.0,12.0,5.0,-18.0,15.1,1.0,-13.0,-60.0,1.6,11.3,11.5,,7.0,-1.4,10.3,5.5,-9.0,-24.9,24.0,14.0,,,4.7,20.0,,,15.9,14.0,1.4,8.0,-19.7,,82.5,,-7.0,,7.0,73.1,-55.8,5.7,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,False,True,False,False,False,False,False,False,,,False,False,,,False,False,True,False,False,,False,,False,,False,False,False,False
Florida,25164,24201.3,23873.2,24225.0,24168.5,24160.0,24155.3,24363.0,23400.0,24455.3,23731.0,24282.2,24372.0,24020.4,24842.7,25150.7,,23824.0,24058.7,27322.8,24824.7,24701.5,24272.9,24605.5,24168.0,24316.2,24513.8,24756.8,24503.5,,23758.4,23731.5,24382.0,27823.3,24428.0,24063.6,,24092.3,24354.5,24807.0,24155.5,24563.0,,23074.9,24560.5,-962.7,-1290.8,-939.0,-995.5,-1004.0,-1008.7,-801.0,-1764.0,-708.7,-1433.0,-881.8,-792.0,-1143.6,-321.3,-13.3,,-1340.0,-1105.3,2158.8,-339.3,-462.5,-891.1,-558.5,-996.0,-847.8,-650.2,-407.2,-660.5,,-1405.6,-1432.5,-782.0,2659.3,-736.0,-1100.4,,-1071.7,-809.5,-357.0,-1008.5,-601.0,,-2089.1,-603.5,False,True,False,False,False,True,False,True,False,True,True,False,True,True,,False,False,False,True,True,True,True,False,True,True,True,True,,False,False,True,False,True,False,,False,True,True,False,True,,False,True
