,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,6657,4519.9,4492.3,7408.0,5763.5,,5158.0,6053.1,5488.6,,4232.9,4936.4,4074.3,-2137.1,-2164.7,751.0,-893.5,,-1499.0,-603.9,-1168.4,,-2424.1,-1720.6,-2582.7,False,True,True,,True,True,True,,False,True,False
Alaska,259,262.4,273.1,193.0,414.3,,,315.3,148.7,,330.7,291.7,151.5,3.4,14.1,-66.0,155.3,,,56.3,-110.3,,71.7,32.7,-107.5,False,False,False,,,False,False,,False,False,False
Arizona,12170,7969.7,7960.4,17151.0,11287.8,,8086.0,10023.4,11543.8,,7650.0,10160.9,7218.2,-4200.3,-4209.6,4981.0,-882.2,,-4084.0,-2146.6,-626.2,,-4520.0,-2009.1,-4951.8,False,False,True,,True,True,True,,False,True,False
Arkansas,4563,3357.9,3344.8,4295.0,4334.1,,3814.0,4221.3,3782.9,,3700.5,3137.0,2887.1,-1205.1,-1218.2,-268.0,-228.9,,-749.0,-341.7,-780.1,,-862.5,-1426.0,-1675.9,False,True,True,,True,True,True,,True,False,False
California,36846,22490.3,22667.1,67679.0,27247.7,,23075.0,26692.5,34007.9,,22846.2,31674.0,21024.7,-14354.7,-14177.9,30834.0,-9597.3,,-13770.0,-10152.5,-2837.1,,-13998.8,-5171.0,-15820.3,True,False,True,,True,True,True,,True,True,False
Colorado,5482,4550.9,4550.3,4876.0,7424.9,,4952.0,7162.9,5257.4,,4164.9,8342.2,3327.5,-931.1,-931.7,-606.0,1942.9,,-530.0,1680.9,-224.6,,-1317.1,2860.2,-2154.5,False,True,False,,True,False,True,,False,False,False
Connecticut,6819,6006.0,6033.7,5713.0,6872.3,,5933.0,6710.3,5939.1,,5307.7,8822.3,5055.1,-813.0,-785.3,-1106.0,53.3,,-886.0,-108.7,-879.9,,-1511.3,2003.3,-1763.9,True,False,True,,False,True,False,,False,False,False
Delaware,1036,942.9,909.3,1725.0,1097.8,,925.0,1014.9,994.5,,928.3,1564.4,830.7,-93.1,-126.7,689.0,61.8,,-111.0,-21.1,-41.5,,-107.7,528.4,-205.3,False,False,True,,False,True,True,,False,False,False
District of Columbia,870,758.6,745.9,911.0,826.3,,772.0,819.2,810.2,,702.0,1270.9,695.9,-111.4,-124.1,41.0,-43.7,,-98.0,-50.8,-59.8,,-168.0,400.9,-174.1,False,True,True,,True,True,True,,False,False,False
Florida,25164,22499.3,22540.9,25852.0,23137.7,,21686.0,24798.3,23802.1,,22828.5,24663.0,20580.8,-2664.7,-2623.1,688.0,-2026.3,,-3478.0,-365.7,-1361.9,,-2335.5,-501.0,-4583.2,True,True,True,,False,True,True,,True,True,False
Georgia,13246,11359.1,11390.6,9348.0,13163.0,,11612.0,13238.5,10258.1,,11496.9,12197.2,10348.5,-1886.9,-1855.4,-3898.0,-83.0,,-1634.0,-7.5,-2987.9,,-1749.1,-1048.8,-2897.5,True,False,True,,True,True,False,,True,True,False
Hawaii,335,330.4,313.0,269.0,306.0,,,242.8,249.8,,287.5,280.1,270.6,-4.6,-22.0,-66.0,-29.0,,,-92.2,-85.2,,-47.5,-54.9,-64.4,False,False,False,,,False,False,,False,False,False
Idaho,1668,1477.9,1441.0,1878.0,2048.0,,1622.0,2169.8,1484.2,,1283.3,1372.0,1121.0,-190.1,-227.0,210.0,380.0,,-46.0,501.8,-183.8,,-384.7,-296.0,-547.0,False,False,False,,True,False,True,,False,False,False
Illinois,20645,19419.1,19934.3,16810.0,24302.4,,19289.0,24941.4,17365.4,,19838.9,25179.2,14382.5,-1225.9,-710.7,-3835.0,3657.4,,-1356.0,4296.4,-3279.6,,-806.1,4534.2,-6262.5,True,False,False,,False,False,False,,True,False,False
Indiana,9693,8670.7,8999.2,10396.0,12028.2,,9113.0,12581.6,8961.9,,9012.5,12226.2,6186.5,-1022.3,-693.8,703.0,2335.2,,-580.0,2888.6,-731.1,,-680.5,2533.2,-3506.5,True,True,False,,True,False,True,,True,False,False
Iowa,4486,3946.9,3846.9,2982.0,4942.8,,4124.0,4816.4,3109.8,,3803.4,3985.2,2844.7,-539.1,-639.1,-1504.0,456.8,,-362.0,330.4,-1376.2,,-682.6,-500.8,-1641.3,False,False,True,,True,True,False,,False,True,False
Kansas,3587,2464.0,2480.6,3097.0,3659.6,,2784.0,3804.2,2800.7,,2980.8,2311.7,1730.4,-1123.0,-1106.4,-490.0,72.6,,-803.0,217.2,-786.3,,-606.2,-1275.3,-1856.6,True,True,True,,True,True,True,,True,False,False
Kentucky,3386,2752.4,2700.8,3917.0,3449.6,,3157.5,3623.5,3344.4,,2943.8,3861.9,2220.0,-633.6,-685.2,531.0,63.6,,-228.5,237.5,-41.6,,-442.2,475.9,-1166.0,False,True,True,,True,True,True,,True,True,False
Louisiana,8483,7562.0,7653.8,28477.0,9884.2,,7440.0,8976.0,10868.9,,7880.0,8458.6,7019.8,-921.0,-829.2,19994.0,1401.2,,-1043.0,493.0,2385.9,,-603.0,-24.4,-1463.2,True,False,False,,False,True,False,,True,True,False
Maine,544,308.9,327.1,261.0,535.9,,414.0,448.0,356.6,,231.1,365.1,210.4,-235.1,-216.9,-283.0,-8.1,,-130.0,-96.0,-187.4,,-312.9,-178.9,-333.6,True,False,True,,True,True,True,,False,True,False
Maryland,6837,6125.7,6098.5,10137.0,6937.2,,5886.0,7344.6,6975.5,,5883.6,7514.1,4897.0,-711.3,-738.5,3300.0,100.2,,-951.0,507.6,138.5,,-953.4,677.1,-1940.0,False,False,True,,False,True,True,,False,True,False
