,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,6657,4289.1,5091.6,4149.0,3798.1,-2367.9,-1565.4,-2508.0,-2858.9,True,False,False
Alaska,259,94.9,342.9,,153.8,-164.1,83.9,,-105.2,True,,True
Arizona,12170,8172.6,7698.8,7202.0,7547.0,-3997.4,-4471.2,-4968.0,-4623.0,False,False,False
Arkansas,4563,3463.9,4021.0,3662.0,3043.6,-1099.1,-542.0,-901.0,-1519.4,True,True,False
California,36846,21251.9,23944.5,20862.0,20784.7,-15590.1,-12897.5,-15980.0,-16057.3,True,False,False
Colorado,5482,3544.9,4817.0,3356.0,3103.4,-1937.1,-665.0,-2126.0,-2378.6,True,False,False
Connecticut,6819,5268.1,6454.8,5174.0,4973.6,-1550.9,-364.2,-1645.0,-1845.4,True,False,False
Delaware,1036,804.9,1056.0,867.0,743.4,-231.1,20.0,-169.0,-292.6,True,True,False
District of Columbia,870,740.9,704.2,675.0,714.5,-129.1,-165.8,-195.0,-155.5,False,False,False
Florida,25164,20725.6,26816.7,20880.0,20202.4,-4438.4,1652.7,-4284.0,-4961.6,True,True,False
Georgia,13246,10506.6,10984.5,10263.0,10275.3,-2285.4,-1807.5,-2529.0,-2516.7,True,False,False
Hawaii,335,242.7,391.4,,255.6,-92.3,56.4,,-79.4,True,,True
Idaho,1668,1294.0,1673.3,1311.0,1009.3,-374.0,5.3,-357.0,-658.7,True,True,False
Illinois,20645,15564.9,23346.7,13776.0,13976.0,-5080.1,2701.7,-6869.0,-6669.0,True,False,False
Indiana,9693,7506.1,10249.8,6962.0,6430.3,-2186.9,556.8,-2731.0,-3262.7,True,False,False
Iowa,4486,3061.0,4986.3,3156.0,3015.6,-1425.0,500.3,-1330.0,-1470.4,True,True,False
Kansas,3587,1902.4,3321.4,2128.0,1718.9,-1617.6,-198.6,-1392.0,-1801.1,True,True,False
Kentucky,3386,2390.1,3085.4,2490.0,2777.4,-995.9,-300.6,-896.0,-608.6,True,True,True
Louisiana,8483,7230.3,7286.1,6760.0,7350.2,-1252.7,-1196.9,-1723.0,-1132.8,True,False,True
Maine,544,206.3,236.3,250.5,160.2,-337.7,-307.7,-293.5,-383.8,True,True,False
Maryland,6837,4863.4,5343.9,4781.0,4636.0,-1973.6,-1493.1,-2056.0,-2201.0,True,False,False
Massachusetts,14064,11625.6,14094.7,11441.0,10667.9,-2438.4,30.7,-2623.0,-3396.1,True,False,False
Michigan,15181,10615.9,17704.0,10499.0,9593.0,-4565.1,2523.0,-4682.0,-5588.0,True,False,False
Minnesota,6131,4675.1,6596.8,5536.0,4005.7,-1455.9,465.8,-595.0,-2125.3,True,True,False
Mississippi,5752,4474.4,4220.8,4220.0,4639.0,-1277.6,-1531.2,-1532.0,-1113.0,False,False,True
Missouri,6811,4543.9,7284.2,5207.0,3594.6,-2276.1,464.2,-1613.0,-3225.4,True,True,False
Montana,1141,1324.6,1867.8,1439.0,759.0,183.6,726.8,298.0,-382.0,False,False,False
Nebraska,1879,1235.0,2104.4,1346.0,858.8,-644.0,225.4,-533.0,-1020.2,True,True,False
Nevada,4011,2611.0,2613.5,2281.0,2646.9,-1400.0,-1397.5,-1730.0,-1364.1,True,False,True
New Hampshire,981,554.1,755.2,665.0,524.0,-426.9,-225.8,-316.0,-457.0,True,True,False
New Jersey,20934,17243.3,18219.4,17480.0,17031.7,-3690.7,-2714.6,-3454.0,-3902.3,True,True,False
New Mexico,3115,2116.9,2439.9,1900.0,1707.9,-998.1,-675.1,-1215.0,-1407.1,True,False,False
New York,42134,35542.4,42337.4,35348.0,34021.2,-6591.6,203.4,-6786.0,-8112.8,True,False,False
North Carolina,8586,7039.0,7409.3,6792.0,6442.9,-1547.0,-1176.7,-1794.0,-2143.1,True,False,False
North Dakota,1436,1811.6,2035.1,1731.0,969.9,375.6,599.1,295.0,-466.1,False,True,False
Ohio,10680,7840.4,8352.4,8107.0,7666.1,-2839.6,-2327.6,-2573.0,-3013.9,True,True,False
Oklahoma,3231,2447.7,2510.0,2820.0,2118.9,-783.3,-721.0,-411.0,-1112.1,True,True,False
Oregon,1877,1153.4,1407.7,1133.0,1052.8,-723.6,-469.3,-744.0,-824.2,True,False,False
Pennsylvania,20454,11198.1,13254.7,11224.0,10710.9,-9255.9,-7199.3,-9230.0,-9743.1,True,True,False
Rhode Island,2083,1473.7,2328.8,1520.0,1274.9,-609.3,245.8,-563.0,-808.1,True,True,False
South Carolina,6479,5121.7,5956.7,5171.0,4677.8,-1357.3,-522.3,-1308.0,-1801.2,True,True,False
South Dakota,1696,1610.9,1727.5,1475.0,1033.9,-85.1,31.5,-221.0,-662.1,True,False,False
Tennessee,8819,6222.4,7038.1,5790.0,6051.0,-2596.6,-1780.9,-3029.0,-2768.0,True,False,False
Texas,34725,26588.6,28218.5,25978.0,25066.0,-7785.4,-6155.5,-8396.0,-9308.0,True,False,False
Utah,1582,1147.6,1908.6,1358.0,1377.7,-434.4,326.6,-224.0,-204.3,True,True,True
Vermont,170,69.9,59.6,69.0,61.2,-100.1,-110.4,-101.0,-108.8,False,False,False
Virginia,6079,4271.6,5181.6,4657.0,3971.5,-1807.4,-897.4,-1422.0,-2107.5,True,True,False
Washington,4114,3231.6,4649.5,3176.0,3252.6,-899.4,518.5,-955.0,-878.4,True,False,True
West Virginia,1872,981.7,1021.8,1172.0,851.6,-890.3,-850.2,-700.0,-1020.4,True,True,False
Wisconsin,6184,5189.1,7350.9,5196.0,4628.0,-736.9,1424.9,-730.0,-1298.0,False,True,False
Wyoming,571,407.1,655.4,389.0,229.5,-163.9,84.4,-182.0,-341.5,True,False,False
US,417476,309034.4,430221.5,302567.0,319525.0,-107332.6,13854.5,-113800.0,-96842.0,True,False,True
