,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,6657,6190.1,6154.8,5711.6,6170.4,5847.0,6152.6,5992.0,5743.0,5885.0,,5594.2,5769.0,6373.1,6136.1,5910.4,,5992.0,6069.7,5923.0,6010.4,6162.9,6372.5,6116.5,5791.9,6053.0,6116.1,5989.6,6418.3,5831.0,,5659.6,5777.2,,5919.0,6256.2,6003.0,6250.8,,6328.3,6138.5,6198.6,5995.0,5951.4,5969.0,6074.5,,5638.9,5855.0,-466.9,-502.2,-945.4,-486.6,-810.0,-504.4,-665.0,-914.0,-772.0,,-1062.8,-888.0,-283.9,-520.9,-746.6,,-665.0,-587.3,-734.0,-646.6,-494.1,-284.5,-540.5,-865.1,-604.0,-540.9,-667.4,-238.7,-826.0,,-997.4,-879.8,,-738.0,-400.8,-654.0,-406.2,,-328.7,-518.5,-458.4,-662.0,-705.6,-688.0,-582.5,,-1018.1,-802.0,False,False,False,False,False,False,False,False,,False,False,True,False,False,,False,False,False,False,False,True,False,False,False,False,False,True,False,,False,False,,False,True,False,True,,True,False,True,False,False,False,False,,False,False
Alaska,259,240.7,247.4,281.4,250.9,261.0,242.0,249.0,238.0,241.5,,248.6,271.0,252.8,249.8,259.8,,,253.8,265.0,273.8,241.6,240.0,243.3,247.5,288.0,249.7,255.0,247.2,252.0,,,236.9,,238.0,279.7,243.0,246.8,,248.5,265.4,290.3,248.0,246.6,234.0,244.0,,241.3,252.0,-18.3,-11.6,22.4,-8.1,2.0,-17.0,-10.0,-21.0,-17.5,,-10.4,12.0,-6.2,-9.2,0.8,,,-5.2,6.0,14.8,-17.4,-19.0,-15.7,-11.5,29.0,-9.3,-4.0,-11.8,-7.0,,,-22.1,,-21.0,20.7,-16.0,-12.2,,-10.5,6.4,31.3,-11.0,-12.4,-25.0,-15.0,,-17.7,-7.0,True,False,True,True,True,True,False,True,,True,True,True,True,True,,,True,True,True,True,False,True,True,False,True,True,True,True,,,False,,False,False,True,True,,True,True,False,True,True,False,True,,True,True
Arizona,12170,12146.7,12080.9,11049.0,11881.4,11847.0,11985.9,11888.0,11821.0,11459.9,,10930.0,11436.0,13194.8,11790.9,12120.9,,11919.0,10819.6,11658.0,11538.6,11886.0,12835.0,12280.4,11039.6,11756.0,12012.9,11841.2,12457.9,12059.0,,11980.4,12479.2,,11830.0,11896.3,12170.0,11920.5,,12153.6,12089.9,12015.5,11942.0,12727.3,11679.0,12306.0,,10595.3,11329.0,-23.3,-89.1,-1121.0,-288.6,-323.0,-184.1,-282.0,-349.0,-710.1,,-1240.0,-734.0,1024.8,-379.1,-49.1,,-251.0,-1350.4,-512.0,-631.4,-284.0,665.0,110.4,-1130.4,-414.0,-157.1,-328.8,287.9,-111.0,,-189.6,309.2,,-340.0,-273.7,0.0,-249.5,,-16.4,-80.1,-154.5,-228.0,557.3,-491.0,136.0,,-1574.7,-841.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,,True,False,False,False,False,False,False,,False,False
Arkansas,4563,4589.0,4596.4,4533.6,4567.3,4502.0,4572.0,4567.0,4506.0,4527.7,,4617.9,4507.0,4706.4,4603.8,4769.1,,4586.0,5065.7,4560.0,4469.3,4687.3,4545.0,4626.0,4404.1,4576.0,4596.2,4614.1,4735.3,4388.0,,4764.4,4538.0,,4591.0,4624.9,4318.0,4555.7,,4678.8,4620.0,4725.7,4584.0,4640.7,4534.0,4553.0,,4307.3,4507.0,26.0,33.4,-29.4,4.3,-61.0,9.0,4.0,-57.0,-35.3,,54.9,-56.0,143.4,40.8,206.1,,23.0,502.7,-3.0,-93.7,124.3,-18.0,63.0,-158.9,13.0,33.2,51.1,172.3,-175.0,,201.4,-25.0,,28.0,61.9,-245.0,-7.3,,115.8,57.0,162.7,21.0,77.7,-29.0,-10.0,,-255.7,-56.0,False,False,True,False,True,True,False,False,,False,False,False,False,False,,True,False,True,False,False,True,False,False,True,False,False,False,False,,False,True,,False,False,False,True,,False,False,False,True,False,False,True,,False,False
California,36846,36255.1,37483.1,32989.7,36120.0,35511.0,36037.4,35680.0,33258.0,35046.0,,33430.7,34303.0,37779.8,35760.9,36111.4,,35965.0,31329.9,,35484.9,35483.1,36452.0,37315.6,31742.3,35502.0,35710.0,34753.4,37264.2,38196.5,,35460.0,36549.5,,34935.0,38084.0,36089.0,35679.9,,35285.8,35807.0,36771.9,35446.0,38209.0,35448.0,37418.0,,31426.1,36240.0,-590.9,637.1,-3856.3,-726.0,-1335.0,-808.6,-1166.0,-3588.0,-1800.0,,-3415.3,-2543.0,933.8,-1085.1,-734.6,,-881.0,-5516.1,,-1361.1,-1362.9,-394.0,469.6,-5103.7,-1344.0,-1136.0,-2092.6,418.2,1350.5,,-1386.0,-296.5,,-1911.0,1238.0,-757.0,-1166.1,,-1560.2,-1039.0,-74.1,-1400.0,1363.0,-1398.0,572.0,,-5419.9,-606.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False,True,True,False,False,False,False,True,False,,False,True,,False,False,False,False,,False,False,True,False,False,False,True,,False,False
Colorado,5482,5716.9,5736.3,5857.3,5768.1,5795.0,5746.0,5760.0,5440.0,5616.6,,5645.6,5609.0,5852.3,5630.2,5807.4,,5832.0,6163.3,5800.0,5569.1,5666.2,5813.0,5737.5,5907.9,5767.0,5770.6,5787.0,5884.1,5909.0,,6027.9,5666.3,,5670.0,5032.0,5552.0,5692.4,,6047.4,5790.0,5881.2,5639.0,5763.1,5723.0,5622.0,,5519.0,5344.0,234.9,254.3,375.3,286.1,313.0,264.0,278.0,-42.0,134.6,,163.6,127.0,370.3,148.2,325.4,,350.0,681.3,318.0,87.1,184.2,331.0,255.5,425.9,285.0,288.6,305.0,402.1,427.0,,545.9,184.3,,188.0,-450.0,70.0,210.4,,565.4,308.0,399.2,157.0,281.1,241.0,140.0,,37.0,-138.0,False,False,False,False,False,False,True,True,,True,True,False,True,False,,False,False,False,True,True,False,False,False,False,False,False,False,False,,False,True,,True,False,True,True,,False,False,False,True,False,False,True,,True,True
Connecticut,6819,6741.9,6744.9,6855.0,6765.0,6922.0,6774.1,6779.0,6660.0,6736.1,,6616.6,6779.0,6704.6,6728.7,6927.1,,6927.0,6759.7,6879.0,6872.5,6818.3,6793.0,6703.8,6666.1,6904.0,6797.5,6895.7,6827.3,6580.0,,7201.2,6721.7,,6816.0,6377.7,6559.0,6607.1,,7077.1,6804.6,6788.5,6812.0,6835.1,6696.0,6703.5,,6444.3,6793.0,-77.1,-74.1,36.0,-54.0,103.0,-44.9,-40.0,-159.0,-82.9,,-202.4,-40.0,-114.4,-90.3,108.1,,108.0,-59.3,60.0,53.5,-0.7,-26.0,-115.2,-152.9,85.0,-21.5,76.7,8.3,-239.0,,382.2,-97.3,,-3.0,-441.3,-260.0,-211.9,,258.1,-14.4,-30.5,-7.0,16.1,-123.0,-115.5,,-374.7,-26.0,True,True,True,False,True,True,False,False,,False,True,False,False,False,,False,True,True,True,True,True,False,False,False,True,True,True,False,,False,False,,True,False,False,False,,False,True,True,True,True,False,False,,False,True
Delaware,1036,1050.0,1065.1,1037.1,1044.8,1027.0,1047.0,1047.0,1026.0,1037.0,,1039.6,1048.0,1034.6,1046.4,1060.6,,1074.5,1018.5,1057.0,1100.4,1050.4,1025.0,1046.1,1012.5,1080.0,1050.4,1081.5,1057.7,1044.0,,,1041.4,,1040.0,1125.8,1051.0,1039.1,,1125.4,1078.7,1081.7,1059.0,1025.5,1036.0,1040.0,,1004.8,1062.0,14.0,29.1,1.1,8.8,-9.0,11.0,11.0,-10.0,1.0,,3.6,12.0,-1.4,10.4,24.6,,38.5,-17.5,21.0,64.4,14.4,-11.0,10.1,-23.5,44.0,14.4,45.5,21.7,8.0,,,5.4,,4.0,89.8,15.0,3.1,,89.4,42.7,45.7,23.0,-10.5,0.0,4.0,,-31.2,26.0,False,True,True,True,True,True,True,True,,True,True,True,True,False,,False,False,False,False,False,True,True,False,False,False,False,False,True,,,True,,True,False,False,True,,False,False,False,False,True,True,True,,False,False
District of Columbia,870,859.7,858.3,859.8,855.1,856.0,855.0,865.0,861.0,872.1,,864.6,872.0,859.3,873.7,878.0,,846.0,872.5,860.0,869.2,869.6,866.0,860.3,871.6,876.0,,,867.8,862.0,,,848.6,,866.0,871.4,866.0,839.8,,895.4,,856.6,869.0,,856.0,875.0,,831.7,870.0,-10.3,-11.7,-10.2,-14.9,-14.0,-15.0,-5.0,-9.0,2.1,,-5.4,2.0,-10.7,3.7,8.0,,-24.0,2.5,-10.0,-0.8,-0.4,-4.0,-9.7,1.6,6.0,,,-2.2,-8.0,,,-21.4,,-4.0,1.4,-4.0,-30.2,,25.4,,-13.4,-1.0,,-14.0,5.0,,-38.3,0.0,False,True,False,False,False,True,True,True,,True,True,False,True,True,,False,True,True,True,True,True,True,True,True,,,True,True,,,False,,True,True,True,False,,False,,False,True,,False,True,,False,True
Florida,25164,24629.9,24451.4,24326.1,24586.9,24662.0,24631.8,24704.0,24013.0,24546.7,,23923.1,27391.0,25569.7,24861.8,25005.4,,24340.0,24628.0,24842.0,26577.8,25048.3,24894.0,24906.9,24435.6,24955.0,24879.6,25006.9,25174.9,24589.5,,24901.1,24683.2,,24629.0,27823.3,24715.0,24601.5,,24264.0,24908.2,25429.4,24978.0,24436.2,24711.0,24703.5,,23693.7,24659.0,-534.1,-712.6,-837.9,-577.1,-502.0,-532.2,-460.0,-1151.0,-617.3,,-1240.9,2227.0,405.7,-302.2,-158.6,,-824.0,-536.0,-322.0,1413.8,-115.7,-270.0,-257.1,-728.4,-209.0,-284.4,-157.1,10.9,-574.5,,-262.9,-480.8,,-535.0,2659.3,-449.0,-562.5,,-900.0,-255.8,265.4,-186.0,-727.8,-453.0,-460.5,,-1470.3,-505.0,False,False,False,True,True,True,False,False,,False,False,True,True,True,,False,False,True,False,True,True,True,False,True,True,True,True,False,,True,True,,False,False,True,False,,False,True,True,True,False,True,True,,False,True
